Style,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Article number,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,,,,,,,,,,,,,,,,,,,,,,,,
sporty,https://www.zalando.co.uk/g-star-ilou-zip-hdd-sw-dress-wmn-ls-day-dress-gs121c06l-q11.html,G-Star,ILOU ZIP HDD SW DRESS WMN L/S ,74.99,2,black,Sweat,100% cotton,--,"Machine wash at 40Â°C, do not tumble dry",Hood,--,--,Hooded dresses,--,--,"Zip fastening, elasticated waist",GS121C06L-Q11,Short,"25.5 "" (Size S)",Long,"33.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/in-the-style-stacey-solomon-day-dress-brown-i0421c01n-o11.html,IN THE STYLE,STACEY SOLOMON  ,42.99,2,brown,Sweat,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Round neckline,Plain,Belt included,I0421C01N-O11,Extra short,"21.5 "" (Size 8)",Long,"31.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/superdry-day-dress-glacier-grey-marl-su221c0op-c11.html,Superdry,Day dress,54.99,2,grey,"Rib, Sweat","59% cotton, 41% polyester",--,"Do not bleach, do not tumble dry",--,--,--,,Round neckline,Prints in general,"Border, elasticated waist, embroidery",SU221C0OP-C11,Short,Long,Long,--,Regular Fit,Regular fit,--,--,No,No,No,No,No,--,"59% cotton, 41% polyester",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/moss-copenhagen-lillis-morocco-dress-day-dress-black-m0y21c088-q11.html,Moss Copenhagen,LILLIS MOROCCO DRESS ,89.99,3,black,Chiffon,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Accentuating the waist,Low v-neck,Floral,Belt included,M0Y21C088-Q11,Calf length,"25.5 "" (Size S)",Long,"50.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/diane-von-furstenberg-silvie-dress-cocktail-dress-party-dress-arrow-head-medium-cabernet-df221c0aq-g11.html,Diane von Furstenberg,SILVIE DRESS ,420,5,burgundy,Mesh,100% nylon,100% nylon,Dry clean only,--,--,Belt,Wrap dresses,Low v-neck,--,"Belt included, slip",DF221C0AQ-G11,Knee length,"25.0 "" (Size S)",Long,"46.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size S",--,Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/mamalicious-mlday-midi-dress-day-dress-black-m6429f0vh-q12.html,MAMALICIOUS,MLDAY MIDI DRESS ,39.99,1,multi-coloured,--,100% polyester,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Wrap dresses,Low v-neck,Floral,"Belt included, bust darts",M6429F0VH-Q12,Calf length,"24.0 "" (Size S)",Long,"46.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/calvin-klein-modern-hybrid-day-dress-moccasin-6ca21c053-b11.html,Calvin Klein,MODERN HYBRID  ,90.99,3,sand,Sweat,"64% cotton, 36% polyester",--,Machine wash at 30Â°C,Standing collar,--,Zip,,--,Plain,Inseam pockets,6CA21C053-B11,Extra short,"24.0 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/lace-and-beads-tall-occasion-wear-grey-lad21c01x-k11.html,Lace & Beads,RUHI MIDI ,74.99,2,silver,"Jersey, tulle",100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,Zip,,Low v-neck,Plain,"Adjustable straps, sequins",LAD21C01X-K11,Calf length,Spaghetti straps,Spaghetti straps,"44.0 "" (Size 8)",Regular Fit,Regular fit,--,--,No,No,yes,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/edc-by-esprit-crepe-day-dress-black-ed121c0xf-q11.html,Esprit,CREPE ,43.99,2,black,--,"95% viscose, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Laces,,V-neck,Plain,--,ED121C0XF-Q11,Short,"25.0 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","13.5 "" (Size S)",Yes,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/capsule-by-simply-be-spot-pleated-dress-with-collar-day-dress-blackwhite-cas21c03l-q11.html,CAPSULE by Simply Be,SPOT PLEATED DRESS WITH COLLAR ,38.99,1,black/white,--,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Volant/frill collar,--,Button,Pleated dresses,--,Animal print,"Bust darts, slip, bow",CAS21C03L-Q11,Calf length,"20.5 "" (Size 16)",Long,"43.5 "" (Size 16)",Loose Fit,Loose fit,--,"15.0 "" (Size 16)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/andiata-edla-dress-day-dress-cashew-beige-a4l21c000-b11.html,ANDIATA,EDLA DRESS ,289.99,5,sand,Rib,"90% wool, 10% cashmere",--,"Do not tumble dry, Hand wash only",--,--,--,Accentuating the waist,Round neckline,Plain,Belt included,A4L21C000-B11,Calf length,"25.0 "" (Size S)",Long,"47.0 "" (Size S)",Slim Fit,Slim fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/jdy-jdymathilde-dress-day-dress-black-jy121c0hd-q11.html,JDY,JDYMATHILDE DRESS ,23.99,1,black,Sweat,"65% polyester, 35% cotton",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Plain,--,JY121C0HD-Q11,Short,"25.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/diane-von-furstenberg-nella-day-dress-blue-df221c0bi-k11.html,Diane von Furstenberg,NELLA ,420,5,navy,--,100% polyester,--,Dry clean only,Standing collar,--,Zip,,--,Prints in general,Bust darts,DF221C0BI-K11,Calf length,Elbow length,Elbow length,"46.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,https://www.zalando.co.uk/superdry-day-dress-ochre-su221c0nu-b11.html,Superdry,Day dress,48.99,2,orange,--,100% viscose,--,"Do not tumble dry, Do not bleach",--,--,Drawstring fastening,,Spaghetti straps,Prints in general,"Adjustable straps, tassels",SU221C0NU-B11,Calf length,Spaghetti straps,Spaghetti straps,--,Slim Fit,Slim fit,--,--,No,Yes,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,https://www.zalando.co.uk/only-carmakoma-carlollilise-day-dress-sky-captain-ona21e0fp-q11.html,",Only",CARLOLLILISE ,28.04,1,black multi-coloured,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Standing collar,--,--,,Low v-neck,Floral,Bust darts,ONA21E0FP-Q11,Short,"20.5 "" (Size 16)",Long,"38.0 "" (Size 16)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 16","15.5 "" (Size 16)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/vila-vimilia-pearl-ankle-dress-occasion-wear-cloud-dancer-white-v1021c2y9-a11.html,Vila,VIMILIA PEARL ANKLE DRESS ,89.99,3,white,Tulle,100% nylon,100% polyester,Hand wash only,--,--,Button,,Spaghetti straps,Plain,"Adjustable straps, slip, rhinestones",V1021C2Y9-A11,Maxi/long,Spaghetti straps,Spaghetti straps,"59.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10",--,No,No,yes,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/monki-thora-dress-day-dress-retropastel-moq21c0bu-t11.html,Monki,Day dress,31,1,pastel yellow,--,100% polyester,--,--,--,--,Button,,Round neckline,Floral,--,MOQ21C0BU-T11,Calf length,Long,Long,"42.5 "" (Size S)",Regular Fit,Regular fit,--,"15.5 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/summery-copenhagen-thea-long-dress-day-dress-shell-pink-cec21c040-h11.html,SUMMERY Copenhagen,THEA DRESS ,209.99,5,pink,--,"60% cotton, 40% viscose",--,Machine wash at 30Â°C,--,--,--,,Square neckline,--,--,CEC21C040-H11,Calf length,Short,Short,"47.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/moss-copenhagen-ima-dress-day-dress-wistfull-mauve-m0y21c08d-q11.html,Moss Copenhagen,IMA DRESS ,48.74,2,purple,Jersey,"72% viscose, 23% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Round neckline,Plain,--,M0Y21C08D-Q11,Short,"25.0 "" (Size S/M)",Long,"35.0 "" (Size S/M)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S/M",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/soliver-day-dress-black-so221c13e-q11.html,s.Oliver,Day dress,69.99,2,black,Mesh,"98% polyester, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Round neckline,Prints in general,Slip,SO221C13E-Q11,Calf length,"25.0 "" (Size 10)",Long,"48.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/vero-moda-vmcaitlynn-day-dress-black-graphic-ve121c2jm-q13.html,Vero Moda,VMCAITLYNN DRESS BELT ,39.99,1,black,Chiffon,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,Button,Accentuating the waist,--,--,Belt included,VE121C2JM-Q13,Knee length,"25.5 "" (Size S)",Long,"41.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/jdy-jdyivy-mathilde-dress-day-dress-cashmere-blue-jy121c0px-k11.html,JDY,JDYIVY MATHILDE DRESS ,16.14,1,pastel blue,Sweat,"62% cotton, 38% polyester",--,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",--,--,--,,Round neckline,Plain,--,JY121C0PX-K11,Short,"25.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/roksanda-emina-dress-day-dress-blackoatmealcoral-r9821c01u-b11.html,Roksanda,EMINA DRESS ,"1,695,00",5,black multi-coloured,--,100% wool,--,Dry clean only,--,--,Zip,,V-neck,--,"Inseam pockets, bust darts",R9821C01U-B11,Calf length,Sleeveless,Sleeveless,--,Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/abercrombie-and-fitch-day-dress-black-a0f21c09q-q11.html,Abercrombie & Fitch,Day dress,89.99,3,black multi-coloured,--,100% polyester,100% polyester,Machine wash at 30Â°C,--,--,--,,Spaghetti straps,Floral,"Bust darts, adjustable straps",A0F21C09Q-Q11,Calf length,Spaghetti straps,Spaghetti straps,"53.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/adrianna-papell-beaded-trapeze-dress-cocktail-dress-party-dress-candied-ginger-ad421c0eu-j11.html,Adrianna Papell,BEADED TRAPEZE DRESS ,244.99,5,dusty pink,Tulle,100% polyester,100% polyester,"Do not tumble dry, Do not wash",--,--,Hook fasteningÂ ,,Round neckline,--,"Bust darts, slip, sequins, rhinestones",AD421C0EU-J11,Short,Sleeveless,Sleeveless,"33.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,yes,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/vila-vimilina-long-dress-occasion-wear-total-eclipse-v1021c29l-k11.html,Vila,VIMILINA LONG DRESS ,46.74,2,navy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,,Low v-neck,Plain,"Slip, bow",V1021C29L-K11,Maxi/long,Sleeveless,Sleeveless,"56.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/only-olmjenny-wrap-dress-day-dress-black-on329f00k-q11.html,",Only",OLMJENNY WRAP DRESS ,35.99,1,black,"Mesh, Jersey","95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Wrap dresses,Low v-neck,Polka dot,--,ON329F00K-Q11,Short,"26.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/day-birger-et-mikkelsen-day-cocktail-dress-party-dress-lime-bean-da321c06y-e11.html,DAY Birger et Mikkelsen,DAY ,329.99,5,pastel yellow,Chiffon,"95% polyester, 5% elastane",--,Hand wash only,Standing collar,--,Button,,--,--,Rhinestones,DA321C06Y-E11,Short,"21.5 "" (Size 8)",Long,"34.5 "" (Size 8)",Loose Fit,Loose fit,--,"10.0 "" (Size 8)",Yes,No,yes,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/2nd-day-2nd-elli-day-dress-oatmeal-s3821c05v-b11.html,2nd Day,ELLI CRISPY ,189.99,4,white,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,Button,Button down dresses,--,--,--,S3821C05V-B11,Maxi/long,"25.0 "" (Size 8)",Long,"51.0 "" (Size 8)",Loose Fit,Loose fit,--,"15.5 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/ted-baker-harpia-day-dress-black-te421c0m3-t11.html,Ted Baker,HARPIA ,194.99,4,bright multi-coloured,--,100% polyester,100% polyester,"Hand wash only, Dry cleanable",--,--,Zip,,Round neckline,Floral,"Inseam pockets, bust darts, bow",TE421C0M3-T11,Calf length,Elbow length,Elbow length,"48.5 "" (Size 10)",Regular Fit,Regular fit,--,"12.5 "" (Size 10)",No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/missguided-petite-tailored-cut-out-blazer-dress-day-dress-hot-pink-m0v21c0nj-j11.html,Missguided,TAILORED CUT OUT BLAZER DRESS ,45.99,2,pink,--,"95% polyester, 5% elastane",100% polyester,Machine wash at 30Â°C,Lapel collar,--,Button,,Low v-neck,Plain,"Shoulder pads, bust darts",M0V21C0NJ-J11,Short,"22.0 "" (Size 8)",Long,"31.5 "" (Size 8)",Slim Fit,Slim fit,--,"12.5 "" (Size 8)",No,No,No,yes,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/only-day-dress-cloud-dancer-on321c1d3-a11.html,",Only",ONLKARMEN ANNE LIFE DRESS ,30.99,1,white,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Spaghetti straps,Plain,--,ON321C1D3-A11,Short,Spaghetti straps,Spaghetti straps,"32.0 "" (Size 10)",Fitted waist,Slim fit,--,--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/mango-day-dress-schwarz-m9121c5hy-q11.html,Mango,ESMIRNA ,59.99,2,black/pink,--,100% viscose,100% polyester,--,--,--,Button,,Round neckline,Polka dot,Slip,M9121C5HY-Q11,Calf length,Long,Long,--,Slim Fit,Slim fit,--,--,No,No,No,No,Yes,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,https://www.zalando.co.uk/pieces-pckaitlyn-wrap-dress-day-dress-black-pe321c18n-q11.html,Pieces,PCKAITLYN WRAP DRESS  ,30.99,1,black,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Wrap dresses,Low v-neck,Floral,Elasticated waist,PE321C18N-Q11,Short,Elbow length,Elbow length,"36.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,https://www.zalando.co.uk/alexa-chung-chaucer-tunic-dress-day-dress-ivorybrown-a2b21c007-a12.html,Alexa Chung,CHAUCER TUNIC DRESS ,295,5,white,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,--,Button,,Round neckline,Prints in general,--,A2B21C007-A12,Short,"22.5 "" (Size 8)",Long,"38.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,https://www.zalando.co.uk/superdry-day-dress-black-su221c0pi-q11.html,Superdry,Day dress,30,1,black,--,100% viscose,--,"Do not tumble dry, Do not bleach",--,--,--,Wrap dresses,Low v-neck,Animal print,Belt included,SU221C0PI-Q11,Short,Long,Long,--,Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/wal-g-v-neck-skater-jersey-dress-black-wg021c08q-q11.html,WAL G.,PLAIN NECK SKATER ,29.99,1,black,Jersey,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,Accentuating the waist,Low v-neck,Plain,"Padded bust, wired bustier",WG021C08Q-Q11,Extra short,Sleeveless,Sleeveless,"34.0 "" (Size 10)",Fitted waist,Slim fit,"Our model is 5' 11""  tall and is wearing size 10",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/summery-copenhagen-olivia-day-dress-blueprintlavender-violet-cec21c041-k11.html,SUMMERY Copenhagen,OLIVIA ,164.99,4,purple,--,100% cotton,--,"Do not tumble dry, Hand wash only",--,--,Zip,,Round neckline,--,Bust darts,CEC21C041-K11,Short,Short,Short,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,https://www.zalando.co.uk/ragwear-marselinna-day-dress-white-r5921c0b9-a11.html,Ragwear,MARSELINNA ,59.99,2,white,Sweat,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded dresses,--,Plain,Inseam pockets,R5921C0B9-A11,Knee length,"23.5 "" (Size S)",Long,"35.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",--,No,yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,https://www.zalando.co.uk/superdry-day-dress-rooibos-tea-su221c0nd-o11.html,Superdry,Day dress,54.99,2,burnt orange,--,100% viscose,--,--,--,--,--,Wrap dresses,Low v-neck,--,--,SU221C0ND-O11,--,Long,Long,--,--,,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/missguided-tall-sweater-shirt-dress-day-dress-white-mig21c0gp-a11.html,Missguided,SWEATER SHIRT DRESS ,27.99,1,black/white,Sweat,"52% cotton, 48% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,Button,,--,--,"Button row, bust darts",MIG21C0GP-A11,Short,"27.0 "" (Size 8)",Long,"35.5 "" (Size 8)",Regular Fit,Regular fit,--,--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/edc-by-esprit-frill-dress-day-dress-black-ed121c0wk-q12.html,Esprit,FRILL DRESS ,44.99,2,black,Jersey,"95% viscose, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Round neckline,Plain,--,ED121C0WK-Q12,Short,"26.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/river-island-maternity-cocktail-dress-party-dress-gold-coloured-ril29f00c-f11.html,River Island Maternity,Cocktail dress / Party dress,59.99,2,gold,Tulle,"92% polyester, 8% elastane",100% polyester,Hand wash only,--,--,--,Accentuating the waist,Henley neckline,--,"Belt included, slip, sequins",RIL29F00C-F11,Short,"25.5 "" (Size 10)",One shoulder,"36.0 "" (Size 10)",Regular Fit,Regular fit,--,--,No,No,yes,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,https://www.zalando.co.uk/wal-g-mimi-one-shoulder-dress-occasion-wear-dark-fushia-wg021c0r5-j11.html,WAL G.,MIMI ONE SHOULDER DRESS ,42.99,2,pink,Jersey,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,Asymmetrical,Zip,,strapless,Plain,--,WG021C0R5-J11,Maxi/long,One shoulder,One shoulder,"59.0 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 10",--,No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/saint-tropez-edasz-dress-day-dress-mocha-bisque-cottage-core-s2821c07a-o11.html,Saint Tropez,EDASZ ,54.99,2,brown,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,,Low v-neck,Floral,--,S2821C07A-O11,Knee length,"26.5 "" (Size S)",Long,"42.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/glamorous-curve-midi-dress-with-trim-collar-and-puff-12-sleeves-cocktail-dress-party-dress-whitepink-gla21c097-j11.html,Glamorous,MIDI DRESS WITH TRIM COLLAR & PUFF 1/2 SLEEVES ,49.99,2,white/pink,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Peter pan collar,--,Zip,,--,Prints in general,Bust darts,GLA21C097-J11,Calf length,Elbow length,Elbow length,"51.5 "" (Size 16)",Slim Fit,Slim fit,--,"14.5 "" (Size 16)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,https://www.zalando.co.uk/more-and-more-dress-short-day-dress-marine-m5821c0n7-k11.html,More & More,DRESS SHORT ,69.99,2,navy,--,"72% cotton, 24% polyamide, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Round neckline,Plain,Bust darts,M5821C0N7-K11,Knee length,Elbow length,Elbow length,"38.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)",No,No,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,https://www.zalando.co.uk/free-people-undone-mini-day-dress-sea-spray-wash-fp021c0bp-k11.html,Free People,UNDONE MINI ,129.99,4,pastel blue,--,100% cotton,--,Machine wash at 30Â°C,--,--,Laces,,Low v-neck,Checked,--,FP021C0BP-K11,Short,Sleeveless,Sleeveless,"32.5 "" (Size 8/10)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8/10",--,No,Yes,No,No,No,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
