,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
612,trendy,Cinq Ã  Sept,MARIAH DRESS , Cocktail dress / Party dress,Cocktail Dresses,290.0,black,,,,,"95% polyester, 5% elastane",,Machine wash at 30°C,,,,Zip,Backless,Plain,"Bust darts, adjustable straps, wired bustier",CIG21C00L-Q11,Calf-length,Spaghetti straps,"51.0 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",
613,casual chic,Mango,VOLE , Day dress,summer-dresses,49.99,green,,,,,100% cotton,100% viscose,"Do not tumble dry, machine wash at 30°C",,,,,Low-cut v-neck,Plain,,M9121C5IL-L11,Calf-length,Sleeveless,,Loose Fit,,
614,girly,DKNY,V NECK SHIFT WITH POCKETS , Day dress,summer-dresses,129.99,pastel pink,,,,,"65% polyester, 32% viscose, 3% elastane",,"Do not tumble dry, Do not wash",,,,Zip,Low-cut v-neck,Plain,"Inseam pockets, bust darts",DK121C0DH-J11,Short,"23.0 "" (Size 8)","35.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)"
615,unknown,GANT,RETRO SHIELD HOODIE DRESS , Day dress,summer-dresses,106.24,white,,,Sweat,,"87% cotton, 13% polyester",,"Machine wash at 40°C, do not tumble dry",Hood,,,,,Print,,GA321C06I-A11,Calf-length,"25.5 "" (Size S)","33.0 "" (Size S)",Oversized,"Our model is 5' 10""  tall and is wearing size S",
616,classic,ONLY Petite,ONLPELLA DRESS , Day dress,summer-dresses,26.34,black multi-coloured,,,,Semi-sheer,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Floral,Slip,OP421C092-Q11,Calf-length,"18.0 "" (Size S)","47.0 "" (Size S)",Regular Fit,,"13.5 "" (Size S)"
617,classic,Cream,CRHUMLA , Day dress,summer-dresses,79.99,blue,,,,,100% cotton,,,Turn-down collar,,,Button,,Plain,,CR221C0NI-K11,Short,Elbow length,"38.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","17.5 "" (Size 10)"
618,edgy,ONLY Tall,ONLJULIA LIFE MIDI DRESS , Day dress,Cocktail Dresses,29.99,grey,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Turn-down collar,,,Button,,Animal print,"Belt included, bust darts",OND21C07J-B11,Calf-length,"25.0 "" (Size S)","53.5 "" (Size S)",Regular Fit,Our model is 6'  tall and is wearing size S,"15.5 "" (Size S)"
619,alternative,Part Two,NAIOMI , Day dress,summer-dresses,93.49,army green,,,,,100% viscose,100% viscose,Dry clean only,Standing collar,,,,Low-cut v-neck,Floral,Slip,P2121C0EE-M11,Knee-length,"23.5 "" (Size 8)","40.0 "" (Size 8)",Loose Fit,,"14.5 "" (Size 8)"
620,casual chic,ONLY,ONLLINDSAY SHORT SHIRT DRESS , Day dress,summer-dresses,30.99,black multi-coloured,,,,,100% viscose,,"Machine wash at 30°C, Machine wash on gentle cycle",Lapel collar,,,Button,,Floral,Bust darts,ON321C2SY-Q11,Short,Short,,Regular Fit,,
621,casual chic,NAF NAF,LAZALE , Cocktail dress / Party dress,Cocktail Dresses,54.99,red,,,Chiffon,,100% polyester,"97% viscose, 3% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Plain,Slip,NA521C0MB-G11,Knee-length,Elbow length,"36.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10",
622,classic,Massimo Dutti,Day dress,,summer-dresses,119.0,black,,,,,100% polyester,,,,,,Belt,V-neck,Plain,,M3I21C0HU-Q11,Calf-length,Long,"48.5 "" (Size M)",Regular Fit,,
623,trendy,Cinq Ã  Sept,EMILIA DRESS , Cocktail dress / Party dress,Cocktail Dresses,390.0,red,,,Satin,,100% silk,100% polyester,Dry clean only,,Asymmetrical,,Zip,Cowl neck,Plain,"Adjustable straps, slip, rhinestones",CIG21C012-G11,Calf-length,Spaghetti straps,"55.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",
624,unknown,Lauren Ralph Lauren,OFF THE SHOULDER GOWN , Occasion wear,Occasion dresses,219.99,pastel blue,,,Jersey,,"89% polyester, 11% elastane","94% polyester, 6% elastane","Machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Off-the-shoulder,Plain,"Bust darts, slip",L4221C1CS-K11,Long,Short,"56.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)"
625,edgy,JDY,Day dress,,summer-dresses,22.09,black,,,Knit,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,,,,,Plain,,JY121C0PU-Q11,Knee-length,"22.0 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",
626,girly,Anna Field,SHORT SLEEVES FIT FLARED MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,30.99,black,,,"Jersey, Lace",,"68% viscose, 28% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,,AN621C1PZ-Q11,Knee-length,Short,"38.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
627,casual chic,ONLY,ONLHANNA  DRESS , Day dress,summer-dresses,26.34,black/white,,,Chiffon,,100% polyester,100% polyester,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,"Bust darts, slip",ON321C2PN-K11,Short,"23.0 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
628,edgy,Moves,KARO DALL , Cocktail dress / Party dress,Cocktail Dresses,69.99,electric blue,,,Satin,,100% polyester,,,Peter Pan collar,,,Zip,,Floral,,MOD21C06V-K11,Short,"25.0 "" (Size 8)","33.5 "" (Size 8)",Regular Fit,,"14.0 "" (Size 8)"
629,classic,BOSS,DASTY , Day dress,summer-dresses,349.0,purple,,,,,"61% polyester, 26% viscose, 7% cotton, 6% elastane","54% viscose, 43% polyamide, 3% elastane","Do not tumble dry, Do not wash",,,,Zip,Crew neck,Plain,Slip,BB121C0DH-I11,Knee-length,3/4 length,,Slim Fit,,
630,girly,YAS,YASADINA LONG DRESS , Day dress,summer-dresses,159.99,white,,,Lace,,100% polyester,100% viscose,"Do not tumble dry, Do not wash",,,,,Low-cut v-neck,Plain,Slip,Y0121C1SN-A11,Long,"31.0 "" (Size S)","58.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)"
631,unknown,KOCHÃ‰,DRESS , Cocktail dress / Party dress,Cocktail Dresses,474.99,pastel purple,,,,,"94% viscose, 6% elastane",,Hand wash only,,,,Zip,Boat neck,Print,,KOJ21C00F-I11,Knee-length,"25.0 "" (Size S)","39.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",
632,edgy,NAF NAF,JULIO , Day dress,summer-dresses,89.99,brown,,,Chiffon,Semi-sheer,"99% polyester, 1% metal",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Low-cut v-neck,Floral,"Elasticated waist, bust darts, slip, decorative buttons",NA521C19V-Q11,Short,"27.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,,"13.0 "" (Size 8)"
633,classic,Massimo Dutti,Day dress,,summer-dresses,149.0,black,,,Jersey,,"55% wool, 19% modal, 18% cotton, 8% nylon","55% wool, 19% modal, 18% cotton, 8% nylon",,,,,Zip,Low-cut v-neck,Plain,Zip fastening,M3I21C0JJ-Q11,Calf-length,Long,,Regular Fit,,
634,alternative,Superdry,ARIZONA PEEK A BOO DRESS , Day dress,summer-dresses,,army green,,,,,100% lyocell,,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Scoop neck,Plain,,SU221C0GY-N11,Short,"23.0 "" (Size S)","32.5 "" (Size S)",Normal fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
635,trendy,Object,OBJANNELINE WRAP DRESS  , Day dress,summer-dresses,43.99,black/white,,,,,"86% viscose, 14% polyamide",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cache-coeur,Animal print,"Belt included, bust darts",OB121C0UX-Q11,Calf-length,"25.5 "" (Size 8)","45.0 "" (Size 8)",Regular Fit,,"12.5 "" (Size 8)"
636,casual chic,TOM TAILOR DENIM,RIB COLLAR DRESS , Day dress,summer-dresses,59.99,navy,,,Mesh,Semi-sheer,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Floral,,TO721C0EJ-K11,Calf-length,"23.0 "" (Size S)","48.5 "" (Size S)",Slim Fit,,
637,edgy,Birgitte Herskind,TIMO DRESS , Cocktail dress / Party dress,Cocktail Dresses,249.99,black,,,Satin,,"70% viscose, 30% silk",100% polyester,,,,,,Backless,Plain,Slip,BIO21C02L-Q11,Long,"Sleeveless, spaghetti straps","54.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
638,girly,Needle & Thread,IRIS GRACE ANKLE GOWN , Occasion wear,Occasion dresses,474.99,white multi-coloured,,,Tulle,,100% nylon,100% polyester,Dry cleanable,,,,Zip,Low-cut v-neck,Floral,Slip,NT521C0G4-J11,Long,Short,"54.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
639,unknown,Esprit,Day dress,,summer-dresses,34.0,black,,,,,100% viscose,,"Machine wash at 40°C, do not tumble dry, Do not bleach",,,,,Backless,Plain,,ES121C24P-Q11,Calf-length,Strapless,,Regular Fit,,
640,edgy,IN THE STYLE,LORNA LUXE BLACK BELTED PINAFORE DRESS , Day dress,summer-dresses,69.99,black,,,Faux leather,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Square neck,Plain,"Belt included, inseam pockets",I0421C01I-Q11,Short,Sleeveless,"34.0 "" (Size 8)",Regular Fit,,
641,edgy,Pepe Jeans,PAOLA , Day dress,summer-dresses,84.99,navy,,,Rib,,"72% viscose, 28% nylon",,"Do not tumble dry, Hand wash only",,,,,Crew neck,Striped,,PE121C0MP-K11,Calf-length,"25.5 "" (Size S)","48.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",
642,sporty,edc by Esprit,Day dress,,summer-dresses,54.99,black,,,Sweat,,"70% cotton, 27% polyester, 3% elastane",,"Machine wash at 40°C, do not tumble dry",Hood,,Hoodie pocket,,,Marl,,ED121C0WM-Q11,Short,"25.5 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",
643,girly,ONLY Tall,ONLOLIVIA DRESS , Day dress,summer-dresses,25.99,pastel purple,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Floral,Bust darts,OND21C05C-I11,Knee-length,Short,"41.5 "" (Size 8)",Slim Fit,,"15.0 "" (Size 8)"
644,classic,SamsÃ¸e SamsÃ¸e,ANAI DRESS , Day dress,summer-dresses,139.99,dark green,,,,,"62% polyester, 34% polyamide, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Backless,Plain,Slip,SA321C0FH-M11,Calf-length,"21.5 "" (Size S)","47.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","12.5 "" (Size S)"
645,classic,Anna Field,Cocktail dress / Party dress,,Cocktail Dresses,31.49,bordeaux,,,"Jersey, Knit",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,V-neck,Plain,,AN621C1PL-G11,Short,"17.0 "" (Size 8)","36.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
646,sporty,Tommy Hilfiger,SLIM CIRCLE SHORT , Day dress,Cocktail Dresses,109.99,black,,,PiquÃ©,,"97% cotton, 3% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",Polo shirt,,,,,Plain,,TO121C0KG-Q11,Knee-length,Short,,Slim Fit,,
647,girly,Lauren Ralph Lauren,FLORAL LINEN SHIRTDRESS , Day dress,summer-dresses,219.99,sand,,,,,100% linen,,"Machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Floral,Inseam pockets,L4221C1DN-A11,Knee-length,Elbow length,"41.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)"
648,sporty,Superdry,TONAL CITY  , Shift dress,summer-dresses,30.0,navy,,,Sweat,,100% cotton,,"Do not bleach, do not tumble dry",Hood,,Hoodie pocket,,,Print,Elasticated waist,SU221C0OG-K11,Thigh-length,Long,,Slim Fit,,
649,unknown,Nike Sportswear,DRESS , Day dress,summer-dresses,54.99,white,,,,,100% nylon,,Machine wash at 30°C,Standing collar,,,Zip,,Print,,NI121C03N-O11,Short,Short,"35.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)"
650,sporty,KARL LAGERFELD,LOGO TAPE , Day dress,summer-dresses,169.99,black,,,Jersey,,100% cotton,,,,,,,Crew neck,Plain,"Belt included, inseam pockets, embroidery",K4821C04Y-Q11,Knee-length,Sleeveless,,Regular Fit,,
651,unknown,Lauren Ralph Lauren,SLEEVELESS CHARMEUSE DRESS , Day dress,summer-dresses,189.99,blue,,,Satin,,100% polyester,,"Hand wash only, do not tumble dry",,,,Zip,Scoop neck,Plain,Belt included,L4221C1ET-K11,Calf-length,Sleeveless,"49.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",
652,casual chic,Max Mara Leisure,GAETANA , Cocktail dress / Party dress,Cocktail Dresses,159.99,silver,,,Satin,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Cowl neck,Plain,Adjustable straps,M1X21C029-C11,Calf-length,Spaghetti straps,"44.5 "" (Size 8)",Loose Fit,,
653,edgy,Lauren Ralph Lauren,TORRIE SLEEVELESS EVENING DRESS , Occasion wear,Occasion dresses,264.99,black,,,,,100% polyester,100% polyester,Hand wash only,,,,Zip,Cache-coeur,Marl,Slip,L4221C1A4-M11,Long,Sleeveless,"61.0 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8",
654,girly,Maya Deluxe Maternity,COLD SHOULDER DELICATE SEQUIN , Cocktail dress / Party dress,Cocktail Dresses,94.99,pastel pink,,,Tulle,,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,,Zip,Crew neck,Plain,"Slip, sequins",M5E29F00W-J11,Long,Sleeveless,"59.0 "" (Size 8)",Regular Fit,,
655,girly,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,149.99,white,100% polyester,,"Crocheted, chiffon",,100% polyester,"97% polyester, 3% elastane",,,,,Zip,Crew neck,Plain,Slip,SG721C0LQ-A11,Calf-length,Short,"46.0 "" (Size 10)",Regular Fit,,"14.0 "" (Size 10)"
656,trendy,JDY,JDYVENUS DRESS , Day dress,summer-dresses,23.99,grey,,,Sweat,,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,,JY121C0KM-C12,Short,"23.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",
657,classic,Esprit,LIGHT , Day dress,summer-dresses,59.99,navy,,,,,100% viscose,,"Do not tumble dry, Do not wash",Turn-down collar,,,Button,Low-cut v-neck,Floral,,ES121C225-K11,Knee-length,"23.5 "" (Size 10)","41.0 "" (Size 10)",Regular Fit,,"16.0 "" (Size 10)"
658,trendy,MAMALICIOUS,MLESSEY DRESS , Day dress,summer-dresses,43.99,dark green,,,,,100% viscose,,"Machine wash at 30°C, A shrinkage of up to 5% may occur",,,,Button,Crew neck,Polka dot,"Belt included, bust darts",M6429F0US-P11,Knee-length,"24.5 "" (Size 8)","41.0 "" (Size 8)",Regular Fit,,"15.5 "" (Size 8)"
659,trendy,Never Fully Dressed Tall,SANDY LOVE MINI SHIRT DRESS , Day dress,summer-dresses,94.99,bright multi-coloured,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Laces,Cache-coeur,Print,Bust darts,N0L21C01I-J11,Short,"25.5 "" (Size S)","35.5 "" (Size S)",Slim Fit,,"14.0 "" (Size S)"
660,trendy,WEEKEND MaxMara,PALUDE , Day dress,summer-dresses,339.99,brown,,,,,"69% cotton, 31% polyamide",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Lapel collar,,Side pockets,Button,,Plain,Belt included,MW721C09D-B11,Knee-length,Sleeveless,,Slim Fit,,
661,girly,MAMALICIOUS,MLMIVANA DRESS , Cocktail dress / Party dress,Cocktail Dresses,47.99,white,100% polyester,,"Lace, tulle",,"55% cotton, 20% polyester, 20% nylon, 5% elastane","60% cotton, 35% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Boat neck,Plain,"Belt included, bust darts, slip",M6429F0OW-A11,Knee-length,"15.5 "" (Size 8)","40.0 "" (Size 8)",Regular Fit,,
662,sporty,ONLY MATERNITY,OLMSANNIEL , Day dress,summer-dresses,29.74,pastel blue,,,Sweat,,"60% cotton, 40% polyester",,"Do not tumble dry, machine wash at 30°C",Hood,,,,,Plain,,ON329F025-K11,Extra short,"20.5 "" (Size S)","32.5 "" (Size S)",Oversized,,
663,alternative,ONLY,ONLELLIE PHILIPPA SHORT DRESS , Day dress,summer-dresses,29.74,navy,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Volant collar,,,,,Print,Slip,ON321C2NV-K11,Short,"23.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
664,trendy,Pinko,SIENA DRESS , Day dress,summer-dresses,199.99,white,,,,Semi-sheer,100% cotton,,,Shirt collar,,,Button,,Plain,Covered fastener,P6921C0BH-A11,Extra short,"23.0 "" (Size 8)","31.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
665,unknown,Sistaglam Curve,AMIANNE , Jersey dress,Occasion dresses,109.99,navy,,,"Jersey, Lace",,"95% polyester, 5% elastane",100% polyester,"Machine wash at 40°C, do not tumble dry",,,,Zip,Low-cut v-neck,Plain,,S4H21C009-K11,Long,Short,"62.0 "" (Size 16)",Slim Fit,,
666,edgy,Minimum,HURSINE , Day dress,summer-dresses,84.99,brown,,,,Semi-sheer,"40% elastane, 40% viscose, 20% nylon",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Checked,,MI421C0BJ-O11,Calf-length,"21.0 "" (Size 8)","48.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)"
667,classic,Pieces,Day dress,,summer-dresses,21.99,navy,,,Jersey,Semi-sheer,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,Inseam pockets,PE321C0TZ-K11,Knee-length,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
668,alternative,Mango,RUFU,H ,summer-dresses,35.99,pastel yellow,,,,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C",,,,,Backless,Plain,"Bow, inseam pockets, slip",M9121C5IP-B11,Short,Spaghetti straps,,Regular Fit,,
669,girly,SUMMERY Copenhagen,GUGGI SHORT DRESS , Day dress,summer-dresses,174.99,pastel purple,,,,,100% cotton,,,,,,Zip,Low-cut v-neck,Polka dot,,CEC21C042-I11,Short,Elbow length,"37.5 "" (Size S)",Slim Fit,"Our model is 5' 11""  tall and is wearing size S","13.5 "" (Size S)"
670,casual chic,Mango,BEA , Day dress,summer-dresses,49.99,black/green,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Dry cleanable",,,,Laces,Cache-coeur,Floral,,M9121C5GY-E11,Calf-length,3/4 length,,Regular Fit,,
671,sporty,Superdry,TEXTURED , Day dress,summer-dresses,34.99,white,,,,,"58% linen, 42% viscose",,"Do not bleach, do not tumble dry",,,,,Crew neck,,,SU221C0NQ-K11,,,,,,
672,classic,Mango,MARTE2 , Day dress,summer-dresses,49.99,red,,,,,"83% modal, 17% polyester",,"Do not tumble dry, machine wash at 30°C, Dry cleanable",,,,Button,Low-cut v-neck,Plain,,M9121C5KW-G11,Calf-length,Extra short,,Regular Fit,,
673,edgy,Missguided,DRAWSTRING ANIMAL DRESS , Shift dress,Cocktail Dresses,27.99,bordeaux,,,,,"95% polyester, 5% elastane",,"Machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,,Animal print,,M0Q21C224-T11,Short,"25.0 "" (Size 8)","35.5 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",
674,girly,Armani Exchange,VESTITO , Day dress,summer-dresses,119.99,white,,,,Semi-sheer,100% linen,,Machine wash at 30°C,,,,,Low-cut v-neck,Plain,,ARC21C02M-A11,Knee-length,Sleeveless,"34.5 "" (Size 8)",Loose Fit,,"11.5 "" (Size 8)"
675,trendy,Vila,VICORBA VNECK DRESS , Day dress,summer-dresses,43.99,navy,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Print,,V1021C2YB-K11,Short,"24.5 "" (Size 8)","36.0 "" (Size 8)",Loose Fit,,"15.5 "" (Size 8)"
676,classic,Soaked in Luxury,SLPOPPIE DRESS , Day dress,summer-dresses,89.99,grey,,,Mesh,,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Striped,Slip,SO921C09T-K11,Knee-length,"24.5 "" (Size S)","42.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
677,girly,Colourful Rebel,KATE GATHERING MINI DRESS WOMEN PINK , Cocktail dress / Party dress,Cocktail Dresses,59.99,dusty pink,,,,,"45% metal, 45% viscose, 10% polyamide",100% polyester,"Do not tumble dry, Do not wash",,,,Zip,Backless,Marl,"Button row, shoulder pads, slip",C5J21C00Z-J11,Extra short,"27.0 "" (Size S)","32.5 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",
678,girly,IVY & OAK,Cocktail dress / Party dress,,Cocktail Dresses,209.99,white,,,,,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane",,,,,Button,Backless,Plain,"Zip fastening, slip",IV321C04E-A11,Knee-length,3/4 length,"46.5 "" (Size 8)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 8",
679,alternative,Maya Deluxe,V NECK STRIPE EMBELLISHED MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,124.99,silver,,,Tulle,,100% polyester,100% polyester,Hand wash only,,,,Zip,Low-cut v-neck,,"Sequins, slip",M2Z21G006-Q11,Calf-length,Sleeveless,"46.5 "" (Size 8)",Slim Fit,,
680,unknown,ONLY Carmakoma,CURVY  , Day dress,summer-dresses,39.99,black,,,,,"97% polyester, 3% elastane",,"Do not bleach, Do not iron, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Plain,,ONA21C0JE-Q11,Knee-length,Long,"43.5 "" (Size 18)",Regular Fit,,
681,classic,Esprit,DRESS , Day dress,summer-dresses,79.99,black multi-coloured,,,,,"99% polyester, 1% metal",100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,Slip,ES121C212-Q11,Calf-length,"23.5 "" (Size 10)","47.0 "" (Size 10)",Regular Fit,,"15.5 "" (Size 10)"
682,edgy,Victoria Beckham,CAMI FLOORLENGTH , Occasion wear,Occasion dresses,870.0,black,,,Satin,,"71% acetate, 29% viscose",,Dry clean only,,,,,Backless,Plain,,V0921C02B-Q11,Long,Spaghetti straps,"61.5 "" (Size 4)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 4",
683,alternative,Derhy,ALICANTE ROBE , Day dress,summer-dresses,119.99,multi-coloured,,,,,100% cotton,100% cotton,"Do not tumble dry, Hand wash only",,,,,Low-cut v-neck,Colourful,"Slip, tassels, rhinestones",RD521C0M2-T11,Knee-length,"24.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,,"13.5 "" (Size S)"
684,casual chic,Milly,VENICE MAXI DRESS , Occasion wear,Occasion dresses,409.99,black,,,Chiffon,Semi-sheer,100% polyester,"97% polyester, 3% elastane",Dry clean only,Standing collar,,,Zip,Backless,Polka dot,"Sequins, wired bustier, slip",M1221C04L-Q11,Long,Sleeveless,"42.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
685,alternative,MICHAEL Michael Kors,CIRCLE HOODIE DRESS , Day dress,summer-dresses,209.99,black,,,Jersey,,"95% viscose, 5% elastane",,Machine wash at 30°C,Hood,,,,,Print,,MK121C0IK-Q11,Short,"23.5 "" (Size 18/20)","38.0 "" (Size 18/20)",Loose Fit,,
686,sporty,JDY,JDYPARIS  , Day dress,summer-dresses,23.99,pastel blue,,,"Jersey, Sweat",,"60% cotton, 40% polyester",,"Machine wash at 40°C, do not tumble dry",,,,,Crew neck,Plain,Embroidery,JY121C0Q7-K11,Thigh-length,"20.5 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
687,girly,Seraphine,BESSIE MIDI WRAP DRESS , Day dress,summer-dresses,69.99,red,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Belt,Cache-coeur,Floral,"Bust darts, bow",S1S29F02D-G11,Calf-length,Elbow length,"47.0 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)"
688,casual chic,EDITED,ALARA DRESS , Day dress,summer-dresses,69.99,navy,,,,,100% viscose,,,,,,Laces,Cache-coeur,Floral,Bust darts,EDD21C0JP-K11,Calf-length,"23.5 "" (Size 8)","51.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
689,unknown,Reebok,Day dress,,summer-dresses,22.95,pastel pink,,,,,100% cotton,,Machine wash on gentle cycle,,,,,Crew neck,Plain,,RE541L002-I11,Short,Short,,Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
690,unknown,MOSCHINO,HOLLYWOOD MUSICAL , Day dress,summer-dresses,465.0,stone,,,Sweat,,"85% cotton, 15% polyester",,Hand wash only,Hood,,,,,Print,Elasticated waist,6MO21C02A-A11,Short,"26.0 "" (Size 10)","34.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10",
691,casual chic,Lyle & Scott,DRESS , Day dress,summer-dresses,34.99,pastel yellow,,,Jersey,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Plain,,LY221C00B-N11,Short,Short,"33.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8",
