"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Army green,Burgundy,Burnt orange,Dusty pink,Gold,Orange,Pastel green,Pastel orange,Pastel pink,Pastel purple","Animal print,Checked,Small floral,Large floral,Paisley,Striped","Henley neckline,Round neckline,Boat neckline (wide),Spaghetti straps","Mandarin collar,Peter pan collar,Volant/frill collar","Chiffon,Lace","Hooded dresses,Polo dresses","Thigh length,Maxi/long","Black,Blue,Green,Grey,Navy,Red,Sand,Silver,Stone,White,Yellow","Regular fit,Loose fit","Sleeveless,Short,Elbow length","Only,Mango,Desigual,Esprit",,Negative,Negative,No,No,No,â‚¬80-120,181,56,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Dusty pink,Off-white,Pastel blue,Pastel green,Pastel purple,Pastel yellow,Purple,Sand,Stone,Yellow","Animal print,Prints in general","I like every neckline","Mandarin collar,Zip neck collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Army green,Black,Dark green,Navy",Loose fit,"I like all sleeve lengths","Only,Mango",,Neutral,Negative,Yes,Yes,Neutral,â‚¬80-120,1.68,49,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Brown,Gold,Green,Pastel purple,Pastel yellow,Silver","Large floral,Paisley,Striped","Cowl neckline,Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Zip neck collar,Volant/frill collar","Satin,Linnen,Wool","Wrap dresses,Bodycon dresses,Hooded dresses","Knee length,Maxi/long","Army green,Black,Blue,Navy,Red",Regular fit,"Short,Elbow length,Long","Ralph Lauren,Pinko",,Neutral,Neutral,Neutral,Neutral,Neutral,> â‚¬200,159,46,2- Unlikely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Brown,Off-white,Pastel green,Pastel pink,Pastel purple,Pastel yellow,Pink,Purple,Yellow","Checked,Striped,Polka dot","V-neck","Peter pan collar,Bow/shawl collar","Leather,Sweat,Satin","Hooded dresses,Polo dresses,Button down dresses","Short,Thigh length,Knee length,Maxi/long","Black,Burnt orange,Grey,Pastel orange,Pastel pink,Silver","Slim fit,Loose fit","Sleeveless,Elbow length,Long","Other options:","Massimo Duti",Negative,Negative,No,Neutral,Yes,â‚¬80-120,1m70,53,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style"
"Burgundy,Burnt orange,Purple,Yellow","Paisley","Boat neckline (wide),Square neckline","Peter pan collar","Linnen,Wool","Bodycon dresses,Hooded dresses","Calf length","Dusty pink,Off-white,Stone",Regular fit,"One shoulder,Elbow length","NA-KD",,Neutral,Negative,No,Neutral,Neutral,â‚¬40-80,165 cm,,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Army green,Brown,Burnt orange,Grey,Navy,Pastel orange,Pastel yellow,Sand,Yellow","Animal print,Paisley,Striped,Polka dot","Round neckline,V-neck","I like every collar","Leather,Jersey,Linnen","Bodycon dresses,Hooded dresses,Polo dresses","Short,Thigh length,Calf length","Black,Dusty pink,Gold,Pastel blue,Pastel green,Pastel pink,Pastel purple,Pink,Silver","Slim fit,Regular fit","Sleeveless,Short,Elbow length,Long","Mango,Vila",,Neutral,Negative,Neutral,No,No,"< â‚¬40,â‚¬40-80",175cm,23,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Burgundy,Brown,Burnt orange,Green,Orange,Purple,Yellow","Animal print,Small floral,Large floral,Paisley","Cowl neckline,Boat neckline (wide),Spaghetti straps","Peter pan collar,Zip neck collar","Leather,Sweat","Bodycon dresses,Hooded dresses,Polo dresses","Thigh length,Knee length,Maxi/long","Black,Blue,Dark green,Dusty pink,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel purple,Pastel yellow",Slim fit,"Sleeveless,Short,Elbow length,Long","Only,Mango,Vila,Esprit",,Neutral,Negative,No,No,Neutral,â‚¬40-80,168,36,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Brown,Green,Purple,Yellow","Paisley,Prints in general","Boat neckline (wide)","Bow/shawl collar","Satin","Pleated dresses","Short,Thigh length,Calf length,Maxi/long","Army green,Black,Dusty pink,Gold,Off-white,Pastel orange,Pastel yellow,Sand","Slim fit,Loose fit","One shoulder,Elbow length,Long","Other options:","Selected Femme",Positive,Neutral,No,Yes,Neutral,â‚¬80-120,1m59,35,4- Likely to wear,3- Neutral,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Burnt orange,Electric blue,Orange,Purple,Yellow","Paisley,Prints in general","Henley neckline,Cowl neckline,Low round neckline,Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar","Leather,Satin,Linnen","Wrap dresses,Bodycon dresses,Hooded dresses,Pleated dresses","Short,Thigh length,Maxi/long","Blue,Dark green,Dusty pink,Electric blue,Gold,Grey,Navy,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel purple,Pastel yellow,Pink,Red,Sand,Stone,White",Regular fit,"Short,Long","Only,Vila,Superdry,Esprit,Pieces",,Neutral,Negative,No,Neutral,No,"â‚¬40-80,â‚¬80-120,â‚¬120 - 200",170,38,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Burnt orange,Pastel green,Purple","Small floral,Large floral,Paisley,Striped","Cowl neckline,Low round neckline,Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Volant/frill collar","Chiffon,Linnen","Bodycon dresses,Pleated dresses","Knee length,Maxi/long","Army green,Black,Blue,Brown,Navy,Off-white,Orange,Sand,White,Yellow",I don't have a preference,"Short,Elbow length,Long","Other options:","Lois,CKS, Twinset",Positive,Neutral,Neutral,No,No,> â‚¬200,164cm,48,5- Very likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused"
"Brown,Gold,Green,Orange,Pastel yellow,Sand,Yellow","Prints in general","Round neckline","Mandarin collar,Peter pan collar,Volant/frill collar","Linnen,Wool","Bodycon dresses,Polo dresses","Short,Thigh length,Knee length,Calf length,Maxi/long","Black,Blue,Burgundy,Navy,Silver","Regular fit,Loose fit","Sleeveless,Short,Elbow length,Long","Esprit,Bruuns Bazaar,Other options:","Samsoe Samsoe",Neutral,Negative,Neutral,No,No,"â‚¬80-120,â‚¬120 - 200",160,48,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,4- Likely to wear,3- Neutral,5- Very likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Green,Orange,Red","Polka dot","Henley neckline,Round neckline,Square neckline","Mandarin collar","I don't have a preference on materials","Hooded dresses,Pleated dresses","Short,Thigh length,Knee length,Maxi/long","Army green,Burgundy,Grey,Navy,Off-white,Stone,White",Regular fit,"Sleeveless,Short,Long","Tommy Hilfiger,Other options:","Scotch and Soda",Neutral,Negative,Neutral,Yes,No,â‚¬120 - 200,161 cm,22,4- Likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Sporty - Adaptation of activewear, comfort focused,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Brown,Gold,Sand,Stone","I don't like any of these prints (you prefer plain clothing)","Henley neckline,Cowl neckline,Round neckline,Square neckline","Peter pan collar,Bow/shawl collar,Volant/frill collar","I don't have a preference on materials","Polo dresses,Pleated dresses","Short,Thigh length,Knee length,Maxi/long","Army green,Black,Blue,Grey,Orange,Pastel green,Pastel orange,Pink","Regular fit,Loose fit","Sleeveless,Short,Long","JDY,Pieces",,Neutral,Neutral,Yes,Yes,No,â‚¬120 - 200,171,41,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,"Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Burnt orange,Dark green,Dusty pink,Gold,Pastel blue,Pastel pink,Pink","I don't like any of these prints (you prefer plain clothing)","Low round neckline,V-neck,Low v-neck,Boat neckline (wide),Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Zip neck collar,Volant/frill collar,Standing collar","Jersey,Chiffon,Silk","Bodycon dresses,Polo dresses,Button down dresses,Pleated dresses","Short,Thigh length,Maxi/long","Brown,Navy,Off-white,Stone","Regular fit,Loose fit","Short,Long","Mango,NA-KD,Other options:","Bershka",Neutral,Neutral,No,Neutral,Neutral,"â‚¬80-120,â‚¬120 - 200",157,17,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Brown,Orange","Animal print,Prints in general","Cowl neckline,Low v-neck,Square neckline,Spaghetti straps","Mandarin collar","Chiffon,Sweat,Linnen","Bodycon dresses,Hooded dresses","Extra short","Army green,Black,Blue,Electric blue,Navy,Off-white,Pastel pink,Pink,Sand,White",Slim fit,"Sleeveless,Short,Elbow length,Long","Only,Vila,Yas,JDY,Esprit,Pieces,Marc'o polo,NA-KD,Tommy Hilfiger",,Positive,Neutral,Neutral,No,Yes,â‚¬40-80,167 cm,31,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,5- Very likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,5- Very likely to wear,5- Very likely to wear,3- Neutral,5- Very likely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Burnt orange,Green,Orange,Pink,Sand","Animal print,Paisley,Polka dot","Cowl neckline","Standing collar","Wool,I don't have a preference on materials","Hooded dresses,Polo dresses,Button down dresses","Extra short","Army green,Green,Orange,Pastel green","Regular fit,Loose fit","Short,One shoulder,Elbow length,Long","Only,Pinko,Tommy Hilfiger",,Neutral,Negative,Neutral,Neutral,No,I would rather not say,157cm,20,3- Neutral,3- Neutral,5- Very likely to wear,5- Very likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,5- Very likely to wear,3- Neutral,5- Very likely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,3- Neutral,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style"
"Burgundy,Brown,Electric blue,Gold,Orange,Silver","Checked,Paisley,Polka dot,Prints in general","V-neck,Square neckline","Lapel collar,Peter pan collar,Standing collar","Leather,Chiffon,Lace","Bodycon dresses,Hooded dresses,Pleated dresses","Knee length,Maxi/long","Black,Navy,Off-white,Sand,Stone",Regular fit,"Short,Long","Mango,Vila,Pinko",,Neutral,Neutral,No,Yes,Neutral,â‚¬120 - 200,167,45,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,3- Neutral,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Sporty - Adaptation of activewear, comfort focused,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Dark green,Red","Paisley","Low round neckline,Spaghetti straps","I like every collar","Silk","Bodycon dresses,Hooded dresses","Short,Thigh length","Black,Brown,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pink,White",Slim fit,"One shoulder,I like all sleeve lengths","Mango,Vila,Ralph Lauren,River Island,JDY,Esprit,NA-KD",,Negative,Neutral,No,Yes,Neutral,â‚¬40-80,160,21,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Blue,Electric blue,Grey,Navy,Pastel blue,Pastel pink,Pastel purple,Pink","I don't like any of these prints (you prefer plain clothing)","Henley neckline","Mandarin collar,Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Polo dresses,Button down dresses","Short,Maxi/long","Brown,Burnt orange,Off-white,Pastel green,Pastel orange,Pastel yellow,Sand,Stone,White",I don't have a preference,"Sleeveless,Long","Mango,NA-KD,Other options:","Bershka, Monki, Gina Tricot",Negative,Negative,Neutral,Yes,Yes,"< â‚¬40,â‚¬40-80",166 cm,23,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Burnt orange,Gold,Silver","Striped,Polka dot","Henley neckline,Square neckline","Volant/frill collar","I don't have a preference on materials","Wrap dresses,Bodycon dresses,Hooded dresses","Calf length,Maxi/long","Army green,Electric blue,Green,Navy,Orange,Pink,Purple,Yellow","Slim fit,Regular fit","Sleeveless,Short,Elbow length,Long","Hugo Boss",,Neutral,Neutral,Yes,Yes,Neutral,â‚¬120 - 200,169 cm,47,3- Neutral,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Gold,Off-white,Pastel purple,Pastel yellow,Purple,Sand,Stone,Yellow","Checked,Small floral,Polka dot","Henley neckline,Cowl neckline,Round neckline,Low round neckline,Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar,Volant/frill collar","Leather,Lace,Satin","Hooded dresses,Polo dresses","Short,Thigh length,Maxi/long","Army green,Black,Blue,Dark green,Electric blue,Green,Navy,Orange,Pink,White",I don't have a preference,"Short,One shoulder,Long","Other options:",,Negative,Negative,Yes,Neutral,Neutral,â‚¬120 - 200,174,47,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Brown,Burnt orange,Dark green,Pastel purple,Purple","Checked,Striped,Prints in general","Henley neckline,Cowl neckline,Round neckline,Boat neckline (wide),Spaghetti straps","Mandarin collar,Peter pan collar,Zip neck collar","Leather,Chiffon","Bodycon dresses,Hooded dresses,Pleated dresses","Thigh length,Maxi/long","Black,Blue,Navy,Off-white,Sand",Regular fit,"Short,Elbow length,Long","Vila,Ralph Lauren,Tommy Hilfiger",,Neutral,Negative,Yes,No,Neutral,â‚¬80-120,165,49,4- Likely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Green,Silver,Stone,Yellow","Large floral,Paisley","Henley neckline,Cowl neckline","Peter pan collar,Bow/shawl collar,Standing collar","I don't have a preference on materials","Hooded dresses,Polo dresses,Button down dresses","Thigh length","Black,Blue,Dark green,Pastel pink,Red",Regular fit,"Short,Elbow length,Long","Only,Mango,Vila,Esprit,Pieces",,Neutral,Negative,Yes,No,Neutral,â‚¬40-80,169 cm,21,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,3- Neutral,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style"
"Gold,Pastel yellow,Silver","Checked,Paisley,Striped,Prints in general","I like every neckline","Standing collar","Wool","Hooded dresses","Extra short,Short","Army green,Black,Blue,Burgundy,Brown,Dark green,Dusty pink,Green,Grey,Navy,Pastel blue,Pastel green,Pastel purple,Red,White",Slim fit,"I like all sleeve lengths","Mango,NA-KD",,Positive,Negative,No,Yes,Neutral,â‚¬40-80,160,26,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dark green,I like all these colors","Animal print,Large floral,Paisley,Striped,Polka dot","Low round neckline","Mandarin collar,Peter pan collar,Standing collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses","I like all lengths","I like all these colors","Regular fit,Loose fit","I like all sleeve lengths","Mango,NA-KD",,Neutral,Negative,No,Yes,Yes,"< â‚¬40,â‚¬40-80,â‚¬80-120",173,24,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,5- Very likely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
