"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","brand","description","day dress","category","price","color","Bottom part material","Contains non-textile parts of animal origin","Fabric","Sheer","Outer fabric material","Lining","Care instructions","Collar","Cut","Pockets","Fastening","Neckline","Pattern","Details","Article number","Length","Sleeve length","Total length","Fit","Our model's height","Back width"
"sporty",0.014201555405168053,1.7200842117052676E-4,0.0030451961271302126,1.925151979432226E-4,1.889508437299388E-4,0.97217710091521,0.010022673089648064,763,"Nike Sportswear","WASH PLUS ","Day dress","summer-dresses",54.99,"pink",,,"Sweat",,"100% cotton",,"Machine wash at 30°C",,,,,"Crew neck","Plain",,"NI121C02O-Q11","Knee-length","Elbow length","35.0 "" (Size 18/20)","Loose Fit",,
"alternative",0.5541844322899262,0.4456442071609415,1.3366188771498386E-4,2.0077830277770582E-5,4.601916288158689E-6,2.6985734809754014E-8,1.2991929116577335E-5,764,"ONLY Carmakoma","CARELANA KNEE DRESS ","Day dress","summer-dresses",47.99,"black",,,,,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C",,,,"Button","Crew neck","Plain","Slip","ONA21C0C0-Q11","Short","Short","38.0 "" (Size 16)","Loose Fit",,"16.0 "" (Size 16)"
"casual chic",0.015531301586219081,0.9570077709965864,0.012745688913598056,2.0844021922518345E-4,0.014481371755139166,3.6183558510299783E-10,2.542616739651927E-5,765,"Pepe Jeans","MELINA ","Day dress","summer-dresses",64.99,"red",,,"Chiffon",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","V-neck","Floral",,"PE121C0OA-G11","Short","23.0 "" (Size S)","33.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)"
"trendy",2.471589184184914E-5,0.0025823352558510437,0.0032789026428222566,6.305302005624146E-6,0.016783149357356485,3.4770078282879563E-10,0.977324591202422,766,"Glamorous","MIDI DRESS WITH TRIM COLLAR & PUFF ","Day dress","summer-dresses",47.99,"pastel pink",,,,,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C","Peter Pan collar",,,"Zip","Low-cut v-neck",,"Border","GL921C0RU-J11","Calf-length","17.0 "" (Size 8)","50.0 "" (Size 8)","Slim Fit","Our model is 5' 9""  tall and is wearing size 8","12.5 "" (Size 8)"
"classic",1.995494385567918E-4,0.02654970167311589,0.9317990777171863,2.767276000017688E-4,6.12842884321069E-4,3.3078358559999127E-6,0.04055879285096223,767,"Lauren Ralph Lauren","CREPE LONG","SLEEVE DRESS ","summer-dresses",164.99,"red",,,,,"53% cotton, 41% viscose, 6% elastane","100% polyester","Do not tumble dry, machine wash at 30°C",,,,"Zip","Cache-coeur","Plain",,"L4221C1CD-G11","Knee-length","21.5 "" (Size 10)","40.5 "" (Size 10)","Regular Fit",,"15.5 "" (Size 10)"
"casual chic",0.00924978968983383,0.8146700883593071,0.1756660788836414,1.778025475843411E-4,3.2043759514016815E-5,7.700071223520031E-9,2.0418906004796933E-4,768,"Vero Moda","VMFLY SHORT DRESS ","Day dress","summer-dresses",34.99,"dark green",,"Yes",,"Semi-sheer","100% viscose",,"Do not tumble dry, machine wash at 30°C","Mandarin collar",,,"Button",,"Plain","Bust darts, covered fastener","VE121C2HH-M11","Short","Long",,"Loose Fit","Our model is 5' 10""  tall and is wearing size S",
"casual chic",0.012362669148894915,0.7643885643335289,0.004217082034447592,0.050257768803518975,1.4933550020778804E-4,0.16858921058921436,3.536959018745358E-5,769,"Nike Sportswear","DRESS ","Day dress","summer-dresses",54.99,"black",,,,,"100% nylon",,"Machine wash at 30°C","Zip neck",,,,,"Print",,"NI121C03N-Q11","Short","Short","35.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)"
"trendy",0.09620374307759164,0.2569012936401385,4.230117209586264E-4,0.015282831987569571,0.014343117442021654,2.588578934238203E-5,0.6168201163423777,770,"Mango","MARIN ","Day dress","summer-dresses",59.99,"black",,,,,"98% polyester, 2% elastane","100% polyester","Machine wash at 30°C, dry cleaning, Dry cleanable",,,,,"Square neck","Plain",,"M9121C5JL-Q11","Knee-length","Spaghetti straps",,"Slim Fit",,
"alternative",0.8447675533445663,5.918716853692358E-4,1.335109625659874E-7,0.12400986917644961,1.1835760189398837E-7,1.265804939625935E-6,0.030629188120110715,771,"Never Fully Dressed","DELILAH MINI DRESS ","Day dress","summer-dresses",94.99,"brown",,,,,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Zip","Crew neck","Animal print",,"NEN21C04U-O11","Extra short","24.5 "" (Size 8)","33.5 "" (Size 8)","Regular Fit","Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)"
"girly",3.7831102487013612E-6,1.9776133142238894E-5,7.05071188356438E-4,0.30164227674390637,0.6974091438482779,8.580515753931086E-8,2.198631709108773E-4,772,"Hollister Co.","RUCHED SHORT DRESS ","Day dress","summer-dresses",41.64,"black",,,"Tulle",,"94% polyester, 6% elastane","100% polyester","Machine wash at 30°C",,,,"Laces","Backless","Floral","Slip, bow","H0421C04J-Q12","Extra short","19.5 "" (Size S)","32.0 "" (Size S)","Bodycon","Our model is 5' 9""  tall and is wearing size S",
"trendy",3.197842611699387E-20,2.4834747701847565E-16,0.0054304822962281405,2.8018990981480602E-6,0.00421839560856236,1.563527037224713E-33,0.9903483201961111,773,"Cinq Ã  Sept","ROBBIE DRESS ","Occasion wear","Occasion dresses",470.0,"grey",,,"Chiffon",,"100% polyester","100% polyester","Dry clean only",,,,"Zip","Low-cut v-neck","Floral","Slip, bow, border","CIG21C00X-I11","Long","Extra short","57.0 "" (Size 8)","Regular Fit","Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)"
"sporty",8.757973289201894E-16,4.571232424228501E-10,1.4760601991659996E-12,1.4267863625553456E-11,1.6767694767995704E-17,0.9999999995255597,1.572188755359419E-12,774,"GANT","RETRO SHIELD HOODIE DRESS ","Day dress","summer-dresses",124.99,"navy",,,"Sweat",,"87% cotton, 13% polyester",,"Machine wash at 40°C, do not tumble dry","Hood",,,,,"Print",,"GA321C06I-K11","Calf-length","25.5 "" (Size S)","33.0 "" (Size S)","Oversized","Our model is 5' 10""  tall and is wearing size S",
"classic",0.10108476833244519,0.09628208406091236,0.8010768005190155,7.896900148050088E-5,5.957320112544778E-5,5.109586877040274E-9,0.0014177997754343341,775,"Esprit","Day dress",,"summer-dresses",69.0,"grey",,,,,"100% viscose",,"Do not bleach, Do not iron, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","V-neck","Print","Bow","ES121C23O-Q11","Calf-length","Long",,"Regular Fit",,
"casual chic",4.1013806058909E-4,0.9995356100891543,4.9816457484659346E-5,8.642030162635063E-7,3.564204275766342E-6,3.8630251704118957E-13,6.98509331553669E-9,776,"Kaffe Curve","BIRNA AMI DRESS ","Day dress","summer-dresses",64.99,"navy",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur","Standing collar",,,,"V-neck","Floral","Bust darts","KAN21C018-K12","Knee-length","17.0 "" (Size 16)","38.5 "" (Size 16)","Loose Fit","Our model is 5' 11""  tall and is wearing size 16","18.5 "" (Size 16)"
"casual chic",0.09161505453296497,0.4980998324167813,0.0016450757647713122,0.39992648395295904,0.008511865127608396,1.5216901886723463E-9,2.0168668322480892E-4,777,"MAMALICIOUS","MLMADELYN MARY DRESS ","Day dress","summer-dresses",,"black multi-coloured",,,,,"100% polyester","95% viscose, 5% elastane","Machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Floral","Slip, nursing-friendly","M6429F0VM-K12","Knee-length","24.5 "" (Size 6)","38.0 "" (Size 6)","Regular Fit",,"14.0 "" (Size 6)"
"sporty",1.2477201837304116E-5,0.009812420414268214,0.0036499119849767924,0.0054397422107682,8.108116495429002E-6,0.9355426957584297,0.045534644313224334,778,"Von Dutch","KAIKO ","Day dress","summer-dresses",69.99,"black",,,"Jersey",,"100% cotton",,"Do not tumble dry, machine wash at 30°C",,,,,"Crew neck","Plain","Rhinestones","VD121C00B-Q11","Short","Extra short","33.0 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S",
"alternative",0.536404483190411,0.06954136683979434,0.3916896578035028,0.0012978075788209421,4.912091868597612E-4,4.837728449736592E-4,9.170255563752028E-5,779,"edc by Esprit","Day dress",,"summer-dresses",29.99,"blue",,,,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle, Do not bleach",,,,,"Boat neck","Floral",,"ED121C0Y3-M11","Thigh-length","Long",,"Regular Fit",,
"classic",0.09955904469244808,0.34213769606157024,0.5079330007064217,0.04515234935603099,0.004005359752922571,2.7821403621204116E-11,0.0012125494027851074,780,"Kaffe","SAMILLE AMBER DRESS ","Day dress","summer-dresses",64.99,"brown",,,"Jersey",,"100% viscose",,,"Standing collar",,,,"Low-cut v-neck","Floral",,"KA321C0RL-N11","Calf-length","21.0 "" (Size 8)","40.0 "" (Size 8)","Loose Fit","Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
"casual chic",2.4371942787517927E-5,0.999396713042335,4.7781670401085986E-4,1.0030762863360145E-4,3.992136445108261E-11,1.2685087618808304E-12,7.906410434373636E-7,781,"YAS","YASCOPENHAGEN MIDI DRESS  ","Day dress","summer-dresses",48.99,"black multi-coloured",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C","Turn-down collar",,,,"Low-cut v-neck","Floral",,"Y0121C1R1-T11","Calf-length","25.0 "" (Size S)","47.0 "" (Size S)","Oversized","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"classic",1.6211146592550924E-4,0.008394688773178014,0.9913790873342024,7.236388791987332E-7,3.755169096833763E-5,2.259853017938752E-5,3.2385666669376547E-6,782,"Esprit","Day dress",,"summer-dresses",55.0,"navy",,,,,"60% viscose, 40% polyamide",,"Do not bleach, machine wash at 30°C",,,,,"Low-cut v-neck","Marl","Belt included","ES121C24H-K11","Short","3/4 length",,"Regular Fit",,
"classic",0.12675407735164368,0.011578227615732871,0.7459868398969974,0.010186706580095408,0.004337517852258739,2.0622624764388744E-6,0.10115456844079539,783,"Mango","Day dress",,"summer-dresses",49.99,"black",,,,,"100% viscose","100% polyester","Do not tumble dry, machine wash at 30°C",,,,,"V-neck","Print",,"M9121C5JT-Q11","Long","Long",,"Regular Fit",,
"classic",2.7972368394870193E-7,0.0011808687511688362,0.9977676524072238,7.829857564019281E-5,2.7335892755406266E-4,5.499754047513963E-6,6.940418606816729E-4,784,"Anna Field Petite","Cocktail dress / Party dress",,"Cocktail Dresses",21.99,"navy",,,"Jersey",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Boat neck","Plain",,"ANI21C03V-K11","Knee-length","17.0 "" (Size S)","40.0 "" (Size S)","Regular Fit",,
"casual chic",0.04826233936698247,0.9473358411071181,0.0021859538257710657,0.0021297306773708402,5.6681881730850295E-5,1.0331891997476924E-8,2.9442809134631218E-5,785,"ONLY Carmakoma","CARMILLA BELT DRESS ","Day dress","summer-dresses",30.99,"black",,,,,"100% polyester",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Do not iron",,,,"Button","Crew neck","Plain","Belt included, bust darts","ONA21C0GZ-Q11","Short","23.5 "" (Size 14)","39.5 "" (Size 14)","Regular Fit",,"16.5 "" (Size 14)"
"girly",6.756511084671859E-6,1.3809434514716306E-5,0.00664993769071586,0.008822565244621284,0.9814154651628395,1.7122467700810294E-5,0.0030743434885233786,786,"Hollister Co.","RUCHED SHORT DRESS ","Day dress","summer-dresses",48.99,"black",,,"Tulle",,"94% polyester, 6% elastane","100% polyester","Machine wash at 30°C",,,,"Laces","Backless","Plain","Slip, bow","H0421C04J-Q11","Extra short","24.5 "" (Size S)","32.0 "" (Size S)","Bodycon","Our model is 5' 9""  tall and is wearing size S",
"alternative",0.6461024871082117,0.35367208122226673,5.7327788770510735E-6,1.5149286195515283E-7,2.1921694399614292E-4,2.7386050051602885E-10,3.301799259035686E-7,787,"ONLY Carmakoma","CARMARRAKESH DRESS ","Day dress","summer-dresses",34.99,"pastel green",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur","Standing collar",,,,"Low-cut v-neck","Print","Bust darts","ONA21C0CN-M11","Short","20.0 "" (Size 14)","37.0 "" (Size 14)","Loose Fit",,"15.0 "" (Size 14)"
"sporty",0.014677371551021024,0.05273059963134341,0.011941030367704724,0.0033601281683980915,0.0019001293398642162,0.8674808504471982,0.047909890494470246,788,"Levi's®","KENNEDY QUILTED DRESS ","Day dress","summer-dresses",84.99,"black",,,,,"70% cotton, 30% polyester",,,,,,"Zip",,"Plain","Inseam pockets, adjustable straps","LE221C02W-Q11","Calf-length","Spaghetti straps","48.0 "" (Size S)","Loose Fit","Our model is 5' 9""  tall and is wearing size S",
"trendy",2.0871009412930164E-7,5.729468380950438E-4,0.007285128283678718,0.01487119025728259,0.07162191149873173,6.432747150040393E-10,0.905648613768843,789,"Sister Jane","STARRY NIGHT MINI DRESS ","Cocktail dress / Party dress","Cocktail Dresses",84.99,"black",,,,,"100% polyester","97% polyester, 3% elastane","Dry clean only","Turn-down collar",,,"Zip",,,"Slip","QS021C075-Q11","Extra short","Short","32.5 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
"trendy",3.389309776909058E-23,9.427344473686077E-18,6.35423468029077E-4,0.034252386814659246,4.1586210253192635E-6,8.570750253448194E-37,0.9651080310962863,790,"MM6 Maison Margiela","DRESS ","Day dress","summer-dresses",590.0,"black/white",,,,"Semi-sheer","40% linen, 29% viscose, 28% cotton, 3% elastane",,"Hand wash only",,,,"Zip","Crew neck","Plain","Inseam pockets","MMA21C02O-A11","Long","Sleeveless","56.0 "" (Size 10)","Regular Fit","Our model is 5' 11""  tall and is wearing size 10","14.5 "" (Size 10)"
"sporty",0.0010889234778856595,1.089405951336603E-7,7.129446955885938E-6,9.63945842502539E-6,1.463705975952481E-6,0.9988868578574487,5.8771127136544565E-6,791,"MAMALICIOUS","MLZALVA DRESS ","Day dress","summer-dresses",30.99,"white",,,"Sweat",,"95% cotton, 5% elastane",,"Machine wash at 40°C",,,,,"Crew neck","Plain","Elasticated waist","M6429F163-B11","Knee-length","Elbow length","37.0 "" (Size 8)","Regular Fit",,
"casual chic",1.1106122452778808E-4,0.9836038553663443,0.014220239014923449,0.001220605841165053,8.228262038270878E-4,1.6791969382323584E-6,1.9733152273993672E-5,792,"ONLY","ONLFIONA LIFEL SMOCK DRESS ","Day dress","summer-dresses",26.34,"navy",,,,,"100% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,"Button","Crew neck","Floral",,"ON321C2PE-K11","Short","23.5 "" (Size S)","34.5 "" (Size S)","Slim Fit","Our model is 5' 10""  tall and is wearing size S",
"casual chic",0.45587152751144944,0.5314989335792137,8.642665632902615E-4,0.0114142958145563,2.750256043175975E-4,2.1082666478587227E-10,7.595071634608438E-5,793,"MAMALICIOUS","MLALICE DRESS ","Day dress","summer-dresses",43.99,"multi-coloured",,,,,"100% viscose",,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,"V-neck","Floral","Bow","M6429F16X-Q11","Knee-length","25.0 "" (Size 8)","38.0 "" (Size 8)","Loose Fit",,"14.0 "" (Size 8)"
"casual chic",0.03868945548728007,0.8362235967423579,0.099490426317246,0.008293200579923736,0.015190401516855988,1.3407673476767283E-6,0.002111578588988468,794,"Scotch & Soda","ALLOVER ","Day dress","summer-dresses",124.99,"black/white",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Print","Belt included","SC321C086-T11","Knee-length","Elbow length","37.0 "" (Size S)","Loose Fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
"casual chic",0.1885605985474551,0.5495013915933457,0.09521632366670421,0.15136830004846064,0.015295964909406505,2.8607785200259305E-12,5.74212317671141E-5,795,"Part Two","MELISA ","Day dress","summer-dresses",89.99,"black/brown",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,"Button","Crew neck","Floral",,"P2121C0D5-C11","Short","25.0 "" (Size 8)","36.5 "" (Size 8)","Loose Fit","Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)"
"trendy",4.603103253811174E-12,2.409473871598741E-9,1.5459509132656177E-6,4.709284137296926E-5,2.023815530937562E-5,4.8940494939637086E-14,0.9999311206382786,796,"WAL G.","RUFFLE SLEEVE INSERT MINI ","Cocktail dress / Party dress","Cocktail Dresses",37.99,"black",,,"Lace",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,"Zip","Crew neck","Plain","Padded bust","WG021C04Y-Q11","Extra short","Elbow length","33.0 "" (Size 10)","Fitted waist","Our model is 5' 11""  tall and is wearing size 10",
"edgy",0.29473927358881197,0.0021130768778158207,0.019795459703137633,0.6815361095359381,0.001195302891691063,5.6651504484134416E-5,5.641258981213049E-4,797,"Even&Odd Curvy","Day dress",,"summer-dresses",25.99,"black/brown",,,"Jersey",,"95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Standing collar",,,,"Low-cut v-neck","Print","Bust darts","EVB21C02T-T11","Knee-length","26.0 "" (Size 18)","39.0 "" (Size 18)","Regular Fit",,
"sporty",3.414610923931097E-8,7.527939509287543E-8,9.900927551009983E-10,3.257328917771673E-10,4.311642765248798E-12,0.9999998892339449,2.04134713768165E-11,798,"JDY","NASHVILLE  ","Day dress","summer-dresses",18.99,"pastel pink",,,"Sweat",,"62% cotton, 38% polyester",,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,"Crew neck","Plain",,"JY121C0L0-J11","Short","25.0 "" (Size S)","34.5 "" (Size S)","Loose Fit","Our model is 5' 10""  tall and is wearing size S",
"alternative",0.616675344225164,0.37811235208021915,0.005183689175612179,2.207407165659546E-5,3.990951933174327E-6,3.735340115576342E-12,2.5494916795465818E-6,799,"Vero Moda","VMANNA SHORT DRESS ","Day dress","summer-dresses",20.14,"black multi-coloured",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"V-neck","Floral",,"VE121C37L-Q11","Short","24.5 "" (Size S)","34.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"casual chic",8.249969311573515E-6,0.982909796388519,4.311033628317514E-5,2.7925552490821716E-4,0.01670921817811057,5.443217021695211E-9,5.036415965054777E-5,800,"Faithfull the brand","RORY MIDI DRESS ","Day dress","summer-dresses",220.0,"yellow",,,,,"100% cotton","100% viscose","Hand wash only",,,,,"Square neck","Floral","Slip, bow","F0O21C01T-E11","Calf-length","Short","41.0 "" (Size S)","Regular Fit","Our model is 5' 11""  tall and is wearing size S","11.5 "" (Size S)"
"sporty",2.380021132797108E-6,3.2219036760905185E-8,3.918157252819465E-4,1.647088841572861E-5,6.433993405799121E-7,0.9989261931147425,6.624646320498535E-4,801,"Polo Ralph Lauren","OVERSIZE DOLMAN FLEECE DRESS ","Day dress","Cocktail Dresses",174.99,"white",,,"Sweat",,"100% cotton",,"Machine wash at 30°C",,,,,"Crew neck","Plain","Elasticated waist","PO221C09S-A11","Knee-length","Long",,"Loose Fit",,
"girly",0.059119549456663284,0.33138888666917665,0.040330677611409016,0.11223196156868574,0.377769797299775,4.30378266160807E-10,0.0791591269639121,802,"IN THE STYLE","CHARLOTTE GREEDY FLORAL RUFFLE HIGH NECK MINI DRESS ","Day dress","summer-dresses",46.99,"black/white",,,,,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30°C","Standing collar",,,"Button",,"Floral","Belt included, slip","I0421C01L-Q11","Short","Long",,"Slim Fit",,
"trendy",2.721367876747377E-8,2.6715646714061595E-8,0.04079228493590495,0.2092066670982272,1.1422594782361755E-4,3.9077243454555853E-10,0.7498867676979463,803,"Missguided Tall","ONE SHOULDER RUSHED MIDI DRESS ","Cocktail dress / Party dress","Cocktail Dresses",29.99,"black",,,"Jersey",,"95% polyester, 5% elastane",,"Machine wash at 30°C",,"Asymmetrical",,,,"Plain",,"MIG21C0H4-Q11","Knee-length","24.0 "" (Size 8)","41.0 "" (Size 8)","Bodycon",,
"edgy",5.724094380974313E-13,8.659614920126467E-11,2.463501751694549E-4,0.9932000131505386,0.0026790021155036893,1.3722464626471172E-27,0.0038746344716197333,804,"Alexa Chung","PHYLLIS MILK MAID DRESS ","Day dress","summer-dresses",495.0,"brown",,,,,"100% cotton",,"Machine wash at 30°C",,,,"Zip","Square neck","Checked",,"A2B21C00B-A11","Calf-length","Elbow length","46.0 "" (Size 8)","Regular Fit","Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
"sporty",2.6944795713294315E-5,1.2636196619673513E-4,0.020096855716778345,1.7396561494291686E-6,2.953139609127661E-6,0.979737378469751,7.766255802158493E-6,805,"GANT","BLOCK  DRESS ","Day dress","summer-dresses",104.99,"navy",,,"Jersey",,"70% viscose, 25% polyamide, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Polo shirt",,,,,"Plain",,"GA321C063-K11","Short","Elbow length","34.5 "" (Size S)","Regular Fit","Our model is 5' 9""  tall and is wearing size S",
"girly",2.9392191026688482E-21,1.672989303608588E-20,4.637380088019074E-7,4.2887683764269096E-12,0.9261318907000035,1.2446540021366477E-33,0.07386764555769897,806,"IVY & OAK BRIDAL","Occasion wear",,"Occasion dresses",469.99,"white",,,"Lace",,"75% cotton, 25% nylon","65% cotton, 32% polyamide, 3% elastane",,,,,"Button","Backless","Plain","Zip fastening, slip","IV521C014-A11","Long","3.5 "" (Size 8)","66.0 "" (Size 8)","Fitted waist","Our model is 5' 10""  tall and is wearing size 8",
"casual chic",0.05253489972350343,0.6132308697900439,0.10823082342049882,2.633836298763522E-4,0.1594718481613517,1.4181138164608411E-10,0.06626817513291437,807,"Mango","LOLIL ","Day dress","summer-dresses",39.99,"green",,,,,"100% viscose",,"Do not tumble dry, machine wash at 30°C",,,,,"Backless","Floral",,"M9121C5GO-M11","Calf-length","Extra short",,"Regular Fit",,
"girly",3.933266115794763E-4,0.3970116299348889,0.11614331440564322,0.02111731723871682,0.46296380785195596,8.01336346454174E-12,0.002370603949202141,808,"byTiMo","BUBBLE DRESS ","Day dress","summer-dresses",279.99,"white",,,"Chiffon",,"100% viscose","100% polyester","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Standing collar",,,"Zip",,"Polka dot","Bust darts","BYH21C01N-A11","Short","23.0 "" (Size S)","35.5 "" (Size S)","Regular Fit","Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
"trendy",1.1847025760469867E-9,6.427419934188247E-7,0.07467859978773181,0.46009091119761786,3.2801391081220234E-4,2.3045863562842477E-8,0.46490180813127846,809,"WAL G.","TAMMY MIDI DRESS ","Shift dress","Cocktail Dresses",32.99,"black",,,"Jersey, Lace",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C","Standing collar",,,"Button",,"Plain",,"WG021C0QR-Q11","Knee-length","Extra short","36.0 "" (Size 10)","Bodycon","Our model is 5' 9""  tall and is wearing size 10",
"classic",0.0011521265041781004,0.040847084986362754,0.9561752295672336,0.0015306523492547982,2.0627758727701768E-5,1.4585611136311261E-6,2.72820273129471E-4,810,"NAF NAF","Day dress",,"summer-dresses",69.99,"navy",,,,,"100% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Plain","Zip fastening, belt included, bust darts","NA521C181-K11","Short","25.0 "" (Size 8)","37.5 "" (Size 8)","Regular Fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
"girly",0.002541780659376834,0.009517091115079266,0.04089965772023414,4.806238435368881E-5,0.9461835587265215,1.4420167434105174E-10,8.098492502327894E-4,811,"ONLY Tall","ONLNELLA WRAP MIDI DRESS ","Day dress","summer-dresses",30.99,"green",,,"Rib",,"70% polyester, 26% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,"Cache-coeur","Striped",,"OND21C080-M11","Calf-length","Sleeveless","51.0 "" (Size S)","Slim Fit",,
"casual chic",0.0164443530055001,0.9834791431487054,3.355932132513292E-5,2.9056995877046177E-5,1.3017060021994024E-5,6.077495381894955E-7,2.627190319242498E-7,812,"ONLY Carmakoma","CARLUX TUNIC DRESS ","Day dress","summer-dresses",21.99,"black",,,,,"97% polyester, 3% elastane",,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",,,,"Zip","Crew neck","Plain","Bust darts","ONA21C0H9-Q11","Knee-length","Short",,"Loose Fit",,
"trendy",0.005284800094027418,0.004992172788725329,0.004975696448834677,0.011416109219376457,0.005432528377180802,3.7703582089288456E-7,0.9678983160360345,813,"Bec & Bridge","CAMMI TUCK DRESS ","Day dress","summer-dresses",,"black",,,,,"95% polyester, 5% elastane",,,,,,"Zip",,"Plain","Bust darts","BEU21C03N-Q11","Calf-length","Spaghetti straps",,"Slim Fit",,
"classic",0.03336678445253844,0.0017678653126176765,0.9642170785931098,5.899744935789611E-4,2.0250343553512767E-5,1.8063715966833746E-5,1.9983088634790996E-5,814,"Esprit Collection","Day dress",,"summer-dresses",39.99,"navy",,,,,"95% polyamide, 5% elastane","100% polyester","Do not bleach, do not tumble dry, machine wash at 30°C","Standing collar",,,"Button",,"Print",,"ES421C1IP-K11","Knee-length","Long",,"Regular Fit",,
"classic",0.24342195088012286,0.007728722293567755,0.7174765834962412,1.7959140121452696E-4,0.02039641010895083,4.1556592936638044E-13,0.010796741819487136,815,"Vila","VIADELINE DRESS ","Day dress","summer-dresses",29.74,"white multi-coloured",,,,,"100% polyester","100% polyester","Machine wash at 30°C, do not tumble dry, Machine wash on gentle cycle",,,,,"Low-cut v-neck","Animal print","Belt included, slip","V1021C2T4-K11",,"24.0 "" (Size 10)","36.5 "" (Size 10)","Regular Fit",,"14.0 "" (Size 10)"
"sporty",1.0570232600172449E-5,5.661992868488409E-6,7.4110239708075275E-6,1.5599517197118827E-4,1.9271610639018393E-10,0.9998177757463637,2.5856395096614967E-6,816,"Calvin Klein Jeans","MONOGRAM LOGO HALF ZIP DRESS ","Day dress","summer-dresses",84.99,"black",,,"Sweat",,"100% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle","Zip neck",,,,,"Plain","Elasticated waist","C1821C09M-Q11","Knee-length","Long",,"Loose Fit",,
"edgy",9.507382154802085E-4,3.365797387156493E-4,7.180354458141474E-5,0.9984724245680513,2.5493695585571396E-5,3.182239716878468E-6,1.397779978689134E-4,817,"Soyaconcept","SC","CANELA 2 ","summer-dresses",69.99,"brown",,,,,"59% polyester, 41% viscose",,"Do not tumble dry, machine wash at 30°C",,,,,"Crew neck","Checked",,"SO821C095-O11","Calf-length","Elbow length","49.0 "" (Size S)","Loose Fit",,
