cv_predicted,Styles,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
casual chic,classic,0.6936993290000001,3743,https://www.zalando.co.uk/my-true-me-tom-tailor-dress-shirt-day-dress-watercolor-design-tol21c02c-t11.html,MY TRUE ME TOM TAILOR,DRESS SHIRT  , Day dress,summer-dresses,Â£69.99,navy,--,--,--,--,"97% viscose, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Print,--,TOL21C02C-T11,Calf-length,"25.5 "" (Size 18)","41.5 "" (Size 18)",Loose Fit,--,"16.5 "" (Size 18)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.91612675,3033,https://www.zalando.co.uk/simply-be-supersoft-tiered-midi-dress-with-frillshoulder-day-dress-black-sie21c0a3-q11.html,Simply Be,SUPERSOFT TIERED MIDI DRESS WITH FRILLSHOULDER , Day dress,summer-dresses,Â£25.99,black,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Print,Bust darts,SIE21C0A3-Q11,Calf-length,"25.0 "" (Size 18)","49.0 "" (Size 18)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.622035251,2189,https://www.zalando.co.uk/noisy-may-longline-sweat-day-dress-light-grey-melange-nm321c0hx-c11.html,Noisy May,NMHELENE DRESS , Day dress,summer-dresses,Â£30.99,grey,--,--,--,--,"65% polyester, 35% cotton",--,"Do not tumble dry, Machine wash on gentle cycle, Do not bleach",Hood,--,--,--,--,Marl,--,NM321C0HX-C11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.9461219270000001,3638,https://www.zalando.co.uk/na-kd-belted-dress-day-dress-moss-green-naa21c0ro-m11.html,NA-KD,BELTED DRESS , Day dress,summer-dresses,Â£49.99,army green,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Plain,Belt included,NAA21C0RO-M11,Short,"25.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","17.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.8958738479999999,4607,https://www.zalando.co.uk/mango-chenai-l-day-dress-pink-m9121c5k8-j11.html,Mango,CHENAI,L ,summer-dresses,Â£49.99,pastel pink,--,--,--,--,"75% viscose, 25% polyester",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Square neck,Plain,--,M9121C5K8-J11,Short,Elbow length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.146166306,1334,https://www.zalando.co.uk/glamorous-curve-wrap-front-mini-dress-with-puff-long-sleeves-day-dress-blue-black-plisse-spot-gla21c095-k11.html,Glamorous Curve,WRAP FRONT MINI DRESS WITH PUFF LONG SLEEVES , Day dress,summer-dresses,Â£38.99,black/blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Cache-coeur,Animal print,Bow,GLA21C095-K11,Short,"26.0 "" (Size 18)","39.5 "" (Size 18)",Regular Fit,--,"18.5 "" (Size 18)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,alternative,0.043407978,2692,https://www.zalando.co.uk/farm-rio-mixed-leopards-jungle-midi-dress-day-dress-multi-coloured-f0i21c034-t11.html,Farm Rio,MIXED LEOPARDS JUNGLE MIDI DRESS , Day dress,summer-dresses,Â£219.99,multi-coloured,--,--,--,--,100% viscose,100% viscose,Hand wash only,--,--,--,Laces,Low-cut v-neck,Animal print,"Tassels, slip, bow",F0I21C034-T11,Calf-length,"28.5 "" (Size 8-10)","48.5 "" (Size 8-10)",Regular Fit,--,"14.5 "" (Size 8-10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,classic,0.604938658,6295,https://www.zalando.co.uk/diane-von-furstenberg-dress-occasion-wear-black-df221c0b5-q12.html,Diane von Furstenberg,DRESS , Jersey dress,Occasion dresses,Â£350.00,black,--,--,Jersey,--,100% viscose,--,Dry clean only,Standing collar,--,--,Zip,--,Print,Shoulder pads,DF221C0B5-Q12,Long,Extra short,"55.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.5661717820000001,6706,https://www.zalando.co.uk/diane-von-furstenberg-celestia-dress-cocktail-dress-party-dress-green-df221c0bp-m11.html,Diane von Furstenberg,CELESTIA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£510.00,black/green,--,--,--,--,100% polyester,--,Dry clean only,--,--,--,Zip,Cache-coeur,Print,"Belt included, inseam pockets",DF221C0BP-M11,Calf-length,"26.0 "" (Size 8)","44.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.59800776,2714,https://www.zalando.co.uk/guess-amira-dress-day-dress-jet-black-multi-gu121c11l-q11.html,Guess,AMIRA DRESS , Day dress,summer-dresses,Â£109.99,black,--,--,Faux leather,--,100% viscose,100% viscose,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Animal print,Slip,GU121C11L-Q11,Short,Sleeveless,"38.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
unknown,alternative,0.5539629429999999,3374,https://www.zalando.co.uk/superdry-miami-day-dress-light-grey-su221c0j8-c11.html,Superdry,MIAMI  , Day dress,summer-dresses,Â£34.99,grey,--,--,--,--,"95% cotton, 5% elastane",--,--,--,--,--,--,--,--,--,SU221C0J8-C11,--,--,--,--,--,--,--,--,--,--,--,--,"95% cotton, 5% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.598214726,6567,https://www.zalando.co.uk/esprit-collection-beadandsequins-cocktail-dress-party-dress-light-taupe-es421c1jw-o11.html,Esprit Collection,BEAD&SEQUINS , Cocktail dress / Party dress,Cocktail Dresses,From Â£75.00,pastel pink,--,--,--,--,100% polyamide,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, sequins",ES421C1JW-O11,Knee-length,"Sleeveless, spaghetti straps","33.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","16.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.574826541,4108,https://www.zalando.co.uk/lily-and-lionel-talitha-day-dress-brick-l2t21c01f-g11.html,Lily & Lionel,TALITHA , Day dress,summer-dresses,Â£179.99,burnt orange,--,--,Cord,--,100% cotton,--,--,Mandarin collar,--,--,Button,--,Plain,"Belt included, inseam pockets",L2T21C01F-G11,Calf-length,"25.0 "" (Size 10)","47.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,alternative,0.26492343100000004,1198,https://www.zalando.co.uk/superdry-alana-cami-day-dress-black-su221c0nj-q11.html,Superdry,ALANA , Day dress,summer-dresses,Â£44.99,black,--,--,--,--,"50% polyester, 50% cotton",--,--,--,--,--,--,--,--,--,SU221C0NJ-Q11,--,Spaghetti straps,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.558925531,1458,https://www.zalando.co.uk/hollister-co-bare-structured-day-dress-black-h0421c04k-q11.html,Hollister Co.,BARE STRUCTURED , Day dress,summer-dresses,Â£44.99,black,--,--,Faux leather,--,100% polyester,--,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,"Button row, adjustable straps",H0421C04K-Q11,Short,Sleeveless,"31.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,classic,0.887258773,247,https://www.zalando.co.uk/derhy-axelle-robe-day-dress-kaki-rd521c0me-t11.html,Derhy,AXELLE ROBE , Day dress,summer-dresses,Â£76.49,white multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, Hand wash only",Turn-down collar,--,--,Button,--,Print,Belt included,RD521C0ME-T11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.9354728459999999,7283,https://www.zalando.co.uk/moves-sikkamo-cocktail-dress-party-dress-black-mod21c07r-q11.html,Moves,SIKKAMO , Cocktail dress / Party dress,Cocktail Dresses,Â£84.99,black,--,--,"Jersey, tulle",--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,Plain,Slip,MOD21C07R-Q11,Short,Short,"36.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.75358927,409,https://www.zalando.co.uk/soaked-in-luxury-slvioletta-dress-day-dress-silver-fern-so921c09w-t11.html,Soaked in Luxury,SLVIOLETTA DRESS , Day dress,summer-dresses,Â£89.99,white multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Floral,--,SO921C09W-T11,Calf-length,"21.0 "" (Size S)","49.0 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.361405425,3978,https://www.zalando.co.uk/new-girl-order-dot-dress-day-dress-lilacyellow-nem21c01u-i11.html,NEW girl ORDER,DOT DRESS , Day dress,summer-dresses,Â£36.99,white multi-coloured,--,--,--,--,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Backless,Polka dot,--,NEM21C01U-I11,Extra short,Spaghetti straps,"31.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.604913197,7315,https://www.zalando.co.uk/gina-tricot-daniella-dress-cocktail-dress-party-dress-eden-gid21c080-m11.html,Gina Tricot,DANIELLA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£59.99,green,--,--,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,Laces,--,Plain,--,GID21C080-M11,Calf-length,"24.5 "" (Size 8)","50.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.545879524,7354,https://www.zalando.co.uk/vero-moda-vmjean-wrap-dress-day-dress-navy-blazer-ve121c2q5-k11.html,Vero Moda,VMJEAN WRAP DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£35.99,navy,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,Asymmetrical,--,--,Cache-coeur,Plain,Slip,VE121C2Q5-K11,Short,Elbow length,"35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","13.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.944642199,1119,https://www.zalando.co.uk/only-tall-onlolivia-wrap-dress-day-dress-blue-ond21c05c-k12.html,ONLY Tall,ONLOLIVIA DRESS , Day dress,summer-dresses,Â£25.99,blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Floral,Bust darts,OND21C05C-K12,Knee-length,Short,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,trendy,0.907171779,6464,https://www.zalando.co.uk/wal-g-imaani-strappy-midi-dress-cocktail-dress-party-dress-electric-blue-wg021c0nz-k11.html,WAL G.,IMAANI STRAPPY MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£34.99,electric blue,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,V-neck,Plain,--,WG021C0NZ-K11,Knee-length,Sleeveless,"41.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.429074036,4039,https://www.zalando.co.uk/2nd-day-meg-refined-day-dress-pink-s3821c05y-i11.html,2nd Day,MEG REFINED , Day dress,summer-dresses,Â£419.99,sand,--,--,--,--,100% leather,100% polyester,Dry clean only,--,--,--,Zip,Crew neck,Plain,Belt included,S3821C05Y-I11,Calf-length,Elbow length,"44.5 "" (Size 8)",Regular Fit,--,"11.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.599267015,3785,https://www.zalando.co.uk/lascana-tiny-dot-day-dress-schwarzweiss-l8321c00l-q11.html,LASCANA,Day dress,,summer-dresses,Â£54.99,black,--,--,--,--,100% viscose,--,--,--,--,--,--,Crew neck,Polka dot,--,L8321C00L-Q11,Calf-length,Short,"40.5 "" (Size 8)",Regular Fit,--,"15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,alternative,0.940287034,1085,https://www.zalando.co.uk/only-onlbianca-smock-dress-day-dress-lavendula-joy-on321c2ph-i11.html,ONLY,ONLBIANCA SMOCK DRESS , Day dress,summer-dresses,Â£34.99,black multi-coloured,--,--,--,--,"98% viscose, 2% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Floral,--,ON321C2PH-I11,Short,Elbow length,"35.0 "" (Size S)",Regular Fit,--,"14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.236467197,3995,https://www.zalando.co.uk/lauren-ralph-lauren-dougal-day-dress-day-dress-blackpale-cream-l4221c1ci-q11.html,Lauren Ralph Lauren,STRIPED BUTTON,TRIM COTTON DRESS ,summer-dresses,Â£139.99,black/white,--,--,Jersey,--,"53% cotton, 41% viscose, 6% elastane",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Striped,"Button row, decorative buttons",L4221C1CI-Q11,Short,"16.5 "" (Size 8/10)","33.5 "" (Size 8/10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.126875348,5586,https://www.zalando.co.uk/vero-moda-vmsunilla-short-dress-cocktail-dress--party-dress-ve121c1tr-j12.html,Vero Moda,VMSUNILLA SHORT DRESS , Day dress,summer-dresses,Â£34.99,pink,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Button,Crew neck,Floral,"Belt included, bust darts, slip",VE121C1TR-J12,Short,Sleeveless,"34.0 "" (Size S)",Fitted waist,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.110341287,6255,https://www.zalando.co.uk/yas-yaseloise-dress-celeb-maxi-dress-star-white-y0121c0xw-a11.html,YAS,YASELOISE DRESS CELEB , Occasion wear,Occasion dresses,Â£149.99,white,--,--,Lace,--,"75% cotton, 25% polyamide","92% polyester, 8% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,V-neck,Plain,Slip,Y0121C0XW-A11,Extra long,"25.5 "" (Size S)","66.0 "" (Size S)",Fitted waist,"Our model is 5' 11""  tall and is wearing size S","13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
edgy,edgy,0.034220739,2399,https://www.zalando.co.uk/hugo-neshy-day-dress-dark-blue-hu721c0j4-k11.html,HUGO,NESHY , Day dress,summer-dresses,Â£174.99,black/blue,--,--,Mesh,--,"90% polyester, 10% elastane","90% polyester, 10% elastane",--,Standing collar,--,--,Zip,--,Floral,Slip,HU721C0J4-K11,Calf-length,"26.5 "" (Size S)","50.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,edgy,0.148668986,642,https://www.zalando.co.uk/ichi-ihvera-dr18-day-dress-lilac-ic221c0id-i11.html,ICHI,IHVERA DR18 , Day dress,summer-dresses,Â£39.99,black multi-coloured,--,--,--,--,100% viscose,--,"Machine wash at 40Â°C, do not tumble dry",Shirt collar,--,--,Button,--,Floral,Belt included,IC221C0ID-I11,Knee-length,"24.5 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.509231335,2076,https://www.zalando.co.uk/superdry-day-dress-springs-yellow-su221c0og-e11.html,Superdry,TONAL CITY  , Shift dress,summer-dresses,Â£30.00,yellow,--,--,--,--,100% cotton,--,"Do not bleach, do not tumble dry",Hood,--,--,Drawstring fastening,--,Plain,--,SU221C0OG-E11,Thigh-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,100% cotton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
sporty,sporty,0.51353427,2863,https://www.zalando.co.uk/noisy-may-tall-nmhelene-dress-day-dress-black-nob21c01w-q11.html,Noisy May Tall,NMHELENE DRESS , Day dress,summer-dresses,Â£27.89,black,--,--,Sweat,--,"65% polyester, 35% cotton",--,"Do not tumble dry, machine wash at 30Â°C",Hood,--,--,--,--,Plain,--,NOB21C01W-Q11,Calf-length,"25.5 "" (Size 10)","43.5 "" (Size 10)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.145268845,685,https://www.zalando.co.uk/sister-jane-blouse-pink-qs021e06y-j11.html,Sister Jane,FLORAL FIGURES MIDI DRESS , Day dress,summer-dresses,Â£89.99,pastel pink,--,--,Chiffon,--,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, Do not wash",Peter Pan collar,--,--,Button,--,Floral,Slip,QS021E06Y-J11,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
girly,girly,0.795937566,6274,https://www.zalando.co.uk/vila-petite-vimilina-halterneck-dress-occasion-wear-grayed-jade-vip21c00y-m12.html,VILA PETITE,VIMILINA HALTERNECK DRESS , Occasion wear,Occasion dresses,Â£54.99,pastel green,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Crew neck,Plain,"Crochet Detailing, slip",VIP21C00Y-M12,Long,Sleeveless,"57.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.873159363,41,https://www.zalando.co.uk/saint-tropez-edasz-solid-dress-day-dress-blue-deep-s2821c08e-k11.html,Saint Tropez,EDASZ SOLID DRESS , Day dress,summer-dresses,Â£34.99,navy,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,--,--,--,Low-cut v-neck,Plain,--,S2821C08E-K11,Knee-length,"16.5 "" (Size S)","39.5 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
casual chic,casual chic,0.8940989359999999,1300,https://www.zalando.co.uk/mbym-mash-summer-dress-messina-mb121c06i-q11.html,mbyM,MASH , Day dress,summer-dresses,Â£74.99,black,--,--,--,--,100% polyester,--,--,Standing collar,--,--,Zip,--,Floral,Inseam pockets,MB121C06I-Q11,Short,"19.0 "" (Size M)","37.0 "" (Size M)",Fitted waist,"Our model is 5' 11""  tall and is wearing size M","15.0 "" (Size M)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.113555876,4357,https://www.zalando.co.uk/esprit-maternity-day-dress-night-sky-blue-es929f0b4-k11.html,Esprit Maternity,Day dress,,summer-dresses,Â£72.99,navy,--,--,--,--,"95% cotton, 5% elastane","95% cotton, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,Plain,Slip,ES929F0B4-K11,Calf-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.6713086429999999,6123,https://www.zalando.co.uk/diane-von-furstenberg-dress-occasion-wear-black-df221c0b5-q11.html,Diane von Furstenberg,DRESS , Jersey dress,Occasion dresses,Â£315.00,black,--,--,Jersey,--,100% viscose,--,Dry clean only,Standing collar,--,--,Zip,--,Plain,Shoulder pads,DF221C0B5-Q11,Long,Extra short,"59.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.20571952100000002,7338,https://www.zalando.co.uk/custommade-lillian-cocktail-dress-party-dress-silver-cloud-cu721c034-d11.html,Custommade,LILLIAN , Cocktail dress / Party dress,Cocktail Dresses,Â£349.99,dusty pink,--,--,--,--,"61% polyester, 39% polyamide",--,--,Standing collar,--,--,Button,--,Polka dot,"Slip, rhinestones",CU721C034-D11,Short,"27.5 "" (Size S)","32.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
classic,classic,0.819741869,6467,https://www.zalando.co.uk/tfnc-sorean-mini-cocktail-dress-party-dress-black-tf121c0kw-q12.html,TFNC,SOREAN MINI , Cocktail dress / Party dress,Cocktail Dresses,Â£36.99,black,--,--,Chiffon,--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,Cache-coeur,Plain,Slip,TF121C0KW-Q12,Extra short,Sleeveless,"35.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.602066605,6119,https://www.zalando.co.uk/bcbgmaxazria-long-evening-dress-occasion-wear-black-mx121c07w-q11.html,BCBGMAXAZRIA,LONG EVENING DRESS , Occasion wear,Occasion dresses,Â£289.99,black,--,--,"Jersey, Lace",--,"95% polyester, 5% elastane","95% polyester, 5% elastane",Dry clean only,--,--,--,Zip,--,Plain,Wired bustier,MX121C07W-Q11,Long,Strapless,"54.0 "" (Size S)",Slim Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,"35% nylon, 34% cotton, 31% viscose",--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.9778702859999999,2685,https://www.zalando.co.uk/missguided-day-dress-black-m0q21c23o-q11.html,Missguided,Day dress,,summer-dresses,Â£24.99,black,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Plain,Belt included,M0Q21C23O-Q11,Short,"26.5 "" (Size 8)","31.5 "" (Size 8)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
trendy,trendy,0.825514227,1590,https://www.zalando.co.uk/monki-caroline-dress-day-dress-flower-moq21c0bl-t11.html,Monki,Day dress,,summer-dresses,Â£26.00,bright multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,--,MOQ21C0BL-T11,Calf-length,Elbow length,"55.5 "" (Size XS/S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size XS/S","14.0 "" (Size XS/S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
alternative,trendy,0.74209288,4576,https://www.zalando.co.uk/mango-day-dress-black-m9121c5j3-q11.html,Mango,Day dress,,summer-dresses,Â£59.99,black/white,--,--,--,--,100% viscose,100% polyester,--,--,--,--,--,Low-cut v-neck,--,--,M9121C5J3-Q11,Short,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
