Style options,Styles,Random order,Original order,,link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,,0.214070848,1587,,https://www.zalando.co.uk/cream-crferina-short-dress-zally-fit-day-dress-burnt-coral-cr221c0nf-j11.html,Cream,CRFERINA SHORT DRESS , ZALLY FIT ,summer-dresses,Â£64.99,orange,--,--,--,--,100% viscose,--,--,--,--,--,Button,V-neck,Floral,Inseam pockets,CR221C0NF-J11,Short,Short,"36.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","16.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.189088981,643,,https://www.zalando.co.uk/madewell-v-neck-bodice-dress-day-dress-true-black-m3j21c03e-q11.html,Madewell,VNECK SMOCKED BODICE DRESS , Day dress,summer-dresses,Â£89.99,black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Polka dot,--,M3J21C03E-Q11,Short,"20.0 "" (Size S)","34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.435599328,3275,,https://www.zalando.co.uk/chiara-ferragni-dress-day-dress-aquarius-chv21c009-k11.html,CHIARA FERRAGNI,DRESS , Day dress,summer-dresses,Â£370.00,bright multi-coloured,--,--,Jersey,--,"95% viscose, 5% elastane",--,Hand wash only,--,--,--,Laces,Low-cut v-neck,Floral,--,CHV21C009-K11,Extra short,"25.5 "" (Size 10)","32.5 "" (Size 10)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.106364326,1551,,https://www.zalando.co.uk/cotton-on-rose-v-neck-midi-dress-day-dress-mya-floral-black-c1q21c029-q11.html,Cotton On,ROSE NECK MIDI DRESS , Day dress,summer-dresses,Â£28.99,black,--,--,--,--,100% viscose,--,Machine wash at 40Â°C,--,--,--,--,Backless,Floral,--,C1Q21C029-Q11,Calf-length,Sleeveless,"55.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.39384796,6646,,https://www.zalando.co.uk/swing-dress-cocktail-dress-party-dress-navy-sg721c0ll-k11.html,Swing,DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£149.99,navy,--,--,Jersey,--,100% polyester,"92% polyester, 8% elastane",--,--,--,--,Zip,Square neck,Plain,Slip,SG721C0LL-K11,Knee-length,Short,"40.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.791406776,6388,,https://www.zalando.co.uk/ivy-and-oak-bridal-delphine-occasion-wear-pearl-iv521c02p-a11.html,IVY & OAK BRIDAL,DELPHINE , Occasion wear,Occasion dresses,Â£224.99,white,--,--,--,--,"69% polyester, 23% viscose, 8% elastane",100% polyester,"Do not tumble dry, Do not wash",--,--,--,Zip,Crew neck,Plain,Slip,IV521C02P-A11,Calf-length,Sleeveless,"51.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.112371799,2512,,https://www.zalando.co.uk/cream-crcyrena-dress-kim-fit-day-dress-medium-blue-denim-cr221c0nm-k11.html,Cream,CRCYRENA DRESS , KIM FIT ,summer-dresses,Â£99.99,denim,--,--,Denim,--,100% cotton,--,--,--,--,--,--,Low-cut v-neck,--,"Inseam pockets, embroidery",CR221C0NM-K11,Short,Short,"34.5 "" (Size 10)",Oversized,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.483281622,1580,,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-black-ve121c382-q11.html,Vero Moda,VMFRIGGA WRAP DRESS  , Day dress,summer-dresses,Â£34.99,black,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Cache-coeur,Plain,--,VE121C382-Q11,Knee-length,"24.0 "" (Size S)","36.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.385346274,5878,,https://www.zalando.co.uk/sixth-june-essential-corset-dress-day-dress-blac-sib21c00a-q11.html,Sixth June,ESSENTIAL CORSET DRESS , Day dress,summer-dresses,Â£29.99,black,--,--,Sweat,--,100% polyester,--,Machine wash at 30Â°C,--,--,--,--,Crew neck,Print,--,SIB21C00A-Q11,Extra short,Short,"29.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.34840115,2353,,https://www.zalando.co.uk/hollister-co-bodice-dress-day-dress-yellow-floral-h0421c05a-e11.html,Hollister Co.,BODICE DRESS , Day dress,summer-dresses,From Â£48.99,pastel yellow,--,--,--,--,100% viscose,100% polyester,Machine wash at 30Â°C,--,--,--,--,Backless,Floral,Slip,H0421C05A-E11,Extra short,"20.0 "" (Size SxL)","31.5 "" (Size SxL)",Regular Fit,"Our model is 5' 10""  tall and is wearing size SxL",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.667852261,784,,https://www.zalando.co.uk/yas-yasfia-34-long-shirt-dress-day-dress-black-y0121c1ss-t11.html,YAS,YASFIA LONG SHIRT DRESS , Day dress,summer-dresses,Â£41.99,black multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Button,--,Floral,Bust darts,Y0121C1SS-T11,Long,"19.5 "" (Size S)","53.0 "" (Size S)",Regular Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.693149141,6788,,https://www.zalando.co.uk/swing-cocktail-dress-party-dress-navy-sg721c0m3-k11.html,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£129.99,navy,100% polyester,--,"Jersey, chiffon",--,"92% polyester, 8% elastane","95% polyester, 5% elastane",--,--,--,--,Zip,Backless,Floral,"Bust darts, slip",SG721C0M3-K11,Knee-length,Sleeveless,"36.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.967136401,1248,,https://www.zalando.co.uk/abercrombie-and-fitch-emea-babydoll-mini-day-dress-green-grounded-a0f21c09m-m11.html,Abercrombie & Fitch,EMEA BABYDOLL MINI , Day dress,summer-dresses,Â£59.99,dark green,--,--,--,--,100% polyester,"98% polyester, 2% elastane",Machine wash at 30Â°C,--,--,--,--,Backless,Floral,"Bust darts, slip",A0F21C09M-M11,Extra short,"20.5 "" (Size S)","32.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.405198828,3172,,https://www.zalando.co.uk/selected-femme-slfasia-wrap-dress-day-dress-black-se521c15a-q11.html,Selected Femme,SLFASIA WRAP DRESS , Day dress,summer-dresses,Â£59.99,black,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Print,--,SE521C15A-Q11,Short,"24.0 "" (Size 8)","37.5 "" (Size 8)",Regular Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.962818108,4586,,https://www.zalando.co.uk/mango-day-dress-rosa-m9121c5il-j11.html,Mango,VOLE , Day dress,summer-dresses,Â£49.99,pink,--,--,--,--,100% cotton,100% viscose,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Plain,--,M9121C5IL-J11,Calf-length,Sleeveless,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.286765532,6833,,https://www.zalando.co.uk/boss-cocktail-dress-party-dress-patterned-bb121c0er-q11.html,BOSS,DELYRA , Cocktail dress / Party dress,Cocktail Dresses,Â£429.00,black,--,--,--,--,"98% polyester, 2% metal",100% polyester,"Clean with leather care products, do not tumble dry, Do not wash",--,--,--,Zip,Crew neck,--,"Elasticated waist, slip",BB121C0ER-Q11,Calf-length,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.080616673,388,,https://www.zalando.co.uk/kaffe-oline-dress-shirt-dress-black-ka321c0ct-q12.html,Kaffe,OLINE DRESS , Day dress,summer-dresses,Â£69.99,black,--,--,--,Semi-sheer,100% viscose,--,--,Turn-down collar,--,--,Button,--,Polka dot,"Belt included, bust darts",KA321C0CT-Q12,Calf-length,"26.5 "" (Size 10)","52.5 "" (Size 10)",Regular Fit,--,"14.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.935168283,2627,,https://www.zalando.co.uk/missguided-petite-frill-shoulder-mini-dress-day-dress-oatmeal-m0v21c0jr-a11.html,Missguided Petite,FRILL SHOULDER DRESS , Day dress,summer-dresses,Â£29.99,sand,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Backless,Plain,--,M0V21C0JR-A11,Extra short,Short,"27.0 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.264185932,2935,,https://www.zalando.co.uk/na-kd-padded-shoulder-mini-dress-day-dress-blue-comb-naa21c0p8-k11.html,NA-KD,PADDED SHOULDER MINI DRESS , Day dress,summer-dresses,Â£59.99,blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,--,Crew neck,Floral,Shoulder pads,NAA21C0P8-K11,Extra short,"26.0 "" (Size 8)",--,Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.688138681,3988,,https://www.zalando.co.uk/day-birger-et-mikkelsen-zoe-day-dress-black-da321c076-q11.html,DAY Birger et Mikkelsen,ZOE , Day dress,summer-dresses,Â£259.99,black,--,--,Satin,--,"65% viscose, 35% silk",--,Dry clean only,Standing collar,--,--,Laces,Low-cut v-neck,Plain,--,DA321C076-Q11,Calf-length,Elbow length,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.798971246,4380,,https://www.zalando.co.uk/summery-copenhagen-josefine-sleeves-day-dress-ballad-bluelavender-fog-cec21c03z-k11.html,SUMMERY Copenhagen,JOSEFINE , Day dress,summer-dresses,Â£194.99,grey,--,--,--,--,100% cotton,--,Hand wash only,--,--,--,--,Crew neck,--,Bust darts,CEC21C03Z-K11,Calf-length,Short,"43.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.289396648,3533,,https://www.zalando.co.uk/lauren-ralph-lauren-scoopneck-dress-day-dress-hyannis-port-orange-l4221c1ek-h11.html,Lauren Ralph Lauren,SCOOPNECK DRESS , Day dress,summer-dresses,Â£139.99,red,--,--,Jersey,--,"94% cotton, 6% elastane","95% polyester, 5% elastane","Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Scoop neck,Plain,Slip,L4221C1EK-H11,Knee-length,Extra short,"36.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.847289995,6761,,https://www.zalando.co.uk/bytimo-festive-midi-dress-cocktail-dress-party-dress-multi-coloured-byh21c023-t11.html,byTiMo,FESTIVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£299.99,bright multi-coloured,--,--,--,--,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Crew neck,Floral,"Bust darts, slip",BYH21C023-T11,Calf-length,"20.5 "" (Size S)","49.0 "" (Size S)",Regular Fit,--,"13.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.71839162,2181,,https://www.zalando.co.uk/superdry-day-dress-khaki-su221c0nx-n11.html,Superdry,Day dress,,summer-dresses,Â£31.49,brown,--,--,--,--,100% lyocell,--,"Do not tumble dry, Do not bleach",--,--,--,Button,Crew neck,--,Embroidery,SU221C0NX-N11,Knee-length,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.929946226,6784,,https://www.zalando.co.uk/the-kooples-dress-cocktail-dress-party-dress-black-tha21c09n-q11.html,The Kooples,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£269.99,black,--,--,Chiffon,--,100% polyester,100% viscose,Dry cleaning,--,--,--,Zip,Crew neck,Plain,"Button row, slip, decorative buttons",THA21C09N-Q11,Short,"24.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.225505477,6742,,https://www.zalando.co.uk/alice-olivia-tayla-mini-cocktail-dress-party-dress-perfect-pansy-a2n21c01d-m11.html,Alice + Olivia,TAYLA MINI , Cocktail dress / Party dress,Cocktail Dresses,Â£285.00,bright multi-coloured,--,--,--,--,100% polyester,"94% polyester, 6% elastane",Dry clean only,--,--,--,Zip,Low-cut v-neck,Floral,Slip,A2N21C01D-M11,Extra short,Spaghetti straps,"32.0 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.558925531,1458,,https://www.zalando.co.uk/hollister-co-bare-structured-day-dress-black-h0421c04k-q11.html,Hollister Co.,BARE STRUCTURED , Day dress,summer-dresses,Â£44.99,black,--,--,Faux leather,--,100% polyester,--,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,"Button row, adjustable straps",H0421C04K-Q11,Short,Sleeveless,"31.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.745141208,764,,https://www.zalando.co.uk/molly-bracken-ladies-dress-day-dress-orange-red-madere-m6121c0up-h11.html,Molly Bracken,LADIES DRESS , Day dress,summer-dresses,Â£59.99,bright multi-coloured,--,--,--,Semi-sheer,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Floral,"Inseam pockets, button row, border",M6121C0UP-H11,Calf-length,Elbow length,"50.0 "" (Size M)",Regular Fit,--,"15.5 "" (Size M)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.820308926,1756,,https://www.zalando.co.uk/superdry-day-dress-rooibos-tea-su221c0nx-o11.html,Superdry,Day dress,,summer-dresses,Â£44.99,burnt orange,--,--,--,--,100% lyocell,--,"Do not bleach, do not tumble dry",--,--,--,Button,Crew neck,--,Embroidery,SU221C0NX-O11,Knee-length,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.650528888,3260,,https://www.zalando.co.uk/kaffe-vienne-dress-day-dress-grape-leaf-ka321c0rh-n11.html,Kaffe,KAVIENNE DRESS , Day dress,summer-dresses,Â£49.99,army green,--,--,--,Semi-sheer,100% viscose,--,--,--,--,--,--,Henley,Plain,--,KA321C0RH-N11,Knee-length,"21.5 "" (Size 8)","40.0 "" (Size 8)",Oversized,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.416758961,6945,,https://www.zalando.co.uk/kate-spade-new-york-taxi-dress-cocktail-dress-party-dress-french-cream-k0521c02q-a11.html,kate spade new york,TAXI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£249.99,black/white,--,--,--,--,100% polyester,"96% polyester, 4% elastane",--,--,--,--,Zip,Crew neck,Floral,"Bust darts, slip",K0521C02Q-A11,Short,Elbow length,"35.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","13.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.45426314,4345,,https://www.zalando.co.uk/cras-yvonnecras-dress-day-dress-green-crg21c012-m13.html,Cras,YVONNECRAS DRESS , Day dress,summer-dresses,Â£169.99,bright multi-coloured,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Cache-coeur,Print,"Button row, shoulder pads, bust darts, decorative buttons",CRG21C012-M13,Extra short,"23.0 "" (Size 8)","34.5 "" (Size 8)",Slim Fit,"Our model is 5' 11""  tall and is wearing size 8","12.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.175104282,3939,,https://www.zalando.co.uk/marc-opolo-dress-day-dress-salty-white-ma321c0rn-a11.html,Marc O'Polo,DRESS , Day dress,summer-dresses,Â£164.99,white,--,--,--,Semi-sheer,"88% cotton, 12% linen",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,--,--,Button,--,Plain,Inseam pockets,MA321C0RN-A11,Knee-length,"23.0 "" (Size 8)","38.0 "" (Size 8)",Oversized,--,"19.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.992126725,1704,https://www.zalando.co.uk/massimo-dutti-day-dress-white-m3i21c0fa-a11.html,https://www.zalando.co.uk/massimo-dutti-day-dress-white-m3i21c0fa-a11.html,Massimo Dutti,Day dress,,summer-dresses,Â£119.00,white,--,No,--,--,100% linen,--,"Do not tumble dry, Do not wash",--,--,--,--,V-neck,Plain,--,M3I21C0FA-A11,Knee-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.229187725,2132,https://www.zalando.co.uk/billabong-day-trippin-day-dress-black-bi721c05j-q11.html,https://www.zalando.co.uk/billabong-day-trippin-day-dress-black-bi721c05j-q11.html,Billabong,DAY TRIPPIN , Day dress,summer-dresses,Â£54.99,multi-coloured,--,--,--,Semi-sheer,100% viscose,--,Hand wash only,--,--,--,Laces,Low-cut v-neck,Print,Bust darts,BI721C05J-Q11,Short,Short,"32.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.385927798,254,https://www.zalando.co.uk/forever-new-brooklyn-ruched-midi-dress-day-dress-cream-fod21c0fp-a11.html,https://www.zalando.co.uk/forever-new-brooklyn-ruched-midi-dress-day-dress-cream-fod21c0fp-a11.html,Forever New,BROOKLYN RUCHED MIDI DRESS , Day dress,summer-dresses,Â£109.99,sand,--,--,--,--,"50% polyamide, 49% viscose, 1% elastane",--,Hand wash only,--,--,--,Zip,Crew neck,Plain,--,FOD21C0FP-A11,Calf-length,"23.5 "" (Size 10)","49.0 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.958544727,3920,https://www.zalando.co.uk/superdry-college-crew-day-dress-black-su221c0pf-q11.html,https://www.zalando.co.uk/superdry-college-crew-day-dress-black-su221c0pf-q11.html,Superdry,COLLEGE CREW , Day dress,summer-dresses,Â£25.00,black,--,--,--,--,"90% cotton, 10% polyester",--,"Do not tumble dry, Do not bleach",--,--,--,--,Crew neck,Print,--,SU221C0PF-Q11,Short,Extra long,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.387958977,4307,https://www.zalando.co.uk/2nd-day-loretta-day-dress-moonlight-blue-s3821c061-k11.html,https://www.zalando.co.uk/2nd-day-loretta-day-dress-moonlight-blue-s3821c061-k11.html,2nd Day,LORETTA , Day dress,summer-dresses,Â£94.99,blue,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,Plain,--,S3821C061-K11,Short,Short,"35.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.585753352,7600,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-old-rose-ve121c382-j11.html,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-old-rose-ve121c382-j11.html,Vero Moda,VMFRIGGA WRAP DRESS  , Day dress,Cocktail Dresses,Â£34.99,pastel pink,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Cache-coeur,Plain,Bust darts,VE121C382-J11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.070511101,796,https://www.zalando.co.uk/vila-paya-day-dress-black-v1021c2vh-q11.html,https://www.zalando.co.uk/vila-paya-day-dress-black-v1021c2vh-q11.html,Vila,PAYA , Day dress,summer-dresses,Â£30.99,black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Do not bleach",--,--,--,Button,Crew neck,Plain,--,V1021C2VH-Q11,Knee-length,Short,"39.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","13.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.625766719,4390,https://www.zalando.co.uk/summery-copenhagen-dress-day-dress-shell-pinkdusty-pink-cec21c03r-h11.html,https://www.zalando.co.uk/summery-copenhagen-dress-day-dress-shell-pinkdusty-pink-cec21c03r-h11.html,SUMMERY Copenhagen,DRESS , Day dress,summer-dresses,Â£159.99,pastel orange,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,--,Bust darts,CEC21C03R-H11,Short,Short,"35.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.24126482,4505,https://www.zalando.co.uk/liu-jo-jeans-abito-felpa-day-dress-white-alyssum-l2521c07j-a11.html,https://www.zalando.co.uk/liu-jo-jeans-abito-felpa-day-dress-white-alyssum-l2521c07j-a11.html,Liu Jo Jeans,ABITO FELPA , Day dress,summer-dresses,Â£124.99,white,--,--,Sweat,--,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,Plain,Bust darts,L2521C07J-A11,Knee-length,Short,"41.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.237421548,5898,https://www.zalando.co.uk/drykorn-tamasha-day-dress-braun-dr221c03k-o11.html,https://www.zalando.co.uk/drykorn-tamasha-day-dress-braun-dr221c03k-o11.html,DRYKORN,TAMASHA , Day dress,summer-dresses,Â£129.99,brown,--,--,--,--,"70% cupro, 30% cotton",--,Hand wash only,--,--,--,--,Crew neck,Animal print,Inseam pockets,DR221C03K-O11,Calf-length,Elbow length,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.026749998,574,https://www.zalando.co.uk/gap-zip-dress-day-dress-gasoline-green-gp021c0k8-m11.html,https://www.zalando.co.uk/gap-zip-dress-day-dress-gasoline-green-gp021c0k8-m11.html,GAP,ZIP DRESS , Day dress,summer-dresses,Â£28.59,green,--,--,Sweat,--,"60% cotton, 40% polyester",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Zip neck,--,--,--,--,Plain,--,GP021C0K8-M11,Short,"21.5 "" (Size S)","34.5 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.450417316,5441,https://www.zalando.co.uk/superdry-day-dress-ny-lines-su221c0pc-q11.html,https://www.zalando.co.uk/superdry-day-dress-ny-lines-su221c0pc-q11.html,Superdry,Day dress,,summer-dresses,Â£30.00,black,--,--,--,--,100% viscose,100% viscose,"Do not bleach, do not tumble dry",--,--,--,Button,Crew neck,Floral,Slip,SU221C0PC-Q11,Knee-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
