,cv_predicted,Style,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
116,classic,classic,MAX&Co.,"PALOMBO ",219.99,5,black,"Rib, Knit","94% cotton, 3% polyamide, 3% metal",100% polyester,Hand wash only,Standing collar,Asymmetrical,Zip,Wrap dresses,Henley neckline,Plain,Slip,Short,"17.5 "" (Size S)",Elbow length,"33.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
117,classic,classic,2nd Day,"CHERIE FLUID  ",139.99,4,black,Satin,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Bust darts,Knee length,"25.0 "" (Size 8)",Long,"41.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","16.0 "" (Size 8)",No,No,No,No,No
118,trendy,trendy,Pieces,"KENNA DRESS ",23.99,1,black,Jersey,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Short,"23.5 "" (Size S)",Long,"34.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
119,girly,girly,Selected Femme,"SLFINGER FIONA ",79.99,2,pastel purple,Chiffon,100% polyester,"95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Button,Accentuating the waist,Round neckline,Plain,"Belt included, elasticated waist",Calf length,"23.0 "" (Size 8)",Long,"46.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
120,trendy,trendy,Cinq Ã  Sept,"MIDI DRESS ",315.0,5,sand,Chiffon,"99% cotton, 1% elastane",100% cotton,Machine wash at 30Â°C,Standing collar,Asymmetrical,Zip,Wrap dresses,Low round neckline,Striped,"Inseam pockets, bust darts, slip",Calf length,"24.0 "" (Size 8)",Long,"47.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,yes,No,No,No
121,trendy,trendy,Ralph Lauren,"TORRIE SLEEVELESS EVENING DRESS ",264.99,5,gold,Chiffon,100% polyester,100% polyester,Hand wash only,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Maxi/long,Sleeveless,Sleeveless,"55.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
122,classic,classic,Soft Rebels,"SRELISA DRESS ",69.99,2,navy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Button,Wrap dresses,Round neckline,Plain,Covered fastener,Knee length,"24.5 "" (Size S)",Long,"38.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
123,alternative,girly,Vero Moda,"VMEASY ",32.99,1,black,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,Asymmetrical,Button,Accentuating the waist,Round neckline,Floral,"Belt included, bust darts",Knee length,"25.0 "" (Size 16)",Long,"49.0 "" (Size 16)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
124,alternative,alternative,Superdry,"STUDIOS  ",30.0,1,red,Chiffon,100% viscose,100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Prints in general,Slip,Short,Long,Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
125,girly,girly,Vila,"VIMICADA ",34.99,1,"white ",Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Accentuating the waist,Low v-neck,Plain,"Belt included, slip",Short,Short,Short,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
126,classic,classic,Diane von Furstenberg,"TIMMY DRESS ",350.0,5,black,Chiffon,100% viscose,100% polyester,Dry clean only,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Maxi/long,"23.5 "" (Size S)",Long,"53.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",Yes,No,No,No,No
127,trendy,trendy,Yas,"STRAP VIP ",54.99,2,black,Satin,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Cowl neckline,Plain,Adjustable straps,Maxi/long,Long,Long,"53.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
128,sporty,sporty,Weekday,"MARCIE HOOD DRESS ",44.0,2,black,Sweat,"78% cotton, 22% polyester",100% polyester,"Machine wash at 40Â°C, do not tumble dry",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Elasticated waist,Calf length,"25.0 "" (Size S)",Long,"41.5 "" (Size S)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
129,alternative,alternative,Superdry,Day dress,44.99,2,blue,Chiffon,100% lyocell,100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Short,Elbow length,Elbow length,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
130,girly,trendy,David Koma,Cocktail dress / Party dress,550.0,5,black,Rib,"75% viscose, 23% nylon, 2% elastane",100% polyester,Dry clean only,Standing collar,Asymmetrical,Hook fasteningÂ ,Bodycon dresses,Round neckline,Plain,Slip,Short,"25.0 "" (Size 10)",Long,"35.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,Yes
131,casual chic,alternative,JDY,"JDYLION LAYER DRESS ",17.99,1,blue,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,V-neck,Floral,Slip,Extra short,"25.0 "" (Size 8)",Long,"35.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
132,sporty,sporty,Diesel,Day dress,139.99,4,red,Chiffon,"74% nylon, 26% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,Round neckline,Plain,Slip,Short,Spaghetti straps,Spaghetti straps,"37.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
133,casual chic,classic,Vila,"VIPLISSEA FLONAL DRESS ",39.99,1,navy,Chiffon,100% polyester,100% polyester,Machine wash at 30Â°C,Standing collar,Asymmetrical,Button,Wrap dresses,Low v-neck,Floral,Slip,Short,"26.0 "" (Size 8)",Long,"37.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
134,alternative,alternative,JDY,"JDYDODO BELTDRESS ",18.99,1,army green,Jersey,"96% polyester, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Accentuating the waist,Low round neckline,Plain,"Belt included, border",Short,Short,Short,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
135,classic,classic,Marc Cain,Cocktail dress / Party dress,254.99,5,black,Chiffon,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Inseam pockets,Knee length,Elbow length,Elbow length,"38.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,yes,No,No,No
136,edgy,edgy,Bruuns Bazaar,"SEER ALLURE DRESS ",99.99,3,black/white,Chiffon,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,V-neck,Checked,Slip,Short,"18.0 "" (Size 10)",Elbow length,"34.5 "" (Size 10)",Oversized,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No
137,trendy,trendy,Fashion Union,"BREABURN ",47.99,2,silver,Chiffon,100% polyester,"96% polyester, 4% elastane","Do not tumble dry, Hand wash only",Standing collar,Asymmetrical,Zip,Wrap dresses,Low round neckline,Plain,"Slip, sequins",Extra short,"23.5 "" (Size 8)",Long,"31.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,yes,No,No
138,casual chic,casual chic,CLOSED,"SHIFT DRESS ",219.99,5,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Prints in general,Slip,Knee length,Elbow length,Elbow length,"40.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","21.5 "" (Size S)",No,No,No,No,No
139,casual chic,casual chic,Only,"CARLUX TUNIC DRESS ",21.99,1,black,Chiffon,"97% polyester, 3% elastane",100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Floral,Bust darts,Knee length,Short,Short,"35.5 "" (Size 16)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 16)",Yes,No,No,No,No
140,classic,classic,JDY,"JDYMATHILDE DRESS ",23.99,1,pastel blue,Sweat,"65% polyester, 35% cotton",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Plain,Slip,Short,"24.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
141,sporty,sporty,Only,"OLMSANNIEL ",29.74,1,black,Sweat,"60% cotton, 40% polyester",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Elasticated waist,Extra short,"21.5 "" (Size S)",Long,"32.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
142,alternative,edgy,Cinq Ã  Sept,"EMILIA DRESS ",390.0,5,black,Satin,100% silk,100% polyester,Dry clean only,Standing collar,Asymmetrical,Zip,Bodycon dresses,Cowl neckline,Plain,"Adjustable straps, slip, rhinestones",Calf length,Spaghetti straps,Spaghetti straps,"55.5 "" (Size 8)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,yes,No,No
143,sporty,sporty,JDY,"JDYMARY DRESS ",25.99,1,grey,Chiffon,"65% polyester, 35% viscose",100% polyester,"Do not tumble dry, Machine wash on gentle cycle, Do not bleach",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Slip,Short,Long,Long,"40.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
144,trendy,trendy,DKNY,"FOUNDATION LOGO DRESS ",89.99,3,black,Sweat,"60% cotton, 40% polyester",100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Prints in general,Slip,Short,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
145,edgy,edgy,CLOSED,"JORDYN ",249.99,5,black,Chiffon,"50% viscose, 50% cotton",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Plain,"Inseam pockets, fringing, border",Knee length,"25.0 "" (Size S)",Long,"35.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","13.5 "" (Size S)",No,yes,No,No,No
146,sporty,sporty,someday.,"QUODY ",89.99,3,sand,Jersey,"52% modal, 42% polyester, 6% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Inseam pockets,Knee length,"25.0 "" (Size 8)",Long,"38.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,yes,No,No,No
147,alternative,alternative,NAF NAF,"BLOCOU ",89.99,3,red,Chiffon,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Floral,Slip,Short,"25.0 "" (Size 8)",Long,"34.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
148,trendy,girly,Closet,"CLOSET LONDON PLEATED DRESS ",134.99,4,pastel green,Chiffon,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Floral,Slip,Calf length,"24.0 "" (Size 10)",Long,"49.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
149,trendy,trendy,Yas,"YASHOLI DRESS  ",59.99,2,white,Chiffon,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,Slip,Short,"26.5 "" (Size S)",Long,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",Yes,No,No,No,No
150,classic,classic,2nd Day,"ELLI CRISPY ",189.99,4,pastel blue,Chiffon,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Plain,Covered fastener,Calf length,"23.5 "" (Size 8)",Long,"51.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
151,sporty,sporty,Polo Ralph Lauren,"COTTON MESH POLO DRESS ",139.99,4,white,PiquÃ©,100% cotton,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,Asymmetrical,Zip,Polo dresses,Low v-neck,Plain,Slip,Short,Short,Short,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)",Yes,No,No,No,No
152,edgy,edgy,comma,Day dress,104.99,3,black,Leather,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Plain,Slip,Knee length,"23.0 "" (Size 10)",Long,"38.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",No,No,No,No,No
153,alternative,alternative,Anna Field,Day dress,29.74,1,blue/red,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Floral,Slip,Short,"23.5 "" (Size 8)",Long,"38.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
154,girly,girly,Mango,"TOPACIO ",49.99,2,pastel blue,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Polka dot,Belt included,Calf length,Long,Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
155,edgy,casual chic,Vila,"VIMEMIS SHIRT DRESS ",43.99,2,green,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Floral,"Belt included, bust darts",Calf length,"25.0 "" (Size 8)",Long,"50.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
156,edgy,edgy,Cras,"LILI DRESS ",159.99,4,black multi-coloured,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Laces,Wrap dresses,Round neckline,Floral,Bust darts,Knee length,Elbow length,Elbow length,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
157,trendy,trendy,Jarlo,"EMMA ",159.99,4,gold,Chiffon,100% polyester,"98% polyester, 2% elastane","Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Zip,Wrap dresses,Spaghetti straps,Plain,Slip,Maxi/long,Spaghetti straps,Spaghetti straps,"53.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
158,classic,classic,Alexa Chung,"CHAUCER TUNIC DRESS ",295.0,5,blue,Chiffon,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Striped,Slip,Knee length,"23.0 "" (Size 8)",Long,"37.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","16.0 "" (Size 8)",No,No,No,No,No
159,classic,classic,IVY & OAK,Cocktail dress / Party dress,164.99,4,black,Chiffon,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Accentuating the waist,Round neckline,Plain,"Zip fastening, slip",Calf length,3/4 length,Elbow length,"34.5 "" (Size S)",Fitted waist,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
160,alternative,alternative,CAPSULE by Simply Be,"TIE WAIST MIDI DRESS ",30.59,1,multi-coloured,Chiffon,100% viscose,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Prints in general,Bow,Calf length,"19.5 "" (Size 16)",Long,"49.5 "" (Size 16)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","16.0 "" (Size 16)",No,No,No,No,No
161,trendy,edgy,David Koma,Cocktail dress / Party dress,34.99,5,black,Chiffon,"52% acetate, 45% viscose, 3% elastane","96% acetate, 4% lyocell",Dry cleaning,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,"Slip, rhinestones",Extra short,Spaghetti straps,Spaghetti straps,"30.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,yes,No,No
162,classic,classic,Esprit,"DRESSES ",55.0,2,red,PiquÃ©,"60% viscose, 40% polyamide",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Accentuating the waist,Low v-neck,Plain,"Belt included, inseam pockets",Short,Short,Short,"38.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","19.5 "" (Size 8)",No,yes,No,No,No
163,classic,edgy,DESIGNERS REMIX,"VALERIE PUFF SLEEVE DRESS ",149.99,4,black,Satin,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hook fasteningÂ ,Wrap dresses,Round neckline,Plain,Bust darts,Calf length,"18.0 "" (Size 8)",Elbow length,"48.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No
164,alternative,girly,Vila,"VIMILINA FLOWER DRESS ",54.99,2,green,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,Zip,Wrap dresses,Round neckline,Floral,"Slip, Crochet Detailing",Maxi/long,Sleeveless,Sleeveless,"56.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","10.0 "" (Size 8)",No,No,No,No,No
165,sporty,sporty,Noisy May,"NMHELENE DRESS ",30.99,1,black,Sweat,"65% polyester, 35% cotton",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Zip fastening,Calf length,Long,Long,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 5""  tall and is wearing size 10","14.0 "" (Size 8)",No,No,No,No,No
166,girly,trendy,Vivetta,"BABY DOLL DRESS ",415.0,5,white,Chiffon,"78% acetate, 22% viscose","65% polyester, 35% cotton",Dry clean only,Volant/frill collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,"Border, bust darts, embroidery, slip",Short,Spaghetti straps,Spaghetti straps,"36.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
167,alternative,alternative,LASCANA,"MIDIKLEID ",54.99,2,brown,Jersey,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Zip,Wrap dresses,Spaghetti straps,Floral,Bow,Calf length,Sleeveless,Sleeveless,"50.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
168,alternative,alternative,IN THE STYLE,"JAC JOSSA SMOCK DRESS ",69.99,2,pastel green,Cord,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Plain,Bust darts,Short,Elbow length,Elbow length,"32.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
169,alternative,alternative,Superdry,Day dress,31.49,1,black,Chiffon,100% lyocell,100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Plain,Embroidery,Knee length,Sleeveless,Sleeveless,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
170,sporty,sporty,Polo Ralph Lauren,"COTTON MESH POLO DRESS ",139.99,4,navy,PiquÃ©,100% cotton,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,Asymmetrical,Zip,Polo dresses,Low v-neck,Plain,Slip,Short,Short,Short,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
171,classic,trendy,Marlene Birger,"FLANNASAN ",239.99,5,black,Chiffon,100% cotton,100% polyester,"Machine wash at 40Â°C, do not tumble dry",Standing collar,Asymmetrical,Button,Wrap dresses,Round neckline,Plain,Slip,Knee length,"26.5 "" (Size 8)",Long,"38.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
172,classic,classic,MAX&Co.,"DANIELA ",154.99,4,black,Sweat,"86% cotton, 11% polyamide, 3% elastane",100% polyester,Hand wash only,Standing collar,Asymmetrical,Laces,Wrap dresses,Round neckline,Plain,Slip,Short,"22.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
173,sporty,sporty,Tommy Hilfiger,"SLIM DRESS ",89.99,3,black,PiquÃ©,"96% cotton, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,Asymmetrical,Zip,Polo dresses,Low v-neck,Plain,Slip,Short,Short,Short,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)",No,No,No,No,No
174,sporty,sporty,DRYKORN,"KELENIA ",179.99,4,off-white,Sweat,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,Asymmetrical,Zip,Hooded dresses,Low v-neck,Plain,Slip,Knee length,"26.0 "" (Size S)",Long,"37.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
175,girly,girly,"IVY & OAK ","FERULA ",949.99,5,white,Lace,"60% polyamide, 40% viscose",100% viscose,Dry clean only,Standing collar,Asymmetrical,Zip,Wrap dresses,Low v-neck,Plain,"Button row, bust darts, adjustable straps, slip",Maxi/long,Long,Long,"34.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
176,casual chic,casual chic,byTiMo,"GEORGETTE SHIFT DRESS ",264.99,5,black,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Button,Wrap dresses,Low v-neck,Floral,"Adjustable straps, slip",Short,"26.5 "" (Size S)",Long,"37.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No
177,classic,classic,Vero Moda,"DRESS ",32.99,1,black,Chiffon,"80% viscose, 20% polyester",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,Asymmetrical,Button,Button down dresses,Low v-neck,Plain,Slip,Knee length,Long,Long,"36.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
