Style options,Styles,Random order,Original order,,link,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,classic,0.115637889,188,,https://www.zalando.co.uk/anna-field-boat-neck-print-dress-with-solid-skirt-day-dress-dark-blue-an621c1kc-k11.html,BOAT NECK PRINT DRESS WITH SOLID SKIRT , Jersey dress,summer-dresses,Â£24.99,Navy,"95% viscose, 5% elastane",--,Jersey,--,"95% viscose, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Boat neck,Floral,--,AN621C1KC-K11,Calf-length,Elbow length,"35.5 "" (Size S)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.850741066,973,,https://www.zalando.co.uk/vero-moda-vmulva-short-dress-day-dress-black-ve121c31a-q11.html,VMULVA SHORT DRESS , Day dress,summer-dresses,Â£32.99,black,100% cotton,--,Sweat,--,"65% polyester, 35% cotton",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,VE121C31A-Q11,Short,"23.5 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.284993303,2561,,https://www.zalando.co.uk/noisy-may-nmkaylee-dress-day-dress-beige-nm321c0m3-b11.html,NMKAYLEE DRESS , Day dress,summer-dresses,Â£30.99,sand,--,--,Sweat,--,"65% polyester, 35% cotton",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Zip neck,--,--,--,--,Marl,--,NM321C0M3-B11,Short,"21.5 "" (Size 10)","36.0 "" (Size 10)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.454207762,3451,,https://www.zalando.co.uk/ellesse-honey-tie-dye-dress-day-dress-greenwhite-el921c01v-m11.html,HONEY TIE DYE DRESS , Day dress,summer-dresses,Â£54.99,green/white,--,--,Sweat,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,Hoodie pocket,--,--,Print,"Elasticated waist, embroidery",EL921C01V-M11,Short,"28.5 "" (Size 10)","32.5 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.551589161,6524,,https://www.zalando.co.uk/versace-jeans-couture-garland-cocktail-dress-party-dress-black-vei21c040-q11.html,GARLAND , Cocktail dress / Party dress,Cocktail Dresses,Â£219.99,black/gold,--,--,Tulle,--,100% polyester,100% polyamide,"Hand wash only, Dry cleanable",--,--,--,--,Crew neck,Print,Slip,VEI21C040-Q11,Calf-length,"25.5 "" (Size 10)","44.5 "" (Size 10)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.427737844,653,,https://www.zalando.co.uk/naf-naf-kurban-day-dress-urban-turquoise-na521c171-t11.html,KURBAN , Day dress,summer-dresses,Â£89.99,multi-coloured,--,--,--,--,"99% polyester, 1% elastane",100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Colourful,--,NA521C171-T11,Calf-length,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.756511837,4175,,https://www.zalando.co.uk/part-two-shirt-dress-night-sky-p2121c0bo-k11.html,Day dress,,summer-dresses,Â£109.99,black,--,--,--,--,100% linen,--,--,--,--,--,--,V-neck,--,--,P2121C0BO-K11,Knee-length,3/4 length,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.520290801,1475,,https://www.zalando.co.uk/in-the-style-stacey-solomon-day-dress-sage-i0421c01q-m11.html,STACEY SOLOMON , Day dress,summer-dresses,Â£36.99,green,--,--,--,--,100% polyester,--,Machine wash on gentle cycle,--,--,--,Zip,Low-cut v-neck,Floral,Bow,I0421C01Q-M11,Short,"25.0 "" (Size 14)","35.0 "" (Size 14)",Loose Fit,--,"15.5 "" (Size 14)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.683374543,3801,,https://www.zalando.co.uk/by-malene-birger-rousalile-day-dress-black-by121c098-q11.html,ROUSALILE , Day dress,summer-dresses,Â£199.99,black/white,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,Low-cut v-neck,Animal print,--,BY121C098-Q11,Knee-length,"27.0 "" (Size 8)","40.0 "" (Size 8)",Regular Fit,--,"15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.001056961,3293,,https://www.zalando.co.uk/tommy-hilfiger-textured-shift-dress-day-dress-fireworks-to121c0ks-g11.html,TEXTURED SHIFT DRESS , Day dress,summer-dresses,Â£119.99,red,--,--,PiquÃ©,--,"70% cotton, 26% polyamide, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,Belt included,TO121C0KS-G11,Short,Short,"37.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.665381228,3963,,https://www.zalando.co.uk/missguided-petite-tie-back-mini-dress-day-dress-black-m0v21c0o7-q11.html,TIE BACK MINI DRESS , Day dress,summer-dresses,Â£28.99,black,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Floral,"Slip, bow",M0V21C0O7-Q11,Short,"21.5 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.403330266,4120,,https://www.zalando.co.uk/missguided-petite-vneck-smock-dress-day-dress-multi-m0v21c0nz-q11.html,VNECK SMOCK DRESS , Day dress,summer-dresses,Â£28.99,black/red,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Floral,--,M0V21C0NZ-Q11,Extra short,"22.5 "" (Size 8)","31.5 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.002868184,1320,,https://www.zalando.co.uk/vila-vilana-midi-dress-day-dress-navy-blazer-v1021c2ba-k11.html,VILANA MIDI DRESS , Day dress,summer-dresses,Â£22.74,navy,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Shawl collar,--,--,--,V-neck,Floral,Bow,V1021C2BA-K11,Calf-length,"24.0 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.48635883,1306,,https://www.zalando.co.uk/noisy-may-helene-day-dress-lavender-blue-nm321c0hx-i11.html,NMHELENE DRESS , Day dress,summer-dresses,Â£30.99,white,--,--,Sweat,--,"65% polyester, 35% cotton",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Plain,Zip fastening,NM321C0HX-I11,Calf-length,"25.0 "" (Size 10)","43.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.337581991,22,,https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Quarter sleeves elevated casual midi dress , Day dress,summer-dresses,Â£23.99,green,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Boat neck,Floral,--,AN621C1PC-Q11,Calf-length,"17.5 "" (Size S)","46.5 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.649567963,7393,,https://www.zalando.co.uk/missguided-petite-cross-back-midaxi-dress-cocktail-dress-party-dress-burgundy-m0v21c0nx-g11.html,CROSS BACK MIDAXI DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£26.99,bordeaux,--,--,Satin,--,100% polyester,--,Machine wash at 30Â°C,--,--,--,Zip,Backless,Plain,Bow,M0V21C0NX-G11,Knee-length,Spaghetti straps,"30.5 "" (Size 8)",Slim Fit,--,"17.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.752215678,3960,,https://www.zalando.co.uk/levis-aberdeen-tafetta-dress-day-dress-margaret-old-gold-le221c02v-e11.html,ABERDEEN TAFETTA DRESS , Day dress,summer-dresses,Â£79.99,yellow,--,--,--,--,"65% cotton, 35% polyamide",--,--,--,--,--,Button,Crew neck,Checked,--,LE221C02V-E11,Short,Short,"36.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.189733004,3101,,https://www.zalando.co.uk/evenandodd-curvy-skater-dress-day-dress-multi-coloured-evb21c02s-t11.html,SKATER DRESS , Day dress,summer-dresses,Â£24.99,electric blue,--,--,Jersey,--,"95% viscose, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Animal print,--,EVB21C02S-T11,Short,"19.5 "" (Size 18)","34.0 "" (Size 18)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.655798857,308,,https://www.zalando.co.uk/only-onlolivia-wrap-dress-noos-day-dress-greenblack-on321c1rr-m11.html,ONLOLIVIA DRESS , Day dress,summer-dresses,Â£25.99,pastel green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Polka dot,Bust darts,ON321C1RR-M11,Short,Short,"40.0 "" (Size 8)",--,--,"16.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.620505369,3362,,https://www.zalando.co.uk/lauren-ralph-lauren-goddard-short-sleeve-day-dress-day-dress-miramar-wash-l4221c1dy-k11.html,Denim Dress , Day dress,summer-dresses,Â£169.99,denim,--,--,--,--,"94% cotton, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,--,--,Button,--,Plain,"Inseam pockets, covered fastener",L4221C1DY-K11,Short,Elbow length,"36.5 "" (Size 8/10)",Regular Fit,--,"16.0 "" (Size 8/10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.791486885,2287,,https://www.zalando.co.uk/vila-vietna-dress-day-dress-dill-v1021c2wd-m11.html,VIETNA  DRESS , Day dress,summer-dresses,Â£34.99,army green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,--,Low-cut v-neck,--,--,V1021C2WD-M11,Knee-length,"19.0 "" (Size 8)","37.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.211415289,6425,,https://www.zalando.co.uk/forever-new-carolina-flutter-sleeve-midi-dress-cocktail-dress-party-dress-nude-fod21c0fw-j11.html,CAROLINA FLUTTER SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£109.99,pastel pink,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Cache-coeur,Plain,Belt included,FOD21C0FW-J11,Calf-length,Short,"51.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","12.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.181682513,2115,,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-hydrangea-blue-to121c0fz-k13.html,REGULAR HILFIGER HOODIE DRESS , Day dress,summer-dresses,Â£118.99,electric blue,--,--,Sweat,--,"70% cotton, 30% polyester",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,Hoodie pocket,--,--,Plain,Embroidery,TO121C0FZ-K13,Knee-length,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.752517991,6356,,https://www.zalando.co.uk/jarlo-occasion-wear-black-j3121c07u-q11.html,Occasion wear,,Occasion dresses,Â£174.99,black,--,--,--,--,"97% polyester, 3% elastane","98% polyester, 2% elastane","Do not tumble dry, Do not wash",--,--,--,Zip,--,Plain,"Padded bust, slip, wired bustier",J3121C07U-Q11,Long,Strapless,"53.0 "" (Size 8)",Slim Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.126511125,1805,,https://www.zalando.co.uk/kaffe-day-dress-chambray-blue-ka321c0m5-k11.html,BERNA AMBER DRESS , Day dress,summer-dresses,Â£55.24,blue,--,--,--,Semi-sheer,100% viscose,--,--,Standing collar,--,--,--,Low-cut v-neck,Floral,--,KA321C0M5-K11,Knee-length,"18.0 "" (Size 10)","38.5 "" (Size 10)",Loose Fit,--,"16.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.04503129,6080,,https://www.zalando.co.uk/tfnc-rochelle-occasion-wear-pink-tf121c0ow-j11.html,ROCHELLE , Occasion wear,Occasion dresses,Â£46.99,pastel pink,--,--,Chiffon,--,100% polyester,100% polyester,Hand wash only,--,--,--,--,Cowl neck,Plain,"Bust darts, slip",TF121C0OW-J11,Long,Sleeveless,--,Regular Fit,--,"17.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.969125139,7288,,https://www.zalando.co.uk/banana-republic-essential-dress-day-dress-black-bj721c0gy-q11.html,ESSENTIAL DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£63.74,black,--,--,Satin,--,100% polyester,--,Machine wash at 30Â°C,--,--,Side pockets,--,Low-cut v-neck,Plain,Belt included,BJ721C0GY-Q11,Short,"21.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,--,"20.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.93002653,870,,https://www.zalando.co.uk/love-copenhagen-lila-dress-day-dress-blue-jewel-l1g21c05u-k11.html,LILA DRESS , Day dress,summer-dresses,Â£99.99,electric blue,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",Double collar,--,--,Zip,--,Plain,"Belt included, bust darts",L1G21C05U-K11,Calf-length,"27.0 "" (Size 8)","49.0 "" (Size 8)",Regular Fit,--,"15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.921965546,386,,https://www.zalando.co.uk/hollister-co-day-dress-pink-h0421c04z-j11.html,BEST IS BACK WOVEN WRAP DRESS , Day dress,summer-dresses,Â£38.99,black,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Low-cut v-neck,Floral,--,H0421C04Z-J11,Short,Short,"30.5 "" (Size SxL)",Slim Fit,"Our model is 5' 9""  tall and is wearing size SxL","14.0 "" (Size SxL)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.454438842,6142,,https://www.zalando.co.uk/alberta-ferretti-dress-occasion-wear-beige-af321c02v-b11.html,DRESS , Occasion wear,Occasion dresses,"Â£3,530.00",pastel orange,--,--,Chiffon,--,100% silk,"90% acetate, 5% silk, 5% elastane",Dry clean only,--,--,--,Zip,--,Plain,"Slip, wired bustier",AF321C02V-B11,Long,Strapless,"53.0 "" (Size 10)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.050847837,2902,,https://www.zalando.co.uk/bruuns-bazaar-checka-jany-dress-day-dress-blackwhite-br321c08z-q11.html,CHECKA JANY DRESS , Day dress,summer-dresses,Â£119.99,black/white,--,--,--,--,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Square neck,Checked,--,BR321C08Z-Q11,Calf-length,"17.5 "" (Size 8)","42.0 "" (Size 8)",Regular Fit,--,"8.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.483085146,6284,,https://www.zalando.co.uk/mascara-occasion-wear-ivory-m0921c0ay-a11.html,Occasion wear,,Occasion dresses,Â£259.99,white,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, Do not wash",--,--,--,Laces,Backless,Plain,"Padded bust, slip, sequins",M0921C0AY-A11,Long,Sleeveless,"63.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.886093501,4510,,https://www.zalando.co.uk/mango-day-dress-red-m9121c5kz-g11.html,MATILDE , Day dress,summer-dresses,Â£29.99,red,--,--,--,--,"95% polyester, 5% elastane",--,"Machine wash at 40Â°C, do not tumble dry, Dry cleanable",--,--,--,Button,Crew neck,Floral,--,M9121C5KZ-G11,Calf-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.634814332,1029,,https://www.zalando.co.uk/only-onlmarina-midi-dress-day-dress-blackorange-on321c2sa-q11.html,ONLMARINA MIDI DRESS  , Day dress,summer-dresses,Â£30.99,black multi-coloured,--,--,Satin,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Floral,--,ON321C2SA-Q11,Calf-length,"17.5 "" (Size S)","43.5 "" (Size S)",Regular Fit,--,"14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.928928289,2757,,https://www.zalando.co.uk/vero-moda-vmico-dress-day-dress-blackico-ve121c3bh-q11.html,VMICO DRESS , Day dress,summer-dresses,Â£43.99,black multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Floral,Bow,VE121C3BH-Q11,Calf-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.584885624,3206,,https://www.zalando.co.uk/vero-moda-curve-vmsaga-gathering-dress-day-dress-black-vee21c09k-q11.html,VMSAGA GATHERING DRESS , Day dress,summer-dresses,Â£27.89,black,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Polka dot,--,VEE21C09K-Q11,Short,"23.5 "" (Size 16)","37.0 "" (Size 16)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 16","17.5 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.427546894,2229,,https://www.zalando.co.uk/love-copenhagen-sava-dress-day-dress-pitch-black-l1g21c058-q11.html,SAVA DRESS , Day dress,summer-dresses,Â£109.99,black,--,--,--,--,100% polyester,--,--,Standing collar,--,--,Button,V-neck,Checked,Belt included,L1G21C058-Q11,Knee-length,"23.0 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.426606908,2374,,https://www.zalando.co.uk/massimo-dutti-day-dress-neon-green-m3i21c0js-m11.html,Day dress,,summer-dresses,Â£89.95,green,--,--,--,--,100% linen,100% linen,--,--,--,--,Button,--,Plain,Slip,M3I21C0JS-M11,Calf-length,Spaghetti straps,"47.0 "" (Size M)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.447851721,6770,,https://www.zalando.co.uk/diane-von-furstenberg-annabeth-dress-cocktail-dress-party-dress-willow-ivory-df221c0co-a11.html,ANNABETH DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£480.00,pink,--,--,--,--,100% cotton,--,Dry clean only,--,--,--,Zip,Cache-coeur,Floral,"Inseam pockets, belt included",DF221C0CO-A11,Calf-length,Elbow length,"45.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.466702279,4671,,https://www.zalando.co.uk/mango-lavi-h-day-dress-weiss-m9121c5io-a11.html,LAVI,H ,summer-dresses,Â£35.99,white,--,--,--,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Square neck,Plain,Slip,M9121C5IO-A11,Extra short,Sleeveless,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.514382021,6766,,https://www.zalando.co.uk/esprit-collection-per-cocktail-dress-party-dress-black-es421c1ir-q11.html,PER , Cocktail dress / Party dress,Cocktail Dresses,Â£69.99,black,--,--,Tulle,--,"90% polyester, 10% elastane","93% viscose, 7% elastane",--,--,--,--,Button,Crew neck,Plain,Slip,ES421C1IR-Q11,Calf-length,Sleeveless,"42.0 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.327858768,1454,,https://www.zalando.co.uk/jaded-london-drawcord-hem-hoodie-dress-day-dress-colourful-jl021c025-t11.html,DRAWCORD HEM HOODIE DRESS , Day dress,summer-dresses,Â£54.99,electric blue,--,--,Sweat,--,100% polyester,--,--,Hood,--,--,--,--,Print,--,JL021C025-T11,Short,"27.0 "" (Size 8)","34.5 "" (Size 8)",--,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.775198359,3832,,https://www.zalando.co.uk/only-olmsweet-placket-hood-dress-day-dress-demitasse-on329f01k-q11.html,OLMSWEET PLACKET HOOD DRESS , Day dress,summer-dresses,Â£29.74,brown,--,--,Sweat,--,"60% polyester, 40% cotton",--,"Do not tumble dry, machine wash at 30Â°C",Hood,--,Hoodie pocket,--,Low-cut v-neck,Plain,--,ON329F01K-Q11,Short,"24.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.316495062,2728,,https://www.zalando.co.uk/marc-opolo-denim-dress-roundneck-shortsleeve-day-dress-palo-verde-op521c06a-n11.html,DRESS ROUNDNECK SHORTSLEEVE , Day dress,summer-dresses,Â£89.99,army green,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,Bust darts,OP521C06A-N11,Knee-length,Short,"36.0 "" (Size S)",Loose Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.326832676,4150,,https://www.zalando.co.uk/cinq-a-sept-kara-dress-day-dress-black-cig21c00p-q11.html,KARA DRESS , Day dress,summer-dresses,Â£350.00,black,--,--,--,Semi-sheer,"69% triacetate, 31% polyester",--,Dry clean only,Standing collar,--,--,Button,Backless,Plain,--,CIG21C00P-Q11,Short,"25.5 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","16.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.992767394,5724,,https://www.zalando.co.uk/calvin-klein-plisse-dress-day-dress-black-white-mini-floral-print-6ca21c038-t11.html,PLISSE DRESS , Day dress,summer-dresses,Â£149.99,black,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Floral,"Belt included, slip",6CA21C038-T11,Short,"24.0 "" (Size 10)","36.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
