,cv_predicted,Styles,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
279,casual chic,casual chic,LASCANA,Day dress, Day dress,summer-dresses,54.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Polka dot,Slip,L8321C00L-Q11,Calf-length,Short,"40.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
280,edgy,alternative,ONLY,ONLBIANCA SMOCK DRESS , Day dress,summer-dresses,34.99,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,"98% viscose, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Floral,Slip,ON321C2PH-I11,Short,Elbow length,"35.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size S)"
281,classic,classic,Lauren Ralph Lauren,STRIPED BUTTON,TRIM COTTON DRESS ,summer-dresses,139.99,black/white,100% polyester,Yes,Jersey,Semi-sheer,"53% cotton, 41% viscose, 6% elastane",100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Striped,"Button row, decorative buttons",L4221C1CI-Q11,Short,"16.5 "" (Size 8/10)","33.5 "" (Size 8/10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
282,girly,girly,Vero Moda,VMSUNILLA SHORT DRESS , Day dress,summer-dresses,34.99,pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,"Belt included, bust darts, slip",VE121C1TR-J12,Short,Sleeveless,"34.0 "" (Size S)",Fitted waist,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
283,trendy,trendy,YAS,YASELOISE DRESS CELEB , Occasion wear,Occasion dresses,149.99,white,100% polyester,Yes,Lace,Semi-sheer,"75% cotton, 25% polyamide","92% polyester, 8% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Slip,Y0121C0XW-A11,Extra long,"25.5 "" (Size S)","66.0 "" (Size S)",Fitted waist,"Our model is 5' 11""  tall and is wearing size S","13.5 "" (Size S)"
284,edgy,edgy,HUGO,NESHY , Day dress,summer-dresses,174.99,black/blue,100% polyester,Yes,Mesh,Semi-sheer,"90% polyester, 10% elastane","90% polyester, 10% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Slip,HU721C0J4-K11,Calf-length,"26.5 "" (Size S)","50.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
285,casual chic,edgy,ICHI,IHVERA DR18 , Day dress,summer-dresses,39.99,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Machine wash at 40°C, do not tumble dry",Shirt collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Belt included,IC221C0ID-I11,Knee-length,"24.5 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)"
286,sporty,sporty,Superdry,TONAL CITY  , Shift dress,summer-dresses,30.0,yellow,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not bleach, do not tumble dry",Hood,Asymmetrical,Hoodie pocket,Drawstring fastening,Crew neck,Plain,Slip,SU221C0OG-E11,Thigh-length,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
287,sporty,sporty,Noisy May Tall,NMHELENE DRESS , Day dress,summer-dresses,27.89,black,100% polyester,Yes,Sweat,Semi-sheer,"65% polyester, 35% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,NOB21C01W-Q11,Calf-length,"25.5 "" (Size 10)","43.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
288,girly,girly,Sister Jane,FLORAL FIGURES MIDI DRESS , Day dress,summer-dresses,89.99,pastel pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, Do not wash",Peter Pan collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Slip,QS021E06Y-J11,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)"
289,girly,girly,VILA PETITE,VIMILINA HALTERNECK DRESS , Occasion wear,Occasion dresses,54.99,pastel green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Crochet Detailing, slip",VIP21C00Y-M12,Long,Sleeveless,"57.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
290,classic,classic,Saint Tropez,EDASZ SOLID DRESS , Day dress,summer-dresses,34.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,S2821C08E-K11,Knee-length,"16.5 "" (Size S)","39.5 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)"
291,casual chic,casual chic,mbyM,MASH , Day dress,summer-dresses,74.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Inseam pockets,MB121C06I-Q11,Short,"19.0 "" (Size M)","37.0 "" (Size M)",Fitted waist,"Our model is 5' 11""  tall and is wearing size M","15.0 "" (Size M)"
292,classic,classic,Esprit Maternity,Day dress, Day dress,summer-dresses,72.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,"95% cotton, 5% elastane","95% cotton, 5% elastane","Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,ES929F0B4-K11,Calf-length,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
293,classic,classic,Diane von Furstenberg,DRESS , Jersey dress,Occasion dresses,315.0,black,100% polyester,Yes,Jersey,Semi-sheer,100% viscose,100% polyester,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Shoulder pads,DF221C0B5-Q11,Long,Extra short,"59.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
294,trendy,trendy,Custommade,LILLIAN , Cocktail dress / Party dress,Cocktail Dresses,349.99,dusty pink,100% polyester,Yes,Chiffon,Semi-sheer,"61% polyester, 39% polyamide",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Polka dot,"Slip, rhinestones",CU721C034-D11,Short,"27.5 "" (Size S)","32.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
295,classic,classic,TFNC,SOREAN MINI , Cocktail dress / Party dress,Cocktail Dresses,36.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Plain,Slip,TF121C0KW-Q12,Extra short,Sleeveless,"35.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)"
296,trendy,trendy,BCBGMAXAZRIA,LONG EVENING DRESS , Occasion wear,Occasion dresses,289.99,black,100% polyester,Yes,"Jersey, Lace",Semi-sheer,"95% polyester, 5% elastane","95% polyester, 5% elastane",Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Wired bustier,MX121C07W-Q11,Long,Strapless,"54.0 "" (Size S)",Slim Fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)"
297,trendy,trendy,Missguided,Day dress, Day dress,summer-dresses,24.99,black,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Plain,Belt included,M0Q21C23O-Q11,Short,"26.5 "" (Size 8)","31.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
298,trendy,trendy,Monki,Day dress, Day dress,summer-dresses,26.0,bright multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Slip,MOQ21C0BL-T11,Calf-length,Elbow length,"55.5 "" (Size XS/S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size XS/S","14.0 "" (Size XS/S)"
299,alternative,trendy,Mango,Day dress, Day dress,summer-dresses,59.99,black/white,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,M9121C5J3-Q11,Short,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
300,classic,classic,ONLY Petite,ONLNELLA WRAP MIDI DRESS , Day dress,summer-dresses,30.99,navy,100% polyester,Yes,Rib,Semi-sheer,"70% polyester, 26% viscose, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Striped,Slip,OP421C0D8-K11,Calf-length,Sleeveless,"46.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
301,classic,classic,Vila,VICELESTE V NECK MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,59.99,pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,"Belt included, bust darts, slip",V1021C2XK-J11,Calf-length,"19.5 "" (Size 8)","47.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
302,girly,girly,Mango,SITA H , Day dress,summer-dresses,49.99,white,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,Slip,M9121C5J0-A11,Calf-length,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
303,trendy,trendy,TWINSET,COATED DRESS , Day dress,summer-dresses,244.99,off-white,100% polyester,Yes,Faux leather,Semi-sheer,"87% viscose, 13% polyester",100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Button,Cache-coeur,Plain,"Belt included, inseam pockets, bust darts",TW321C07H-B11,Calf-length,Elbow length,"46.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","17.5 "" (Size 10)"
304,sporty,sporty,Barbour International,ARIZONA DRESS , Day dress,summer-dresses,79.99,black,100% polyester,Yes,Sweat,Semi-sheer,"85% cotton, 12% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Inseam pockets,BG821C00N-Q11,Calf-length,"22.0 "" (Size 10)","44.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
305,sporty,sporty,JDY,NASHVILLE  , Day dress,summer-dresses,18.99,black,100% polyester,Yes,Sweat,Semi-sheer,"62% cotton, 38% polyester",100% polyester,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,JY121C0L0-Q11,Short,"23.5 "" (Size S)","33.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
306,girly,classic,Bruuns Bazaar,EMILLEH BEAVER DRESS , Day dress,summer-dresses,149.99,off-white,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Crew neck,Plain,Slip,BR321C08W-A11,Knee-length,"28.5 "" (Size 8)","39.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
307,girly,classic,Vila,VIEDENA V,NECK 3/4 BELT DRESS ,summer-dresses,21.99,electric blue,100% polyester,Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,Machine wash at 30°C,Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Belt included,V1021C2XF-K11,Knee-length,"18.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","13.5 "" (Size S)"
308,classic,classic,Esprit,DRESSES LIGHT , Day dress,summer-dresses,69.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Slip,ES121C227-K11,Calf-length,"19.5 "" (Size 12)","48.5 "" (Size 12)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 12)"
309,classic,classic,edc by Esprit,MIT , Day dress,summer-dresses,45.0,electric blue,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Elasticated waist,ED121C0YH-K11,Short,Long,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
310,classic,classic,ONLY Petite,ONLPELLA DRESS , Day dress,summer-dresses,26.34,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,"99% polyester, 1% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Floral,Slip,OP421C092-C11,Calf-length,"19.0 "" (Size S)","44.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
311,trendy,trendy,WAL G.,GIGI ONE SLEEVE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,32.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,"Padded bust, wired bustier",WG021C0PC-Q11,Knee-length,Sleeveless,"42.5 "" (Size 10)",Bodycon,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 8)"
312,girly,girly,Glamorous,TIE BACK MIDI DRESS WITH PUFF SHORT SLEEVES SQUARE NECKLINE , Day dress,summer-dresses,41.99,white/pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Floral,"Slip, bow",GL921C0P5-A11,Knee-length,Short,"42.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
313,alternative,alternative,Superdry,ALANA , Day dress,summer-dresses,44.99,dusty pink,100% polyester,Yes,Chiffon,Semi-sheer,"50% polyester, 50% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SU221C0NJ-H11,Short,Spaghetti straps,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
314,casual chic,classic,Vero Moda,VMSUNILLA NORA TIE SHIRT DRESS , Day dress,summer-dresses,39.99,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Button,Low-cut v-neck,Floral,Bow,VE121C365-I11,Short,"23.0 "" (Size S)","34.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","16.5 "" (Size S)"
315,trendy,trendy,Lily & Lionel,KATE DRESS , Day dress,summer-dresses,294.99,orange,100% polyester,Yes,Chiffon,Semi-sheer,100% silk,100% modal,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Slip,L2T21C01N-Q11,Calf-length,"23.5 "" (Size 10)","48.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 10)"
316,trendy,trendy,David Koma,GATHERED  , Cocktail dress / Party dress,Cocktail Dresses,34.99,blue,100% polyester,Yes,"Satin, tulle",Semi-sheer,"82% polyamide, 18% elastane","68% acetate, 32% polyester",Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,Slip,D0T21C00H-K11,Extra short,"27.0 "" (Size 8)","32.5 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
317,classic,classic,GANT,Day dress, Day dress,summer-dresses,149.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Low-cut v-neck,Plain,Slip,GA321C06V-K11,Knee-length,"19.5 "" (Size 8)","36.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
318,edgy,edgy,IN THE STYLE,JAC JOSSA ASYMMETRIC COWL NECK MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,42.99,black,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cowl neck,Plain,"Belt included, bust darts, adjustable straps",I0421C00S-Q11,Calf-length,"Sleeveless, spaghetti straps","43.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
319,sporty,sporty,HUGO,DASERENA LABEL , Day dress,summer-dresses,149.99,pastel blue,100% polyester,Yes,Sweat,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Elasticated waist,HU721C0HR-K11,Knee-length,"24.0 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
320,classic,classic,ONLY Petite,ONLNOVA LUX THEA DRESS , Day dress,summer-dresses,26.34,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,"97% polyester, 3% elastane",100% polyester,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Inseam pockets,OP421C0BW-Q11,Knee-length,"21.5 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 5""  tall and is wearing size S","14.5 "" (Size S)"
321,girly,girly,ONLY,ONLMARCELA WRAP DRESS , Day dress,summer-dresses,26.24,dusty pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Pinstriped,Slip,ON321C2O1-G11,Short,"24.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","12.5 "" (Size S)"
322,classic,classic,DRYKORN,AIMÃ‰E , Day dress,summer-dresses,189.99,white,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,DR221C050-B11,Calf-length,Sleeveless,"53.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
323,edgy,edgy,Ioana Ciolacu,VANGELIA DRESS , Day dress,summer-dresses,170.0,black,100% polyester,Yes,Sweat,Semi-sheer,"65% cotton, 35% polyester",100% polyester,Hand wash only,Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Elasticated waist,IO021C004-Q11,Knee-length,Extra short,"35.5 "" (Size S)",Oversized,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
324,girly,girly,Lace & Beads,MAKUSHKA , Occasion wear,Occasion dresses,129.99,dusty pink,100% polyester,Yes,Tulle,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Bust darts, slip, sequins",LS721C0GF-I11,Long,Sleeveless,"60.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
325,alternative,alternative,Billabong,FINE FLUTTER , Day dress,summer-dresses,64.99,white multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Floral,Belt included,BI721C02V-B11,Short,Short,"38.0 "" (Size S)",Normal fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
326,girly,girly,Nly by Nelly,OH MY RUCHED DRESS , Day dress,summer-dresses,54.99,pastel purple,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,Slip,NEG21C0GN-I11,Knee-length,Short,"45.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)"
327,trendy,trendy,Maya Deluxe,ONE SHOULDER TIERED EMBELLISHED DRESS , Occasion wear,Occasion dresses,224.99,navy,100% polyester,Yes,Tulle,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,"Slip, sequins",M2Z21C094-K11,Long,"Strapless, sleeveless","59.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
328,sporty,sporty,Selected Femme,SLFTENNYLS O NECK DRESS , Day dress,summer-dresses,69.99,black,100% polyester,Yes,Sweat,Semi-sheer,"51% modal, 45% polyester, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SE521C13L-Q11,Knee-length,"25.0 "" (Size 10)","36.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 8)"
329,trendy,trendy,NA-KD,PAMELA REIF x NA,KD ,summer-dresses,48.99,dusty pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,NAA21C0PO-J11,Short,"25.5 "" (Size 8)","32.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
330,girly,girly,Lace & Beads,SAVANNAH , Occasion wear,Occasion dresses,104.99,pastel pink,100% polyester,Yes,"Chiffon, tulle",Semi-sheer,100% polyester,100% polyester,Hand wash only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,"Bust darts, slip, sequins, flower applique, rhinestones",LS721C0FU-J11,Long,Extra short,"57.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)"
331,trendy,trendy,Victoria Beckham,CAMI FLOORLENGTH , Occasion wear,Occasion dresses,870.0,green,100% polyester,Yes,Satin,Semi-sheer,"71% acetate, 29% viscose",100% polyester,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Slip,V0921C02B-M11,Long,Spaghetti straps,"65.0 "" (Size 4)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 4","12.5 "" (Size 4)"
332,alternative,alternative,Superdry,Day dress, Day dress,summer-dresses,54.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SU221C0ND-Q11,Short,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
333,alternative,edgy,JDY,JDYMARY DRESS , Day dress,summer-dresses,23.39,army green,100% polyester,Yes,Sweat,Semi-sheer,"65% polyester, 35% viscose",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,JY121C0G3-N11,Knee-length,"25.0 "" (Size S)","38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
334,girly,girly,Mascara,Occasion wear, Day dress,Occasion dresses,199.99,pastel pink,100% polyester,Yes,Tulle,Semi-sheer,100% polyester,100% polyester,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,"Padded bust, slip, sequins, rhinestones",M0921C0DP-I11,Long,Spaghetti straps,"61.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
335,trendy,trendy,Never Fully Dressed,SANDY LOVE  , Day dress,summer-dresses,94.99,bright multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Shirt collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Print,Bust darts,NEN21C04Q-J11,Extra short,"25.0 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
