,Style,Link,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Article number,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
1843,,https://www.zalando.co.uk/samsoee-samsoee-brianna-dress-day-dress-black-sa321c0f5-q11.html,Samsoe Samsoe,BRIANNA DRESS ,119.99,3,black,Sweat,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,,Round neckline,Plain,--,SA321C0F5-Q11,Knee length,"24.0 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,--,--,No,No,No,No,No
1844,,https://www.zalando.co.uk/vila-vikawa-dress-day-dress-optical-snow-v1021c2v9-a11.html,Vila,VIKAWA NOOS ,39.99,1,white,--,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Low v-neck,Plain,--,V1021C2V9-A11,Short,Long,Long,--,Slim Fit,Slim fit,--,--,No,No,No,No,No
1845,,https://www.zalando.co.uk/marc-cain-day-dress-super-pink-m4r21c07t-j11.html,Marc Cain,Day dress,359.99,5,bright multi-coloured,Chiffon,"66% viscose, 34% silk",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Low v-neck,Floral,Slip,M4R21C07T-J11,Knee length,"19.0 "" (Size 10)",Elbow length,"40.0 "" (Size 10)",Loose Fit,Loose fit,--,"14.0 "" (Size 10)",No,No,No,No,No
1846,,https://www.zalando.co.uk/mavi-dress-day-dress-white-sand-ma621c03z-a11.html,Mavi,DRESS ,49.99,2,grey,Chiffon,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Do not bleach",--,--,--,,V-neck,Floral,Bust darts,MA621C03Z-A11,Short,"21.5 "" (Size S)",Long,"35.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No
1847,,https://www.zalando.co.uk/marc-opolo-denim-dress-longsleeve-round-neck-day-dress-multiblack-op521c05o-q11.html,Marc'o polo,DRESS LONGSLEEVE ROUND NECK ,104.99,3,grey,--,100% cotton,--,Machine wash at 30Â°C,--,--,Button,,Round neckline,Checked,--,OP521C05O-Q11,Knee length,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","18.0 "" (Size S)",No,No,No,No,No
1848,,https://www.zalando.co.uk/lacoste-standard-day-dress-black-la221c03c-q11.html,Lacoste,Day dress,74.24,2,black,PiquÃ©,"94% cotton, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,--,--,Polo dresses,--,Plain,--,LA221C03C-Q11,Extra short,Short,Short,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",--,No,No,No,No,No
1850,,https://www.zalando.co.uk/never-fully-dressed-lindos-cocktail-dress-party-dress-lilac-nen21c04m-i11.html,Never Fully Dressed,LINDOS ,104.99,3,bright multi-coloured,Satin,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Low v-neck,--,Border,NEN21C04M-I11,Calf length,Elbow length,Elbow length,"51.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8","12.0 "" (Size 8)",No,No,No,No,No
1851,,https://www.zalando.co.uk/gina-tricot-iris-dress-day-dress-mandarin-red-gid21c085-h11.html,Gina Tricot,IRIS DRESS ,43.99,2,orange,Rib,"96% polyamide, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Bodycon dresses,Low v-neck,Plain,--,GID21C085-H11,Calf length,Sleeveless,Sleeveless,"46.5 "" (Size 8)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,No,No,No
1852,,https://www.zalando.co.uk/cinq-a-sept-lisbeth-dress-cocktail-dress-party-dress-black-cig21c00z-q11.html,Cinq Ã  Sept,LISBETH DRESS ,350.00,5,black,--,"69% triacetate, 31% polyester","95% polyester, 5% elastane",Dry clean only,--,--,Zip,Bodycon dresses,Square neckline,Plain,"Bust darts, slip, wired bustier",CIG21C00Z-Q11,Calf length,Short,Short,"48.0 "" (Size 8)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","16.5 "" (Size 8)",No,No,No,No,No
1853,,https://www.zalando.co.uk/vila-vibobby-shirt-dress-day-dress-navy-blazer-v1021c363-k11.html,Vila,VIBOBBY SHIRT DRESS ,43.99,2,navy,--,"80% viscose, 20% polyamide",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,Button,Button down dresses,--,Checked,Belt included,V1021C363-K11,Calf length,"24.5 "" (Size 8)",Long,"45.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
1854,,https://www.zalando.co.uk/only-petite-onlolivia-wrap-dress-day-dress-dusk-blue-op421c09z-k11.html,Only,ONLOLIVIA WRAP DRESS ,25.99,1,blue,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,OP421C09Z-K11,Knee length,Short,Short,"36.0 "" (Size 8)",Regular Fit,Regular fit,--,"14.0 "" (Size 8)",No,No,No,No,No
1855,,https://www.zalando.co.uk/anna-field-day-dress-black-beige-an621c1os-q11.html,Anna Field,Day dress,34.99,1,brown,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,Button,,--,Animal Prints in general,Slip,AN621C1OS-Q11,Short,"24.5 "" (Size 8)",Long,"37.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
1856,,https://www.zalando.co.uk/arket-forsynthia-dress-cocktail-dress-party-dress-black-aru21c024-q11.html,ARKET,Cocktail dress / Party dress,84.99,3,black,--,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry",--,--,Button,,Round neckline,Plain,Underskirt,ARU21C024-Q11,Calf length,"23.5 "" (Size 10)",Long,"47.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No
1857,,https://www.zalando.co.uk/Hugo Boss-darkea-cocktail-dress-party-dress-brown-bb121c0c4-b11.html,Hugo Boss,DARKEA ,264.99,5,brown,Satin,"52% acetate, 48% viscose",--,Hand wash only,--,--,Zip,,Round neckline,Animal Prints in general,Bow,BB121C0C4-B11,Knee length,"23.5 "" (Size 8)",Long,"43.5 "" (Size 8)",Regular Fit,Regular fit,--,"16.5 "" (Size 8)",No,No,No,No,No
1858,,https://www.zalando.co.uk/massimo-dutti-day-dress-beige-m3i21c0jb-b11.html,Massimo Dutti,MIT TEXTUR  ,149.00,4,off-white,--,"82% viscose, 11% wool, 6% polyester, 1% elastane",100% viscose,--,--,--,--,,Low v-neck,Plain,"Elasticated waist, slip",M3I21C0JB-B11,Calf length,Long,Long,--,Regular Fit,Regular fit,--,--,No,No,No,No,No
1859,,https://www.zalando.co.uk/jdy-petite-jdymelanie-midi-dress-day-dress-pastel green-jd421c00a-m11.html,JDY,JDYMELANIE MIDI DRESS ,34.99,1,green,Satin,"72% cotton, 24% polyester, 4% elastane",--,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,Button,,Round neckline,Plain,--,JD421C00A-M11,Calf length,Short,Short,"45.5 "" (Size 8)",Regular Fit,Regular fit,--,"14.0 "" (Size 8)",No,No,No,No,No
1860,,https://www.zalando.co.uk/needle-and-thread-iris-short-sleeve-v-neck-bodice-ankle-gown-occasion-wear-moonshine-nt521c0g1-j11.html,Needle & Thread,IRIS SHORT SLEEVE V NECK BODICE ANKLE GOWN ,344.99,5,white multi-coloured,Tulle,100% nylon,100% polyester,Dry cleanable,--,--,Zip,,Low v-neck,Floral,"Slip, sequins, border",NT521C0G1-J11,Maxi/long,Elbow length,Elbow length,"64.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",--,No,No,yes,No,No
1861,,https://www.zalando.co.uk/superdry-day-dress-cream-floral-su221c0q6-t11.html,Superdry,Day dress,64.99,2,white multi-coloured,--,100% viscose,--,"Do not tumble dry, Do not bleach",Standing collar,--,Button,,--,Floral,Border,SU221C0Q6-T11,Extra short,Long,Long,--,Regular Fit,Regular fit,--,--,No,No,No,No,No
1862,,https://www.zalando.co.uk/superdry-day-dress-light-wash-su221c0nx-k11.html,Superdry,Day dress,31.49,1,blue,--,100% lyocell,--,"Do not bleach, do not tumble dry",--,--,Button,,Round neckline,--,Embroidery,SU221C0NX-K11,Knee length,Sleeveless,Sleeveless,--,Regular Fit,Regular fit,--,--,No,No,No,No,No
1863,,https://www.zalando.co.uk/vila-viadeline-dress-day-dress-black-v1021c2t4-q11.html,Vila,VIADELINE DRESS ,29.74,1,black,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,V-neck,Prints in general,"Belt included, slip",V1021C2T4-Q11,Short,"23.0 "" (Size 8)",Long,"36.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
1864,,https://www.zalando.co.uk/byoung-byjosa-dress-day-dress-arabian-spice-mix-by221c0dt-k11.html,b.young,BYJOSA DRESS ,39.99,1,black/red,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,V-neck,Floral,Bust darts,BY221C0DT-K11,Knee length,"26.0 "" (Size 8)",Long,"39.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
1865,,https://www.zalando.co.uk/urban-classics-ladies-short-spaghetti-dress-day-dress-ur621c010-a11.html,Urban Classics,LADIES SPAGHETTI DRESS ,16.99,1,white,PiquÃ©,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Accentuating the waist,Spaghetti straps,Plain,Bust darts,UR621C010-A11,Short,Spaghetti straps,Spaghetti straps,"35.5 "" (Size S)",Fitted waist,Slim fit,Our model is 6'  tall and is wearing size S,--,Yes,No,No,No,No
1866,,https://www.zalando.co.uk/retrofete-gabrielle-cocktail-dress-party-dress-pink-ombre-r0w21c00k-t11.html,retrofÃªte,GABRIELLE ,535.00,5,bright multi-coloured,--,100% polyester,"95% polyester, 5% elastane","Dry cleaning, Do not wash",--,--,--,Wrap dresses,Low v-neck,Prints in general,"Shoulder pads, slip, sequins",R0W21C00K-T11,Short,"23.5 "" (Size S)",Long,"33.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)",No,No,yes,yes,No
1867,,https://www.zalando.co.uk/pieces-petite-pccarla-dress-day-dress-black-pit21c031-q11.html,Pieces,PCCARLA DRESS ,30.99,1,black,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,Button,,Low v-neck,Floral,"Inseam pockets, bow",PIT21C031-Q11,Knee length,Short,Short,"35.5 "" (Size S)",Regular Fit,Regular fit,--,"14.0 "" (Size S)",No,yes,No,No,No
1868,,https://www.zalando.co.uk/gina-tricot-lio-dress-cocktail-dress-party-dress-merlot-gid21c08o-g11.html,Gina Tricot,LIO DRESS ,25.99,1,burgundy,Jersey,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,--,,Spaghetti straps,Plain,--,GID21C08O-G11,Short,Spaghetti straps,Spaghetti straps,"25.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,No,No,Yes
1869,,https://www.zalando.co.uk/milly-vivianna-pleated-dress-cocktail-dress-party-dress-amethyst-m1221c04d-i11.html,Milly,VIVIANNA PLEATED DRESS ,409.99,5,pink,Satin,"98% polyester, 2% elastane",100% polyester,Dry clean only,--,--,--,Pleated dresses,Low v-neck,Plain,"Belt included, slip",M1221C04D-I11,Calf length,"23.0 "" (Size 8)",Long,"45.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
1870,,https://www.zalando.co.uk/pieces-day-dress-black-pe321c0u9-q11.html,Pieces,Day dress,25.99,1,black,--,"60% cotton, 40% polyester",--,"Do not tumble dry, machine wash at 30Â°C",Hood,--,--,Hooded dresses,Round neckline,Plain,--,PE321C0U9-Q11,--,Long,Long,--,--,,--,--,No,No,No,No,No
1871,,https://www.zalando.co.uk/missguided-plus-puff-sleeve-ruched-day-dress-multi-m0u21c0im-t11.html,Missguided,PUFF SLEEVE RUCHED  ,36.99,1,pastel green,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Zip,Wrap dresses,Low v-neck,Prints in general,--,M0U21C0IM-T11,Knee length,Short,Short,"32.5 "" (Size 16)",Regular Fit,Regular fit,--,"12.0 "" (Size 16)",No,No,No,No,No
1872,,https://www.zalando.co.uk/edc-by-esprit-day-dress-medium-grey-ed121c0wn-c11.html,Esprit,Day dress,45.00,2,grey,Sweat,"90% cotton, 7% viscose, 3% elastane",--,Machine wash at 30Â°C,Hood,--,--,Hooded dresses,--,Plain,--,ED121C0WN-C11,Short,"25.5 "" (Size S)",Long,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",--,No,Yes,No,No,No
1873,,https://www.zalando.co.uk/armani-exchange-dress-french-terry-day-dress-blueberry-jelly-arc21c034-k11.html,Armani Exchange,DRESS FRENCH TERRY ,164.99,4,navy,Sweat,"60% cotton, 40% polyester",--,"Do not tumble dry, machine wash at 30Â°C",Hood,--,--,Hooded dresses,--,Plain,Elasticated waist,ARC21C034-K11,Short,"25.5 "" (Size S)",Long,"33.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No
1874,,https://www.zalando.co.uk/lauren-ralph-lauren-willow-short-sleeve-day-dress-day-dress-pampelonne-blue-l4221c1bu-k11.html,Ralph Lauren,FLUTTER,219.99,5,electric blue,--,100% cotton,100% cotton,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,Accentuating the waist,Low v-neck,Plain,"Belt included, slip",L4221C1BU-K11,Calf length,Short,Short,"48.5 "" (Size 10)",Regular Fit,Regular fit,--,"14.5 "" (Size 10)",No,No,No,No,No
1875,,https://www.zalando.co.uk/sand-copenhagen-linosa-wrap-cocktail-dress-party-dress-medium-red-saa21c02l-g11.html,Sand Copenhagen,LINOSA WRAP ,339.99,5,burgundy,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Laces,Wrap dresses,Low v-neck,Floral,--,SAA21C02L-G11,Calf length,"16.5 "" (Size 8)",Elbow length,"46.5 "" (Size 8)",Regular Fit,Regular fit,--,"14.5 "" (Size 8)",No,No,No,No,No
1876,,https://www.zalando.co.uk/adidas-originals-dress-day-dress-blue-ad121c08f-k11.html,Adidas,DRESS ,39.99,1,electric blue,Jersey,"93% cotton, 7% elastane",--,Machine wash at 30Â°C,--,--,--,Bodycon dresses,Spaghetti straps,--,--,AD121C08F-K11,Extra short,Spaghetti straps,Spaghetti straps,"32.5 "" (Size 10)",Bodycon,Slim fit,--,--,No,No,No,No,Yes
1877,,https://www.zalando.co.uk/vero-moda-tall-vmhbecca-short-day-dress-massala-veb21c0bx-j11.html,Vero Moda,VMHBECCA SHORT DRESS ,25.99,1,burnt orange,--,"97% viscose, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,,Round neckline,Plain,--,VEB21C0BX-J11,Knee length,"19.5 "" (Size S)",Long,"36.0 "" (Size S)",Loose Fit,Loose fit,--,"15.0 "" (Size S)",No,No,No,No,No
1878,,https://www.zalando.co.uk/maya-deluxe-halter-neck-ruffle-embellished-midi-dress-cocktail-dress-party-dress-navy-m2z21c095-k11.html,Maya Deluxe,HALTER NECK RUFFLE EMBELLISHED MIDI DRESS ,94.99,3,navy,Tulle,100% polyester,--,"Do not tumble dry, Hand wash only",--,--,Zip,,Round neckline,Plain,"Slip, sequins, rhinestones",M2Z21C095-K11,Calf length,sleeveless,Sleeveless,"51.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",--,No,No,yes,No,Yes
1879,,https://www.zalando.co.uk/closet-london-a-line-midi-dress-day-dress-lime-cl921c0us-m11.html,Closet,LONDON A LINE MIDI DRESS ,99.99,3,pastel green,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,Zip,,Low v-neck,Polka dot,--,CL921C0US-M11,Calf length,"17.0 "" (Size 10)",Elbow length,"49.0 "" (Size 10)",Regular Fit,Regular fit,--,"14.0 "" (Size 10)",No,No,No,No,No
1880,,https://www.zalando.co.uk/esprit-collection-new-print-day-dress-bordeaux-es421c1ip-g11.html,Esprit,Day dress,39.99,1,navy,--,"95% polyamide, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,Button,,--,Prints in general,"Elasticated waist, slip",ES421C1IP-G11,Calf length,"23.0 "" (Size 10)",Long,"45.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",--,No,No,No,No,No
1881,,https://www.zalando.co.uk/vero-moda-vmanna-short-dress-day-dress-dark-olive-ve121c37l-m11.html,Vero Moda,VMANNA SHORT DRESS ,23.24,1,army green,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,V-neck,Floral,--,VE121C37L-M11,Short,"24.5 "" (Size S)",Long,"33.5 "" (Size S)",Regular Fit,Regular fit,--,"14.0 "" (Size S)",No,No,No,No,No
1882,,https://www.zalando.co.uk/rejina-pyo-lorena-dress-day-dress-black-r0p21c00g-q11.html,Rejina Pyo,LORENA DRESS ,575.00,5,black,--,"88% viscose, 12% nylon",100% cupro,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Peter pan collar,--,Zip,,--,Plain,Slip,R0P21C00G-Q11,Knee length,"23.0 "" (Size S)",Long,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No
1883,,https://www.zalando.co.uk/scotch-and-soda-short-straight-dress-day-dress-combo-sc321c07s-t11.html,Scotch & Soda,SHORT STRAIGHT DRESS ,114.99,3,pastel blue,--,"80% viscose, 20% polyester",--,"Do not tumble dry, Hand wash only",Standing collar,--,Laces,,Low v-neck,Prints in general,--,SC321C07S-T11,Knee length,"18.5 "" (Size S)",Elbow length,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","13.5 "" (Size S)",No,No,No,No,No
1884,,https://www.zalando.co.uk/esprit-georgette-dress-day-dress-anthracite-es121c213-q11.html,Esprit,GEORGETTE DRESS ,79.99,2,black,--,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Bow/shawl collar,--,Button,,V-neck,Prints in general,"Bust darts, slip",ES121C213-Q11,Calf length,Long,Long,--,Loose Fit,Loose fit,--,--,No,No,No,No,No
1885,,https://www.zalando.co.uk/david-koma-sweetheart-cocktail-dress-party-dress-black-d0t21c00u-q11.html,David Koma,SWEETHEART ,"1,255,00",5,black,--,100% wool,"96% acetate, 4% elastane",Dry clean only,--,--,Zip,Bodycon dresses,Square neckline,Plain,"Button row, bust darts",D0T21C00U-Q11,Extra short,"24.5 "" (Size 8)",Long,"32.5 "" (Size 8)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
1886,,https://www.zalando.co.uk/gap-hoodie-dress-day-dress-grey-heather-gp021c0kp-c11.html,GAP,HOODIE DRESS ,30.79,1,grey,Sweat,"60% cotton, 40% polyester",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,Hooded dresses,--,Plain,Elasticated waist,GP021C0KP-C11,Short,"22.0 "" (Size S)",Long,"33.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",--,No,No,No,No,No
1887,,https://www.zalando.co.uk/gap-plaid-dress-day-dress-red-gp021c0k6-g11.html,GAP,PLAID DRESS ,35.19,1,black/red,--,"55% cotton, 45% viscose",--,Machine wash at 30Â°C,Mandarin collar,--,Button,,Round neckline,Checked,Bust darts,GP021C0K6-G11,Short,"24.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
1889,,https://www.zalando.co.uk/tommy-hilfiger-angela-fit-flare-dress-cocktail-dress-party-dress-desert-sky-to121c0j2-k11.html,Tommy Hilfiger,ANGELA FIT FLARE DRESS  ,139.99,4,black,--,"73% polyester, 21% viscose, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Zip,,Round neckline,Plain,"Bust darts, border",TO121C0J2-K11,Knee length,Short,Short,"38.0 "" (Size 4)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 4","14.0 "" (Size 4)",No,No,No,No,No
1890,,https://www.zalando.co.uk/jdy-tall-jdybasil-wrap-dress-day-dress-blackballerina-jd521c002-q11.html,JDY,JDYBASIL WRAP DRESS ,34.99,1,black,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Wrap dresses,Low v-neck,Checked,Belt included,JD521C002-Q11,Short,"18.5 "" (Size 8)",Elbow length,"35.5 "" (Size 8)",Regular Fit,Regular fit,--,"14.5 "" (Size 8)",No,No,No,No,No
1891,,https://www.zalando.co.uk/max-mara-leisure-hans-day-dress-blu-m1x21c023-k11.html,Max Mara Leisure,HANS ,214.99,5,navy,--,100% cotton,--,Machine wash at 30Â°C,--,--,--,,Round neckline,Plain,Inseam pockets,M1X21C023-K11,Calf length,"22.5 "" (Size S)",Long,"46.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",--,No,yes,No,No,No
1892,,https://www.zalando.co.uk/my-true-me-tom-tailor-dress-feminine-sleeve-detail-day-dress-country-blue-tol21c02a-k11.html,MY TRUE ME TOM TAILOR,DRESS FEMININE SLEEVE DETAIL ,59.99,2,pastel blue,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,,Low v-neck,Polka dot,--,TOL21C02A-K11,Knee length,Short,Short,"41.5 "" (Size 18)",Loose Fit,Loose fit,--,"15.0 "" (Size 18)",No,No,No,No,No
1893,,https://www.zalando.co.uk/moves-dazinna-day-dress-carbon-mod21c087-q11.html,Moves,DAZINNA ,69.99,2,grey,--,"63% polyester, 33% viscose, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,Button,,Low v-neck,Striped,--,MOD21C087-Q11,Extra short,Sleeveless,Sleeveless,"30.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","17.0 "" (Size 8)",No,No,No,No,No
1894,,https://www.zalando.co.uk/iro-letona-cocktail-dress-party-dress-black-ir221c04k-q11.html,Iro,LETONA ,404.99,5,black,--,100% viscose,100% viscose,Dry clean only,--,--,Zip,Wrap dresses,Low v-neck,Animal Prints in general,Slip,IR221C04K-Q11,Short,"21.5 "" (Size 10)",Long,"36.5 "" (Size 10)",Regular Fit,Regular fit,--,"15.0 "" (Size 10)",No,No,No,No,No
1895,,https://www.zalando.co.uk/superdry-vintage-crossing-lines-day-dress-jet-black-su221c0qn-q11.html,Superdry,VINTAGE CROSSING LINES ,54.99,2,black,Sweat,100% cotton,--,"Do not bleach, do not tumble dry",--,--,--,,Round neckline,Prints in general,--,SU221C0QN-Q11,Short,Long,Long,--,Regular Fit,Regular fit,--,--,No,No,No,No,No
1897,,https://www.zalando.co.uk/moss-copenhagen-hedda-rikkelie-dress-day-dress-blue-nights-m0y21c08n-k11.html,Moss Copenhagen,HEDDA RIKKELIE DRESS ,53.99,2,purple,--,100% polyester,"65% polyester, 35% viscose",--,--,--,Button,,Round neckline,Prints in general,Slip,M0Y21C08N-K11,Calf length,"23.5 "" (Size S)",Long,"48.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",No,No,No,No,No
1898,,https://www.zalando.co.uk/vero-moda-tall-vmsatti-dress-day-dress-navy-blazer-veb21c0bo-k11.html,Vero Moda,VMSATTI DRESS ,26.34,1,navy,--,100% polyester,--,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",--,--,Button,,Round neckline,Floral,"Elasticated waist, bust darts",VEB21C0BO-K11,Knee length,"24.0 "" (Size S)",Long,"39.0 "" (Size S)",Regular Fit,Regular fit,--,"12.5 "" (Size S)",No,No,No,No,No
1899,,https://www.zalando.co.uk/vero-moda-vmmusthave-boho-34-tunic-day-dress-black-ve121c28t-q11.html,Vero Moda,VMMUSTHAVE BOHO 3/4 TUNIC  ,23.99,1,black,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,,Low v-neck,Plain,"Bust darts, tassels, bow",VE121C28T-Q11,Short,"19.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No
1900,,https://www.zalando.co.uk/vero-moda-vmines-dicthe-day-dress-birchines-ve121c2ol-b11.html,Vero Moda,VMINES DICTHE ,23.24,1,white multi-coloured,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,,Low v-neck,Floral,--,VE121C2OL-B11,Knee length,Elbow length,Elbow length,"34.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,No
1901,,https://www.zalando.co.uk/monki-brenda-dress-day-dress-green-moq21c0bx-m11.html,Monki,Day dress,31.00,1,pastel green,Jersey,"76% cotton, 24% polyester",--,"Machine wash at 40Â°C, do not tumble dry",Standing collar,--,--,,--,Prints in general,Elasticated waist,MOQ21C0BX-M11,Thigh length,"25.0 "" (Size S)",Long,"41.5 "" (Size S)",Regular Fit,Regular fit,--,--,No,No,No,No,No
1902,,https://www.zalando.co.uk/alice-olivia-hallie-dress-day-dress-multi-coloureded-a2n21c00h-t11.html,Alice + Olivia,HALLIE DRESS ,400.00,5,black/red,Flannel,"69% polyester, 29% viscose, 2% elastane",--,Dry cleaning,Turn-down collar,--,Button,Button down dresses,--,Checked,--,A2N21C00H-T11,Knee length,"25.5 "" (Size S)",Long,"38.0 "" (Size S)",Regular Fit,Regular fit,--,"19.5 "" (Size S)",No,No,No,No,No
