link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,,,,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/wal-g-zalora-one-sleeve-skater-dress-cocktail-dress-party-dress-red-wg021c0rf-g11.html,WAL G.,ZALORA ONE SLEEVE SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,red,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,--,Plain,Padded bust,WG021C0RF-G11,Short,"Strapless, short","34.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-crepe-dre-cocktail-dress-party-dress-off-white-es421c1ju-a11.html,Esprit Collection,CREPE DRE , Cocktail dress / Party dress,Cocktail Dresses,From Â£59.00,off white,--,--,--,--,"62% polyester, 32% viscose, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Crew neck,Plain,Border,ES421C1JU-A11,Knee-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-crepe-dre-cocktail-dress-party-dress-off-white-es421c1ju-a11.html,Esprit Collection,CREPE DRE , Cocktail dress / Party dress,Cocktail Dresses,From Â£59.00,black,--,--,--,--,"62% polyester, 32% viscose, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Crew neck,Plain,Border,ES421C1JU-A11,Knee-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-dress-cocktail-dress-party-dress-marine-sg721c0et-k11.html,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£114.99,marine,--,--,"Lace, chiffon",--,100% polyester,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,"Belt included, slip, sequins",SG721C0ET-K11,Knee-length,Extra short,"34.5 "" (Size 8)",--,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,"97% polyester, 3% elastane",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-per-dress-cocktail-dress-party-dress-navy-es421c1dv-k11.html,Esprit Collection,PER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£99.99,navy,100% polyester,--,"Lace, chiffon",--,"88% polyamide, 12% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,--,--,Zip,Low-cut v-neck,Plain,"Belt included, bust darts, slip, border",ES421C1DV-K11,Knee-length,"19.0 "" (Size S)","38.0 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/lauren-ralph-lauren-noella-short-sleeve-dress-cocktail-dress-party-dress-blackcream-l4221c1bx-q11.html,Lauren Ralph Lauren,FLORAL FAILLE COCKTAIL DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£244.99,black/cream,100% polyester,--,Jersey,--,"53% cotton, 41% viscose, 6% elastane","94% polyester, 6% elastane",Hand wash only,--,--,--,Zip,Crew neck,--,"Belt included, inseam pockets, bust darts, slip",L4221C1BX-Q11,Knee-length,Extra short,"41.0 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-new-joey-cocktail-dress--party-dress-noir-na521c0mc-q11.html,NAF NAF,NEW JOEY , Cocktail dress / Party dress,Cocktail Dresses,Â£38.49,video overlay,--,--,Chiffon,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Plain,Slip,NA521C0MC-Q11,Short,Extra short,"35.5 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-new-joey-cocktail-dress--party-dress-noir-na521c0mc-q11.html,NAF NAF,NEW JOEY , Cocktail dress / Party dress,Cocktail Dresses,Â£38.49,noir,--,--,Chiffon,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Plain,Slip,NA521C0MC-Q11,Short,Extra short,"35.5 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-new-joey-cocktail-dress--party-dress-noir-na521c0mc-q11.html,NAF NAF,NEW JOEY , Cocktail dress / Party dress,Cocktail Dresses,Â£38.49,lipstick,--,--,Chiffon,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Plain,Slip,NA521C0MC-Q11,Short,Extra short,"35.5 "" (Size 10)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-justine-cocktail-dress-party-dress-noir-na521c18b-q11.html,NAF NAF,JUSTINE , Cocktail dress / Party dress,Cocktail Dresses,Â£49.99,noir,--,--,Tulle,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",NA521C18B-Q11,Short,Elbow length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/naf-naf-justine-cocktail-dress-party-dress-noir-na521c18b-q11.html,NAF NAF,JUSTINE , Cocktail dress / Party dress,Cocktail Dresses,Â£49.99,lipstick,--,--,Tulle,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, bow",NA521C18B-Q11,Short,Elbow length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/iro-nadine-cocktail-dress-party-dress-off-white-ir221c04j-a11.html,Iro,NADINE , Cocktail dress / Party dress,Cocktail Dresses,Â£369.99,video overlay,--,Yes,--,--,100% polyester,100% viscose,Dry clean only,--,--,--,Zip,Cache-coeur,Plain,Slip,IR221C04J-A11,Extra short,"25.0 "" (Size 10)","33.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/yas-yaslola-strap-dress-cocktail-dress-party-dress-star-white-y0121c1sl-a11.html,YAS,YASLOLA STRAP DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£59.99,star white,--,--,"Jersey, tulle",--,"72% polyester, 25% viscose, 3% elastane",--,Dry clean only,--,--,--,Zip,--,Plain,"Bust darts, adjustable straps",Y0121C1SL-A11,Knee-length,Spaghetti straps,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/samsoee-samsoee-cille-dress-cocktail-dress-party-dress-honeysuckle-sa321c0d6-j11.html,SamsÃ¸e SamsÃ¸e,CILLE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£149.99,honeysuckle,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Backless,Plain,Inseam pockets,SA321C0D6-J11,Calf-length,Spaghetti straps,"49.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/samsoee-samsoee-cille-dress-cocktail-dress-party-dress-honeysuckle-sa321c0d6-j11.html,SamsÃ¸e SamsÃ¸e,CILLE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£149.99,apricot brandy,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Backless,Plain,Inseam pockets,SA321C0D6-J11,Calf-length,Spaghetti straps,"49.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/samsoee-samsoee-cille-dress-cocktail-dress-party-dress-honeysuckle-sa321c0d6-j11.html,SamsÃ¸e SamsÃ¸e,CILLE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£149.99,sky captain,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Backless,Plain,Inseam pockets,SA321C0D6-J11,Calf-length,Spaghetti straps,"49.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-beadandsequins-cocktail-dress-party-dress-light-taupe-es421c1jw-o11.html,Esprit Collection,BEAD&SEQUINS , Cocktail dress / Party dress,Cocktail Dresses,From Â£75.00,light taupe,--,--,--,--,100% polyamide,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Plain,"Slip, sequins",ES421C1JW-O11,Knee-length,"Sleeveless, spaghetti straps","33.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","16.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-sequin-dress-cocktail-dress-party-dress-black-es421c1ik-q11.html,Esprit Collection,SEQUIN DRESS , Cocktail dress / Party dress,Cocktail Dresses,From Â£59.99,black,--,--,Tulle,--,"95% polyester, 5% elastane","93% viscose, 7% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,"Slip, sequins",ES421C1IK-Q11,--,"23.5 "" (Size S)","34.5 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-kadine-midi-dress-cocktail-dress-party-dress-mauve-pink-wg021c0o4-i11.html,WAL G.,KADINE MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£36.99,mauve pink,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,"Padded bust, wired bustier",WG021C0O4-I11,Knee-length,Sleeveless,"40.0 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-josephine-contrast-midi-dress-cocktail-dress-party-dress-blackwhite-wg021c0r6-q11.html,WAL G.,JOSEPHINE CONTRAST MIDI DRESS , Shift dress,Cocktail Dresses,Â£35.99,black/white,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,Asymmetrical,--,Zip,--,--,--,WG021C0R6-Q11,Short,Sleeveless,"35.5 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/evenandodd-cocktail-dress-party-dress-light-blue-ev421c17u-k11.html,Even&Odd,Cocktail dress / Party dress,,Cocktail Dresses,Â£28.04,light blue,--,--,Jersey,--,"73% viscose, 23% polyester, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Lapel collar,--,--,--,Low-cut v-neck,Plain,"Belt included, decorative buttons",EV421C17U-K11,Short,"24.5 "" (Size 8)","32.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/evenandodd-cocktail-dress-party-dress-light-blue-ev421c17u-k11.html,Even&Odd,Cocktail dress / Party dress,,Cocktail Dresses,Â£28.04,black,--,--,Jersey,--,"73% viscose, 23% polyester, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Lapel collar,--,--,--,Low-cut v-neck,Plain,"Belt included, decorative buttons",EV421C17U-K11,Short,"24.5 "" (Size 8)","32.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/selected-femme-slfsvala-short-dress-cocktail-dress-party-dress-bright-white-se521c14a-a11.html,Selected Femme,SLFSVALA SHORT DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£124.99,bright white,--,--,Tulle,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,"Slip, flower applique",SE521C14A-A11,Knee-length,Elbow length,"34.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/selected-femme-slfsvala-short-dress-cocktail-dress-party-dress-bright-white-se521c14a-a11.html,Selected Femme,SLFSVALA SHORT DRESS  , Cocktail dress / Party dress,Cocktail Dresses,Â£124.99,chalk pink,--,--,Tulle,--,100% polyester,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,"Slip, flower applique",SE521C14A-A11,Knee-length,Elbow length,"34.5 "" (Size 8)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/monki-day-dress-pink-light-moq21c0br-j11.html,Monki,Cocktail dress / Party dress,,Cocktail Dresses,Â£22.00,pink light,--,--,--,--,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Backless,Plain,--,MOQ21C0BR-J11,Short,"Sleeveless, spaghetti straps","30.0 "" (Size 10)",Regular Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/monki-day-dress-pink-light-moq21c0br-j11.html,Monki,Cocktail dress / Party dress,,Cocktail Dresses,Â£22.00,black dark,--,--,--,--,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Backless,Plain,--,MOQ21C0BR-J11,Short,"Sleeveless, spaghetti straps","30.0 "" (Size 10)",Regular Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/monki-day-dress-pink-light-moq21c0br-j11.html,Monki,Cocktail dress / Party dress,,Cocktail Dresses,Â£22.00,blue dark ,--,--,--,--,"97% polyester, 3% elastane",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Backless,Plain,--,MOQ21C0BR-J11,Short,"Sleeveless, spaghetti straps","30.0 "" (Size 10)",Regular Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/versace-jeans-couture-costina-cocktail-dress-party-dress-nero-vei21c044-q11.html,Versace Jeans Couture,COSTINA , Jersey dress,Cocktail Dresses,Â£249.99,nero,--,--,Rib,--,"96% polyester, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Square neck,Plain,Adjustable straps,VEI21C044-Q11,Knee-length,Sleeveless,"42.5 "" (Size 8)",Bodycon,"Our model is 5' 11""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/moves-karo-dall-cocktail-dress-party-dress-blue-bell-mod21c06v-k11.html,Moves,KARO DALL , Cocktail dress / Party dress,Cocktail Dresses,Â£69.99,blue bell,--,--,Satin,--,100% polyester,--,--,Peter Pan collar,--,--,Zip,--,Floral,--,MOD21C06V-K11,Short,"25.0 "" (Size 8)","33.5 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-dress-cocktail-dress-party-dress-ivory-sg721c0ls-a11.html,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£139.99,ivory,--,--,Lace,--,100% polyamide,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,"Slip, bow",SG721C0LS-A11,Knee-length,"18.0 "" (Size 10)","41.0 "" (Size 10)",Slim Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-dress-cocktail-dress-party-dress-ivory-sg721c0ls-a11.html,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£139.99,majorelle blue,--,--,Lace,--,100% polyamide,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,"Slip, bow",SG721C0LS-A11,Knee-length,"18.0 "" (Size 10)","41.0 "" (Size 10)",Slim Fit,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-soft-cocktail-dress-party-dress-grey-blue-es421c1jp-k11.html,Esprit Collection,SOFT , Cocktail dress / Party dress,Cocktail Dresses,Â£89.99,grey blue,--,--,Tulle,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Zip,--,Plain,"Slip, rhinestones",ES421C1JP-K11,Knee-length,Sleeveless,"41.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-emaan-midi-dress-cocktail-dress-party-dress-navy-blue-wg021c0oa-k11.html,WAL G.,EMAAN MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£39.99,navy blue,--,--,Jersey,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Off-the-shoulder,Plain,--,WG021C0OA-K11,Knee-length,Spaghetti straps,"39.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/weekday-halter-dress-cocktail-dress-party-dress-multi-coloured-web21c06h-t11.html,Weekday,HALTER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£40.00,multi coloured,--,--,Mesh,--,"94% polyester, 6% elastane","92% polyamide, 8% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,V-neck,Animal print,Slip,WEB21C06H-T11,Long,Sleeveless,"49.0 "" (Size S)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-dress-made-of-sustainable-cocktail-dress-party-dress-sea-bluemulti-sg721c0lp-k11.html,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£174.99,sea blue/multi,--,--,Chiffon,--,100% polyester,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Floral,--,SG721C0LP-K11,Long,Sleeveless,"60.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-occasion-wear-majorelle-blue-sg721c0ls-k11.html,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£139.99,majorelle blue,--,--,Lace,--,100% polyamide,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,Slip,SG721C0LS-K11,Knee-length,"18.5 "" (Size 10)","37.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/swing-occasion-wear-majorelle-blue-sg721c0ls-k11.html,Swing,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£139.99,ivory,--,--,Lace,--,100% polyamide,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,Slip,SG721C0LS-K11,Knee-length,"18.5 "" (Size 10)","37.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/more-and-more-dress-long-cocktail-dress-party-dress-dark-cherry-m5821c0lf-g11.html,More & More,DRESS LONG , Cocktail dress / Party dress,Cocktail Dresses,Â£76.49,dark cherry,--,--,--,--,"72% cotton, 24% polyamide, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Crew neck,Plain,--,M5821C0LF-G11,Calf-length,Sleeveless,"50.0 "" (Size 10)",Bodycon,--,"14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/vila-petite-vivallea-tie-cocktail-dress-party-dress-kentucky-blue-vip21c04n-k11.html,VILA PETITE,VIVALLEA TIE , Cocktail dress / Party dress,Cocktail Dresses,Â£43.99,kentucky blue,--,--,Jersey,Semi-sheer,"95% polyester, 5% elastane",--,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Plain,Bow,VIP21C04N-K11,Calf-length,Short,"47.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-soft-cocktail-dress-party-dress-nude-es421c1kg-k11.html,Esprit Collection,SOFT , Cocktail dress / Party dress,Cocktail Dresses,Â£89.99,nude,--,--,Tulle,Semi-sheer,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,--,--,Plain,Slip,ES421C1KG-K11,Knee-length,Sleeveless,"41.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/banana-republic-pleated-cocktail-dress-party-dress-black-bj721c0h2-q11.html,Banana Republic,PLEATED , Cocktail dress / Party dress,Cocktail Dresses,Â£129.99,black,--,--,--,--,100% polyester,100% polyester,Hand wash only,--,--,--,--,Crew neck,Plain,Sequins,BJ721C0H2-Q11,Short,Strapless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/zign-cocktail-dress-party-dress-black-zi121c023-q11.html,Zign,Jersey dress,,Cocktail Dresses,Â£27.99,black,--,--,Jersey,Semi-sheer,"81% polyester, 19% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Crew neck,Plain,--,ZI121C023-Q11,Knee-length,"24.0 "" (Size S)","45.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/yas-yasmatilda-cocktail-dress-party-dress-rain-forest-y0121c1qq-m11.html,YAS,YASMATILDA  , Cocktail dress / Party dress,Cocktail Dresses,Â£54.99,rain forest,--,--,--,--,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,--,--,Button,--,Plain,Slip,Y0121C1QQ-M11,Calf-length,"25.5 "" (Size S)","49.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-ecovero-dress-cocktail-dress-party-dress-purple-es421c1jm-i11.html,Esprit Collection,ECOVERO DRESS , Cocktail dress / Party dress,Cocktail Dresses,From Â£99.00,purple,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Zip,--,Plain,--,ES421C1JM-I11,Long,Sleeveless,"56.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/wal-g-lu-sequin-midi-dress-cocktail-dress-party-dress-emaraldblack-wg021c0rb-m11.html,WAL G.,LU SEQUIN MIDI DRESS , Shift dress,Cocktail Dresses,Â£59.99,emarald/black,--,--,Jersey,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Cache-coeur,--,"Padded bust, sequins",WG021C0RB-M11,Knee-length,"25.5 "" (Size 10)","41.5 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
