"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"classic",0.0011192894564032655,1.608033934634492E-5,0.9978470530571723,4.437166783530168E-6,1.4778960713499893E-5,5.702342299571394E-7,9.977907853510627E-4,144,970,"Massimo Dutti","Day dress",79.95,2,"white","Jersey","56% cotton, 44% viscose",,"Do not tumble dry",,,,,"V-neck","Plain",,"Knee length","Sleeveless","Sleeveless",,"Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"classic",0.1966285640500206,1.5352310628079455E-4,0.8027619989965354,4.5448859504291844E-4,1.6140608363218613E-7,1.1022655518671294E-7,1.153619481396786E-6,145,971,"Esprit","Day dress",36.99,1,"army green",,"60% viscose, 40% polyamide",,"Do not tumble dry",,,,,"Low round neckline","Plain",,"Calf length","Extra short","Short",,"Loose Fit","Loose fit",,,"No","No","No","No","No","alternative"
"classic",8.642543883654605E-6,0.04010797345582864,0.5157870559920105,0.35780631891068576,1.3823772229166364E-4,8.8984702858326E-11,0.08615177128631513,146,972,"Moves","DEBINA ",59.99,2,"multi-coloured","Mesh","92% polyester, 8% elastane","95% viscose, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Bodycon dresses","Round neckline","Floral","Underskirt","Calf length","24.5 "" (Size S)","Long","49.0 "" (Size S)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","casual chic"
"sporty",9.200280155199143E-4,0.03128820742241568,0.06979206617221105,3.4285941320323495E-5,3.950902213952069E-7,0.8979644323130979,5.850452137469842E-7,147,973,"JDY","JDYIVY LIFE DRESS ",14.99,1,"black","Jersey","62% cotton, 38% polyester",,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,"Round neckline","Plain",,"Knee length","Short","Short",,"Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"classic",5.036678913725168E-4,0.06711192053069585,0.8839552736019869,0.04798093933587097,6.972210032826785E-6,1.304058161770898E-7,4.410960242249311E-4,148,974,"Libertine-Libertine","Day dress",164.99,4,"black",,"69% viscose, 30% acrylic, 1% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,"Button",,"Round neckline","Plain","Bust darts","Knee length",,,"45.0 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S","16.0 "" (Size S)","No","No","No","No","No","classic"
"sporty",7.587109036305144E-9,1.0621660143550833E-13,1.8193095111746272E-12,1.3768039642655577E-10,4.249946577530642E-16,0.9999999922311816,4.210297256326273E-11,149,975,"Ragwear","LAURA ",54.99,2,"black","Sweat","50% polyester, 50% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Hood",,"Belt","Hooded dresses",,"Plain","Belt included","Short","24.5 "" (Size S)","Long","35.0 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","No","sporty"
"alternative",0.6360339751031713,0.25580138557688253,0.0016369848012730177,0.10500757953121603,3.2260211329359067E-4,5.813256434077385E-11,0.0011974728160309923,150,976,"Pieces","PCHILDA DRESS ",34.99,1,"brown",,"100% polyester",,,"Turn-down collar",,"Button","Button down dresses",,"Prints in general","Belt included, bust darts","Calf length","25.0 "" (Size S)","Long","45.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","trendy"
"casual chic",4.99055259833249E-5,0.9994778198305717,2.004288821410017E-6,4.246745648901536E-6,3.75464227827822E-4,1.4396768472615808E-12,9.055937970686343E-5,151,977,"JDY","JDYCANDICE ",23.99,1,"pastel green","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Polka dot",,"Short","18.5 "" (Size 8)","Elbow length","34.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","trendy"
"casual chic",3.0782714726111873E-6,0.9778925330555626,2.8146145900336585E-4,0.019125146338228552,6.12155042436709E-6,5.288323831720065E-15,0.002691659325303279,152,978,"Glamorous","DRESS WITH PUFF LONG SLEEVES ",35.99,1,"black/white",,"100% polyester",,"Hand wash only",,,"Laces","Wrap dresses","Low v-neck","Floral",,"Extra short","25.0 "" (Size 8)","Long","31.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)","No","No","No","No","No","casual chic"
"girly",4.4841051339284826E-5,5.273214047084469E-4,2.720540019363725E-4,7.150955004919687E-7,0.9984061255090061,5.1641993986240454E-12,7.489429323451148E-4,153,979,"Vila","VISANCIAV NECK ",37.39,1,"pastel green","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Low v-neck","Plain","Slip, border","Maxi/long","Sleeveless","Sleeveless","54.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","No","No","No","girly"
"sporty",1.549749283507126E-11,9.20684254409555E-8,1.0095045311370469E-5,3.6393698356609834E-4,2.443514730164219E-12,0.9996249516826845,9.242020717024351E-7,154,980,"Marc'o polo","DRESS, LONGSLEEVE, HOODED, WOVEN SKIRT ",154.99,4,"black","Sweat","100% cotton","100% cotton",,"Hood",,,"Hooded dresses",,"Plain","Elasticated waist, slip","Calf length","23.5 "" (Size S)","Long","48.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","classic"
"girly",9.097299592949681E-4,0.04451173299903109,0.023025071146494498,6.429520785244529E-4,0.9027166886655648,7.10106522061684E-13,0.028193825150380058,155,981,"Cream","DAISYCR FLOUNCE DRESS ",89.99,3,"pastel green",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Prints in general","Bust darts","Calf length","18.5 "" (Size 10)","Elbow length","47.0 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 10","19.5 "" (Size 10)","No","No","No","No","No","girly"
"edgy",0.058436973447780205,0.10101433800784303,0.07877570489978111,0.6891407084248332,0.04391875116774756,5.02683314276132E-4,0.02821084073773872,156,982,"Morgan","RJOSIE ",59.99,2,"black",,"87% polyester, 13% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip","Wrap dresses","Low v-neck","Plain",,"Short","Sleeveless","Sleeveless","35.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 10",,"No","No","No","No","No","edgy"
"sporty",6.183123018723468E-17,6.7149076609834166E-15,3.906527373878124E-16,8.17476417779352E-16,6.382872577735798E-20,0.9999999999999345,5.747523904931646E-14,157,983,"Calvin Klein","HOODIE DRESS ",84.49,3,"pastel blue","Sweat","64% cotton, 36% polyester",,"Machine wash at 30Â°C, Machine wash on gentle cycle","Hood",,,"Hooded dresses",,"Plain",,"Short","24.0 "" (Size S)","Long","35.5 "" (Size S)","Loose Fit","Loose fit",,,"No","No","No","No","No","sporty"
"alternative",0.9892934163325875,0.002217595338525332,0.0017459282725990019,2.027699356431442E-5,1.9440359635155982E-4,2.135437412732768E-10,0.006528379252828414,158,984,"Never Fully Dressed","FLORAL LEOPARD MIDI DRESS ",104.99,3,"orange","Chiffon","100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Round neckline","Floral",,"Calf length","Long","Long",,"Loose Fit","Loose fit",,,"Yes","No","No","No","No","alternative"
"sporty",1.623479723518905E-4,3.681520896451949E-6,2.183802041880343E-5,1.0990304561473109E-8,1.0663793816812222E-8,0.9998106677891502,1.443043084360198E-6,159,985,"Vila","VIDEVIKA  ",23.99,1,"grey","Sweat","70% polyester, 30% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,,,"Round neckline","Plain",,"Knee length","25.0 "" (Size S)","Long","35.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","sporty"
"girly",0.0017537377093036909,0.004559698267544268,0.03007639838453321,1.1363327019384092E-4,0.8897482012906137,1.84835097366092E-5,0.07372984756807471,160,986,"Minimum","FELANI ",84.99,3,"pink",,"100% cotton",,"Machine wash at 40Â°C, do not tumble dry",,,,,"Low v-neck","Plain","Bust darts","Calf length","3/4 length","Elbow length",,"Loose Fit","Loose fit",,,"No","No","No","No","No","girly"
"girly",0.003643763264826934,0.08140358636507077,0.0014740736651309401,1.1859593932908779E-4,0.9133595585307323,7.770980872578913E-13,4.222341327503033E-7,161,987,"Vero Moda","VMYARA  ",26.34,1,"pastel pink","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Mandarin collar",,"Button",,"Round neckline","Floral","Slip","Short","25.0 "" (Size S)","Long","34.5 "" (Size S)","Loose Fit","Loose fit",,"14.5 "" (Size S)","Yes","No","No","No","No","girly"
"girly",2.1555519062401345E-13,1.9083982132654628E-12,1.9573612288804119E-10,3.398663011108551E-11,0.9999062591032413,7.695468817400017E-20,9.37406649119804E-5,162,988,"Swing","EVENING DRESS ",159.99,4,"pastel pink","Chiffon","100% polyester","100% polyester",,,,"Zip",,"Spaghetti straps","Plain","Padded bust, slip, sequins, rhinestones","Maxi/long","Spaghetti straps","Spaghetti straps","63.0 "" (Size 10)","Slim Fit","Slim fit",,,"No","No","yes","No","Yes","girly"
"girly",2.6024283740892175E-9,1.5644981854459262E-8,0.005671047374698764,1.324321346751572E-8,0.7127537398713719,7.61773201562544E-18,0.28157518126330566,163,989,"IVY & OAK","Cocktail dress / Party dress",284.99,5,"white","Lace","75% cotton, 25% nylon","65% cotton, 32% polyamide, 3% elastane",,,,"Button",,"V-neck","Plain","Slip","Calf length","20.0 "" (Size 8)","Long","53.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","Yes","girly"
"casual chic",2.183913213019613E-4,0.9996281855513925,1.4911689749130095E-4,2.7841036683902343E-6,1.8501473526411476E-7,1.219216485552243E-6,1.1789492470957788E-7,164,990,"Only","ONLNOVA LUX THEA DRESS ",30.99,1,"black",,"97% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,"Round neckline","Floral",,"Short","25.5 "" (Size S)","Long","35.5 "" (Size S)","Regular Fit","Regular fit",,"14.0 "" (Size S)","No","No","No","No","No","classic"
"edgy",9.216228578751682E-8,0.005406923867560193,0.16355965738982378,0.8308120041435826,1.9665407853350174E-4,7.981309464552704E-14,2.466835813435439E-5,165,991,"Bruuns Bazaar","EMILLEH BEAVER DRESS ",149.99,4,"black","Satin","100% polyester",,,"Standing collar",,"Laces",,,"Plain",,"Knee length","26.0 "" (Size 8)","Long","37.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)","No","No","No","No","No","edgy"
"classic",0.001857691449270506,5.680677287030069E-4,0.9332220176879099,0.05146999296968764,0.010620585027257153,1.2197333791928133E-13,0.002261645137049872,166,993,"Banana Republic","ETHEREAL ROMANTIC CUTAWAY RUFFLE ",129.99,4,"black","Chiffon","100% viscose","100% viscose","Dry clean only","Standing collar",,,"Accentuating the waist","Low v-neck","Plain","Belt included, adjustable straps, slip","Calf length","Extra short","Short","52.5 "" (Size S)","Regular Fit","Regular fit",,"15.0 "" (Size S)","No","No","No","No","No","alternative"
"casual chic",1.5916713224678266E-6,0.9999982674840091,8.072662459049984E-9,1.0890052692761657E-7,2.201134855567827E-8,1.6556022594269975E-11,1.8435742683606673E-9,167,995,"Only","ONLCARLY  ",30.99,1,"grey",,"97% polyester, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, Do not iron, Do not bleach",,,,"Wrap dresses","Low v-neck","Floral","Bust darts","Short","22.5 "" (Size 8)","Long","34.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","casual chic"
"casual chic",1.7531240638759267E-6,0.9761536102899058,3.2080533403457877E-4,5.309521107312667E-5,0.023438286749593897,7.51168349162006E-13,3.2449290577543195E-5,168,996,"Only","ONLVIOLA LAYERE DRESS  ",26.34,1,"green",,"100% polyester","100% polyester","Machine wash at 30Â°C",,,"Button",,"Round neckline","Floral","Slip","Short","17.5 "" (Size 10)","Elbow length","36.0 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10","18.0 "" (Size 10)","No","No","No","No","No","edgy"
"trendy",3.026770974626908E-26,5.139945578290774E-20,4.675172850502125E-6,3.282102550946789E-11,1.0190535322663137E-9,8.5519202083872E-30,0.999995323775275,169,997,"David Koma","Cocktail dress / Party dress",415.0,5,"purple","Rib","75% viscose, 23% nylon, 2% elastane",,"Dry clean only",,"Asymmetrical",,"Bodycon dresses","strapless","Plain",,"Calf length","One shoulder","One shoulder","47.0 "" (Size 10)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size 10",,"No","No","No","No","No","trendy"
"alternative",0.986845968551593,0.012735229597133246,7.0639959869866774E-6,4.1041325370325094E-4,1.1712465491226424E-6,1.4423583225660423E-7,9.11920231097242E-9,170,998,"Superdry","STUDIOS  ",30.0,1,"black",,"100% viscose",,"Do not bleach, do not tumble dry",,,,,"Boat neckline (wide)","Plain",,"Knee length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","Yes","alternative"
"trendy",0.010778031733055702,5.206171725833588E-6,1.872462813137096E-10,3.89065483679712E-8,0.08788700401638429,8.810503548233211E-6,0.9013209084814913,171,999,"Pieces","PCANG SQUARE NECK DRESS ",17.99,1,"black","Jersey","95% cotton, 5% elastane",,"Machine wash at 40Â°C, do not tumble dry",,,,,"Spaghetti straps","Plain",,"Short","Spaghetti straps","Spaghetti straps","37.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","Yes","trendy"
"alternative",0.9992004861467004,6.161867128614792E-5,1.8893048064879266E-9,7.378725111662237E-4,4.4423234983939636E-11,1.2940467533202292E-8,7.79665148208603E-9,172,1000,"Superdry","Day dress",54.99,2,"multi-coloured",,"100% viscose",,"Do not bleach, do not tumble dry","Standing collar",,,,,"Paisley",,"Extra short","Long","Long",,"Loose Fit","Loose fit",,,"No","No","No","No","No","edgy"
"classic",7.508195918669626E-5,0.0010907152503718343,0.9987775782775417,3.544120852060255E-5,1.8996040063594267E-5,9.670175018133856E-9,2.177594140687024E-6,173,1001,"Esprit","DRESS SOLI ",69.99,2,"navy","Jersey","67% viscose, 28% polyamide, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Low v-neck","Plain",,"Calf length","Short","Short","49.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","classic"
"classic",1.5068152524532609E-6,6.646732970779885E-5,0.999824845475781,2.4077494512201335E-6,4.6918667569523586E-5,1.2803326556406601E-8,5.784115891151793E-5,174,1002,"DRYKORN","CASIMIRA ",169.99,4,"pastel blue",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Plain",,"Calf length","Sleeveless","Sleeveless",,"Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"trendy",1.7009398924733673E-8,0.018317935614571148,0.04408284390521607,1.6569319601138483E-7,2.068917209607457E-4,2.0327976735547816E-11,0.9373921460363293,175,1003,"Closet","CLOSET LONDON HIGH NECK DRESS ",114.99,3,"purple",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C","Standing collar",,"Zip",,,"Polka dot","Inseam pockets","Calf length","24.0 "" (Size 10)","Long","49.0 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)","No","yes","No","No","No","trendy"
"trendy",6.843308053428588E-7,9.50025672610421E-5,1.4023404478068814E-5,4.1767506875418053E-7,1.72228864447429E-5,1.0379143200111608E-10,0.9998726490321507,176,1004,"Gina Tricot","EXCLUSIVE MERIDIANDRESS ",29.74,1,"black","Chiffon","100% polyester","100% polyester",,,"Asymmetrical","Zip",,"strapless","Plain","Elasticated waist, slip","Extra short","One shoulder","One shoulder","28.0 "" (Size 8)","Regular Fit","Regular fit",,"10.5 "" (Size 8)","No","No","No","No","No","trendy"
"casual chic",1.7873086020518214E-4,0.9997693985856628,7.943771252878056E-7,5.026380972501347E-5,1.8187993288811531E-9,3.6806855393862783E-10,8.101804142067333E-7,177,1005,"Only","ONLCORDELIA WRAP DRESS ",30.99,1,"black multi-coloured","Chiffon","100% polyester","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Paisley",,"Short","23.5 "" (Size S)","Long","35.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","13.5 "" (Size S)","No","No","No","No","No","casual chic"
"classic",3.755994681522529E-9,1.8741467166192275E-5,0.999813235132938,1.3582805283041477E-4,7.186528242509404E-6,1.584297594593513E-9,2.500347853056187E-5,178,1006,"Hugo Boss","EMAURA ",219.99,5,"black","Rib","68% viscose, 32% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button","Accentuating the waist","Round neckline","Plain","Belt included","Calf length","Extra short","Short","45.5 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","No","unknown"
"girly",0.043727165247535664,0.0751641319863042,0.35282238164736457,8.716623963832441E-6,0.5281303308536152,2.0610036807772142E-10,1.472734351163223E-4,179,1007,"Vila","VIPLIS O NECK MIDI DRESS ",47.99,2,"red","Chiffon","100% polyester","100% polyester","Machine wash at 30Â°C",,,,"Accentuating the waist","Round neckline","Plain","Belt included, bust darts, slip","Calf length","Short","Short","45.5 "" (Size 18)","Regular Fit","Regular fit",,"15.5 "" (Size 18)","No","No","No","No","No","alternative"
"girly",3.3924093782819208E-6,8.8824529109299E-6,0.06380842671104772,2.681844078833291E-5,0.9308686385885924,2.2347254243853868E-10,0.0052838411738099,180,1008,"IVY & OAK","DOROTHY ",249.99,5,"pastel purple",,"100% lyocell","100% viscose",,,,,,"Low v-neck","Plain","Slip","Calf length","3/4 length","Elbow length",,"Regular Fit","Regular fit",,,"No","No","No","No","No","girly"
"trendy",0.059754162153551685,0.12122488449255027,2.0714961290583302E-7,0.029575009879704083,2.8847746031627916E-4,7.0756744205720566E-12,0.7891572588571891,181,1009,"NA-KD","PAMELA REIF x NA",45.99,2,"black","Satin","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Spaghetti straps","Plain","Adjustable straps, slip, bow","Short","Spaghetti straps","Spaghetti straps","34.5 "" (Size 8)","Regular Fit","Regular fit",,"15.0 "" (Size 8)","No","No","No","No","No","alternative"
"trendy",1.4833315007631516E-10,1.052043180438624E-9,3.973440287206922E-6,8.467518922880399E-4,7.739268592244535E-4,2.888981255272204E-10,0.9983753463189258,182,1011,"WAL G.","TAZMIN SEQUIN MAXI DRESS ",54.99,2,"black","Jersey","95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Low v-neck","Plain","Padded bust, sequins","Maxi/long","Spaghetti straps","Spaghetti straps","59.5 "" (Size 10)","Slim Fit","Slim fit","Our model is 5' 9""  tall and is wearing size 10",,"No","No","yes","No","No","unknown"
"edgy",9.521636280556272E-9,2.292112283885786E-5,0.21630535318662775,0.771884871109984,9.263356209416141E-4,3.904877826098581E-15,0.010860509437967557,183,1012,"KARL LAGERFELD","WRAP DRESS ",349.99,5,"black",,"100% silk","100% polyester",,"Bow/shawl collar",,"Zip","Wrap dresses","Low v-neck","Polka dot","Slip","Short","23.0 "" (Size 8)","Long","38.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)","No","No","No","No","No","casual chic"
"trendy",1.0910336177261329E-10,8.116712048521712E-11,0.03380716006894518,1.6878208238616526E-5,2.326172286168709E-5,1.3761530020580552E-16,0.9661526998096839,184,1013,"Proenza Schouler White Label","BI COLOR DRESS ",435.0,5,"white",,"96% polyester, 4% elastane","100% polyester",,,,,,"Round neckline",,"Inseam pockets","Calf length","Sleeveless","Sleeveless","41.5 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 8""  tall and is wearing size 10","13.5 "" (Size 10)","No","yes","No","No","No","trendy"
"alternative",0.9898573985220435,0.0016760027137376174,0.007842048593632531,1.9396456908074074E-6,6.220877024183466E-4,2.018284455284093E-14,5.228224571668864E-7,185,1015,"Esprit","Day dress",36.99,1,"white multi-coloured",,"100% viscose",,"Do not tumble dry",,,,,"V-neck","Floral",,"Calf length","Short","Short",,"Slim Fit","Slim fit",,,"No","No","No","No","No","alternative"
"classic",2.176252605371786E-4,0.0015372196798435522,0.995557988839008,2.2464871737011827E-5,5.556163162273205E-6,0.0017389378667291904,9.20207318982812E-4,186,1016,"Massimo Dutti","MIT SEITLICHEN ZIERFALTEN ",79.95,2,"grey",,"57% viscose, 43% polyamide","57% viscose, 43% polyamide",,,,,,"Low v-neck","Plain","Slip","Calf length","Short","Short",,"Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"classic",1.1229619485680752E-12,1.1136772050722225E-8,0.9999992761698114,6.993411192376545E-7,1.076613579938117E-8,1.5777425556272152E-9,1.007295966546293E-9,187,1017,"Ralph Lauren","BELTED PONTE DRESS ",159.99,4,"navy","Jersey","94% cotton, 6% elastane","95% polyester, 5% elastane","Machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip","Accentuating the waist","Round neckline","Plain","Belt included, bust darts, slip","Knee length","Extra short","Short",,"Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"classic",2.2778568748765973E-5,1.2400030296335636E-5,0.6737545331581778,0.0744544255725474,0.1582849649348853,6.890323811027586E-8,0.09347082883210642,188,1018,"Hugo Boss","ESENNI ",199.99,4,"black","Mesh","90% polyester, 10% elastane","100% modal","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Round neckline","Plain","Slip, sequins","Short","Elbow length","Elbow length","35.0 "" (Size S)","Regular Fit","Regular fit",,,"No","No","yes","No","No","unknown"
"girly",0.03329422448626938,0.010324922536488645,8.576648755597109E-7,6.59542384996521E-6,0.8056863601576848,2.4570410719680443E-6,0.15068458268975973,189,1019,"Superdry","Cocktail dress / Party dress",59.99,2,"off-white",,"100% cotton",,,,,,,"Spaghetti straps",,,"Short","Spaghetti straps","Spaghetti straps",,,,,,"No","No","No","No","No","girly"
"alternative",0.9767624719347111,4.0556127816075656E-4,0.02163961224687925,0.0011290348159157043,4.4735695147595056E-5,1.4575339812250457E-5,4.008689373535562E-6,190,1020,"Esprit","RELAXED FIT ",59.0,2,"brown",,"53% viscose, 47% polyamide",,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Plain","Elasticated waist","Knee length","Short","Short",,"Slim Fit","Slim fit",,,"No","No","No","No","No","alternative"
"trendy",0.0032994758834279034,0.01009840742551951,7.317319799848486E-5,0.08347296700883154,0.08377773418429336,2.0313572096914646E-10,0.8192782420967935,191,1021,"Abercrombie & Fitch","CORSET SEAMED ",59.99,2,"black",,"100% polyester","100% polyester","Machine wash at 30Â°C",,,"Zip",,"Square neckline","Plain","Slip","Short","21.0 "" (Size S)","Long","31.5 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","Yes","edgy"
"casual chic",0.012144948570550363,0.42289893886420077,0.2524238707077676,0.004763202752083949,0.012905643546608767,8.313727764349849E-9,0.2948633872450607,192,1022,"Mango","Day dress",69.99,2,"black/white",,"100% viscose","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,,,"Low v-neck","Floral","Bow","Thigh length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","girly"
"casual chic",0.19828613641023707,0.8013976342957305,7.577000748766419E-5,2.272287370595523E-4,6.4231769854413E-6,3.5774679852455354E-7,6.449625701173849E-6,193,1023,"Superdry","Day dress",39.99,1,"black",,"100% viscose",,,,,"Drawstring fastening",,"Low v-neck","Polka dot",,"Short","Short","Short",,"Loose Fit","Loose fit",,,"No","No","No","No","No","casual chic"
"alternative",0.5143467417514906,0.46463890458436424,4.974479815845098E-4,3.2599290631109956E-6,0.020513536370638897,2.2886378601163572E-10,1.0915399486212172E-7,194,1024,"Only","ONLMARCELA WRAP DRESS ",29.74,1,"black","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Striped","Slip, bow","Short","24.0 "" (Size S)","Long","35.0 "" (Size S)","Regular Fit","Regular fit",,"14.0 "" (Size S)","No","No","No","No","No","edgy"
"girly",2.7169984869772704E-6,4.994538182872092E-6,7.487247311836417E-5,1.4130419785804957E-9,0.9995141415443483,1.6146150680690293E-15,4.0327303281997314E-4,195,1026,"Yas","YASKAT LONG DRESS ",104.99,3,"white","Lace","48% cotton, 32% nylon, 20% viscose","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,"Button",,"Round neckline","Plain","Bust darts","Calf length","Short","Short","45.5 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","Yes","girly"
"classic",5.266170620303257E-13,1.4444895079017794E-11,0.997315131063155,0.0013272054349714266,1.8859643907930442E-6,5.3887598194571246E-17,0.0013557775225114142,196,1027,"Theory","TWIST MIDI SOFT  ",350.0,5,"black","Satin","86% acetate, 14% polyester",,"Dry clean only","Turn-down collar",,"Zip","Button down dresses","Low v-neck","Plain",,"Calf length","20.0 "" (Size 10)","Long","49.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)","No","No","No","No","No","classic"
"casual chic",2.0748658569796165E-5,0.7085282245248241,0.11825788243323072,0.14045915286761887,0.03257974908882821,2.8050006628319576E-10,1.5424214642833443E-4,197,1028,"Object","BAYA FANIA  ",39.99,1,"army green",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck","Polka dot",,"Maxi/long","25.0 "" (Size 8)","Long","38.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)","No","No","No","No","No","girly"
"classic",3.203960584497036E-4,1.0471022065843647E-6,0.9996468640896382,4.7657916187725026E-6,5.2985979680140756E-9,9.444738234373639E-7,2.5977185665155456E-5,198,1029,"Massimo Dutti","Day dress",99.95,3,"pink",,"100% cupro","100% cupro",,"Turn-down collar",,,"Button down dresses",,"Plain","Elasticated waist","Calf length","3/4 length","Elbow length",,"Loose Fit","Loose fit",,,"No","No","No","No","No","classic"
