cv_predicted,IndexID,Style,Link,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
girly,154,girly,https://www.zalando.co.uk/mango-day-dress-blauw-m9121c5jr-k11.html,Mango,"TOPACIO ",49.99,2,pastel blue,,100% polyester,100% polyester,,,,,Wrap dresses,Low v-neck,Polka dot,Belt included,Calf length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
edgy,155,casual chic,https://www.zalando.co.uk/vila-vimemis-shirt-dress-day-dress-green-v1021c2yj-m11.html,Vila,"VIMEMIS SHIRT DRESS ",43.99,2,green,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Floral,"Belt included, bust darts",Calf length,"25.0 "" (Size 8)",Long,"50.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
edgy,156,edgy,https://www.zalando.co.uk/cras-lili-dress-cocktail-dress-party-dress-purple-queen-crg21c01d-q12.html,Cras,"LILI DRESS ",159.99,4,black multi-coloured,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,,Round neckline,Floral,Bust darts,Knee length,Elbow length,Elbow length,,Loose Fit,Loose fit,,,No,No,No,No,No
trendy,157,trendy,https://www.zalando.co.uk/jarlo-emma-occasion-wear-green-j3121c080-m11.html,Jarlo,"EMMA ",159.99,4,gold,,100% polyester,"98% polyester, 2% elastane","Do not tumble dry, Do not wash",,,Zip,,Spaghetti straps,Plain,Slip,Maxi/long,Spaghetti straps,Spaghetti straps,"53.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes
classic,158,classic,https://www.zalando.co.uk/alexa-chung-chaucer-tunic-dress-day-dress-ivorynavy-a2b21c007-a11.html,Alexa Chung,"CHAUCER TUNIC DRESS ",295.0,5,blue,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,,,,Round neckline,Striped,,Knee length,"23.0 "" (Size 8)",Long,"37.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","16.0 "" (Size 8)",No,No,No,No,No
classic,159,classic,https://www.zalando.co.uk/ivy-and-oak-cocktail-dress--party-dress-black-iv321c04e-q11.html,IVY & OAK,Cocktail dress / Party dress,164.99,4,black,,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane",,,,Button,Accentuating the waist,Round neckline,Plain,"Zip fastening, slip",Calf length,3/4 length,Elbow length,,Fitted waist,Slim fit,,,No,No,No,No,Yes
alternative,160,alternative,https://www.zalando.co.uk/capsule-by-simply-be-tie-waist-midi-dress-day-dress-multi-coloured-cas21c03h-t11.html,CAPSULE by Simply Be,"TIE WAIST MIDI DRESS ",30.59,1,multi-coloured,,100% viscose,,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Prints in general,Bow,Calf length,"19.5 "" (Size 16)",Long,"49.5 "" (Size 16)",Regular Fit,Regular fit,,"16.0 "" (Size 16)",No,No,No,No,No
trendy,161,edgy,https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-blacksilver-d0t21c00w-q11.html,David Koma,Cocktail dress / Party dress,,5,black,,"52% acetate, 45% viscose, 3% elastane","96% acetate, 4% lyocell",Dry cleaning,,,Zip,,Low v-neck,,"Slip, rhinestones",Extra short,Spaghetti straps,Spaghetti straps,"30.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,yes,No,No
classic,162,classic,https://www.zalando.co.uk/esprit-dresses-day-dress-red-es121c220-g11.html,Esprit,"DRESSES ",55.0,2,red,PiquÃ©,"60% viscose, 40% polyamide",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Low v-neck,Plain,"Belt included, inseam pockets",Short,Short,Short,"38.5 "" (Size 8)",Regular Fit,Regular fit,,"19.5 "" (Size 8)",No,yes,No,No,No
classic,163,edgy,https://www.zalando.co.uk/designers-remix-valerie-puff-sleeve-dress-day-dress-black-dea21c04p-q11.html,DESIGNERS REMIX,"VALERIE PUFF SLEEVE DRESS ",149.99,4,black,Satin,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Hook fasteningÂ ,,Round neckline,Plain,Bust darts,Calf length,"18.0 "" (Size 8)",Elbow length,"48.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No
alternative,164,girly,https://www.zalando.co.uk/vila-vimilina-flower-maxi-dress-maxi-dress-green-milieuredpink-v1021c2h4-m11.html,Vila,"VIMILINA FLOWER DRESS ",54.99,2,green,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Floral,"Slip, Crochet Detailing",Maxi/long,Sleeveless,Sleeveless,"56.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","10.0 "" (Size 8)",No,No,No,No,No
sporty,165,sporty,https://www.zalando.co.uk/noisy-may-petite-nmhelene-dress-day-dress-black-nm521c02u-q11.html,Noisy May,"NMHELENE DRESS ",30.99,1,black,Sweat,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Plain,Zip fastening,Calf length,Long,Long,,Loose Fit,Loose fit,"Our model is 5' 5""  tall and is wearing size 10",,No,No,No,No,No
girly,166,trendy,https://www.zalando.co.uk/vivetta-baby-doll-dress-day-dress-avorio-viq21c01z-a11.html,Vivetta,"BABY DOLL DRESS ",415.0,5,white,Chiffon,"78% acetate, 22% viscose","65% polyester, 35% cotton",Dry clean only,Volant/frill collar,,Zip,,,Plain,"Border, bust darts, embroidery, slip",Short,Spaghetti straps,Spaghetti straps,"36.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
alternative,167,alternative,https://www.zalando.co.uk/lascana-midikleid-day-dress-braun-apricot-l8321c00q-t11.html,LASCANA,"MIDIKLEID ",54.99,2,brown,Jersey,100% viscose,,,,,,,Spaghetti straps,Floral,Bow,Calf length,Sleeveless,Sleeveless,"50.0 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,Yes
alternative,168,alternative,https://www.zalando.co.uk/in-the-style-jac-jossa-smock-dress-day-dress-sage-i0421c00x-m11.html,IN THE STYLE,"JAC JOSSA SMOCK DRESS ",69.99,2,pastel green,Cord,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,Bust darts,Short,Elbow length,Elbow length,"32.5 "" (Size 8)",Loose Fit,Loose fit,,"15.5 "" (Size 8)",No,No,No,No,No
alternative,169,alternative,https://www.zalando.co.uk/superdry-day-dress-black-su221c0nx-q11.html,Superdry,Day dress,31.49,1,black,,100% lyocell,,"Do not bleach, do not tumble dry",,,Button,,Round neckline,,Embroidery,Knee length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,No
sporty,170,sporty,https://www.zalando.co.uk/polo-ralph-lauren-basic-day-dress-newport-navy-po221c06e-k12.html,Polo Ralph Lauren,"COTTON MESH POLO DRESS ",139.99,4,navy,PiquÃ©,100% cotton,,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,,Polo dresses,,Plain,,Short,Short,Short,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S",,No,No,No,No,No
classic,171,trendy,https://www.zalando.co.uk/by-malene-birger-flannasan-day-dress-black-by121c099-q11.html,Marlene Birger,"FLANNASAN ",239.99,5,black,,100% cotton,,"Machine wash at 40Â°C, do not tumble dry",,,Button,,Round neckline,Plain,,Knee length,"26.5 "" (Size 8)",Long,"38.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
classic,172,classic,https://www.zalando.co.uk/maxandco-daniela-day-dress-black-mq921c0bm-q11.html,MAX&Co.,"DANIELA ",154.99,4,black,Sweat,"86% cotton, 11% polyamide, 3% elastane",,Hand wash only,,,Laces,,Round neckline,Plain,,Short,"22.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,,,No,No,No,No,No
sporty,173,sporty,https://www.zalando.co.uk/tommy-hilfiger-slim-polo-dress-day-dress-to121c0a2-q11.html,Tommy Hilfiger,"SLIM DRESS ",89.99,3,black,PiquÃ©,"96% cotton, 4% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,,Polo dresses,,Plain,,Short,Short,Short,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
sporty,174,sporty,https://www.zalando.co.uk/drykorn-kelenia-day-dress-ecru-dr221c05h-b11.html,DRYKORN,"KELENIA ",179.99,4,off-white,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,,Knee length,"26.0 "" (Size S)",Long,"37.5 "" (Size S)",Loose Fit,Loose fit,,,No,No,No,No,No
girly,175,girly,https://www.zalando.co.uk/ivy-and-oak-bridal-ferula-occasion-wear-snow-white-iv521c02b-a11.html,"IVY & OAK ","FERULA ",949.99,5,white,Lace,"60% polyamide, 40% viscose",100% viscose,Dry clean only,,,Zip,,Low v-neck,Plain,"Button row, bust darts, adjustable straps, slip",Maxi/long,Long,Long,,Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,Yes
casual chic,176,casual chic,https://www.zalando.co.uk/bytimo-georgette-shift-dress-day-dress-cassia-byh21c01v-t11.html,byTiMo,"GEORGETTE SHIFT DRESS ",264.99,5,black,Chiffon,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Button,,,Floral,"Adjustable straps, slip",Short,"26.5 "" (Size S)",Long,"37.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No
classic,177,classic,https://www.zalando.co.uk/vero-moda-dress-day-dress-black-ve121c3ax-q11.html,Vero Moda,"DRESS ",32.99,1,black,,"80% viscose, 20% polyester",,"Do not tumble dry, machine wash at 30Â°C",Turn-down collar,,Button,Button down dresses,,Plain,,Knee length,Long,Long,"36.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
trendy,178,trendy,https://www.zalando.co.uk/calvin-klein-open-neck-short-dress-day-dress-bright-white-6ca21c05c-a11.html,Calvin Klein,"OPEN NECK SHORT DRESS ",135.99,4,white,,"51% linen, 47% lyocell, 2% elastane",100% cotton,"Machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,,Button down dresses,Low v-neck,Plain,"Inseam pockets, slip",Short,Elbow length,Elbow length,"35.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","15.0 "" (Size 10)",Yes,yes,No,No,No
trendy,179,girly,https://www.zalando.co.uk/needle-and-thread-annie-tiered-mini-dress-cocktail-dress-party-dress-champagne-nt521c0fn-a11.html,Needle & Thread,"ANNIE TIERED MINI DRESS ",449.99,5,off-white,Tulle,100% polyester,100% polyester,Dry cleanable,,,Button,Accentuating the waist,Round neckline,Plain,"Belt included, slip, sequins",Short,"23.5 "" (Size 8)",Long,"37.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,yes,No,No
girly,180,girly,https://www.zalando.co.uk/jarlo-dream-cocktail-dress-party-dress-pink-j3121c07w-j11.html,Jarlo,"DREAM ",179.99,4,pastel pink,Lace,100% polyester,"98% polyester, 2% elastane","Do not tumble dry, Do not wash",,,Zip,,Spaghetti straps,,"Padded bust, slip, wired bustier",Calf length,Sleeveless,Sleeveless,"44.5 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,Yes
classic,181,classic,https://www.zalando.co.uk/banana-republic-vneck-dress-day-dress-black-bj721c0gx-q11.html,Banana Republic,"VNECK DRESS ",90.99,3,black,Rib,"50% viscose, 27% polyester, 23% nylon",,"Do not tumble dry, machine wash at 30Â°C",,,,,Low v-neck,Plain,,Calf length,"26.5 "" (Size S)",Long,"47.0 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,No
alternative,182,alternative,https://www.zalando.co.uk/saint-tropez-loveensz-dress-day-dress-campanula-poppy-s2821c0ei-t11.html,Saint Tropez,"LOVEENSZ DRESS ",59.99,2,multi-coloured,,100% viscose,,,,,,Accentuating the waist,Low v-neck,Floral,Belt included,Knee length,Elbow length,Elbow length,,Regular Fit,Regular fit,,,No,No,No,No,No
trendy,183,trendy,https://www.zalando.co.uk/liu-jo-abito-balza-day-dress-blossom-pink-li621c06y-j11.html,LIU JO,"ABITO BALZA ",239.99,5,pink,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,"Belt included, elasticated waist, slip",Knee length,Elbow length,Elbow length,"36.0 "" (Size 10)",Regular Fit,Regular fit,,"14.0 "" (Size 10)",No,No,No,No,No
trendy,184,casual chic,https://www.zalando.co.uk/vila-petite-vidotties-midi-dress-day-dress-humusred-vip21c03v-a11.html,Vila,"VIDOTTIES MIDI DRESS ",34.99,1,red,,100% polyester,100% polyester,Machine wash at 30Â°C,,,Button,Accentuating the waist,Round neckline,Floral,Belt included,Calf length,"21.5 "" (Size 8)",Long,"45.5 "" (Size 8)",Regular Fit,Regular fit,,"15.0 "" (Size 8)",No,No,No,No,No
classic,185,classic,https://www.zalando.co.uk/marc-cain-day-dress-redlight-m4r21c07s-g11.html,Marc Cain,Day dress,264.99,5,red,"Rib, satin","94% cotton, 6% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,,Polo dresses,,Plain,Inseam pockets,Calf length,Elbow length,Elbow length,"49.0 "" (Size 8)",Regular Fit,Regular fit,,,No,yes,No,No,No
classic,186,girly,https://www.zalando.co.uk/jdy-jdysoro-wrap-dress-day-dress-cloud-dancerblack-jy121c0l3-a11.html,JDY,"JDYSORO DRESS ",25.99,1,black/white,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,Belt included,Short,"23.5 "" (Size 8)",Long,"30.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No
edgy,187,edgy,https://www.zalando.co.uk/desigual-vest-katy-day-dress-multi-coloured-de121c0zl-t11.html,Desigual,"VEST KATY ",94.99,3,black multi-coloured,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Volant/frill collar,,,Bodycon dresses,,Floral,,Calf length,"25.0 "" (Size M)",Long,"47.0 "" (Size M)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size M",,No,No,No,No,No
girly,188,girly,https://www.zalando.co.uk/selected-femme-slfcollins-short-dress-day-dress-birch-se521c14n-t11.html,Selected Femme,"SLFCOLLINS SHORT DRESS ",54.99,2,pastel pink,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",Peter pan collar,,Button,Accentuating the waist,,Floral,"Belt included, bust darts",Knee length,"25.0 "" (Size 8)",Long,"38.0 "" (Size 8)",Regular Fit,Regular fit,,"15.0 "" (Size 8)",No,No,No,No,No
girly,189,girly,https://www.zalando.co.uk/mascara-occasion-wear-petrol-m0921c0do-p11.html,Mascara,Occasion wear,169.99,4,blue,"Lace, chiffon",100% polyester,100% polyester,Dry clean only,,,Zip,,Round neckline,Plain,"Padded bust, slip, sequins, rhinestones",Maxi/long,Short,Short,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,yes,No,No
classic,190,classic,https://www.zalando.co.uk/anna-field-boat-neck-print-dress-with-solid-skirt-day-dress-dark-blue-an621c1kc-k11.html,Anna Field,"BOAT NECK PRINT DRESS WITH SOLID SKIRT ",24.99,1,Navy,Jersey,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Boat neckline (wide),Floral,,Calf length,Elbow length,Elbow length,"35.5 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,No
edgy,191,edgy,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-with-belt-cocktail-dress-party-dress-nero-ef121c0bi-q11.html,Elisabetta Franchi,"WOMEN'S DRESS WITH BELT ",514.99,5,black,Leather,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, Hand wash only",Lapel collar,,Zip,Accentuating the waist,Low v-neck,Plain,"Belt included, zip fastening, slip",Short,Short,Short,"36.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",No,No,No,No,No
sporty,192,sporty,https://www.zalando.co.uk/noisy-may-nmkaylee-dress-day-dress-beige-nm321c0m3-b11.html,Noisy May,"NMKAYLEE DRESS ",30.99,1,sand,Sweat,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Zip neck,,,,,Plain,,Short,"21.5 "" (Size 10)",Long,"36.0 "" (Size 10)",Loose Fit,Loose fit,,,No,No,No,No,No
sporty,193,sporty,https://www.zalando.co.uk/ellesse-honey-tie-dye-dress-day-dress-greenwhite-el921c01v-m11.html,Ellesse,"HONEY TIE DYE DRESS ",54.99,2,green/white,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Prints in general,"Elasticated waist, embroidery",Short,"28.5 "" (Size 10)",Long,"32.5 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 10",,No,Yes,No,No,No
trendy,194,trendy,https://www.zalando.co.uk/versace-jeans-couture-garland-cocktail-dress-party-dress-black-vei21c040-q11.html,Versace Jeans Couture,"GARLAND ",219.99,5,black/gold,Tulle,100% polyester,100% polyamide,"Hand wash only, Dry cleanable",,,,Bodycon dresses,Round neckline,Prints in general,Slip,Calf length,"25.5 "" (Size 10)",Long,"44.5 "" (Size 10)",Bodycon,Slim fit,,,No,No,No,No,No
trendy,195,trendy,https://www.zalando.co.uk/naf-naf-kurban-day-dress-urban-turquoise-na521c171-t11.html,NAF NAF,"KURBAN ",89.99,3,multi-coloured,,"99% polyester, 1% elastane",100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Prints in general,,Calf length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,No
alternative,196,alternative,https://www.zalando.co.uk/part-two-shirt-dress-night-sky-p2121c0bo-k11.html,Part Two,Day dress,109.99,3,black,,100% linen,,,,,,,V-neck,,,Knee length,3/4 length,Elbow length,,Loose Fit,Loose fit,,,No,No,No,No,No
edgy,197,girly,https://www.zalando.co.uk/in-the-style-stacey-solomon-day-dress-sage-i0421c01q-m11.html,IN THE STYLE,"STACEY SOLOMON ",36.99,1,green,,100% polyester,,Machine wash on gentle cycle,,,Zip,,Low v-neck,Floral,Bow,Short,"25.0 "" (Size 14)",Long,"35.0 "" (Size 14)",Loose Fit,Loose fit,,"15.5 "" (Size 14)",No,No,No,No,No
trendy,198,trendy,https://www.zalando.co.uk/by-malene-birger-rousalile-day-dress-black-by121c098-q11.html,Marlene Birger,"ROUSALILE ",199.99,4,black/white,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,,,Low v-neck,Animal Prints in general,,Knee length,"27.0 "" (Size 8)",Long,"40.0 "" (Size 8)",Regular Fit,Regular fit,,"15.0 "" (Size 8)",No,No,No,No,No
sporty,199,sporty,https://www.zalando.co.uk/tommy-hilfiger-textured-shift-dress-day-dress-fireworks-to121c0ks-g11.html,Tommy Hilfiger,"TEXTURED SHIFT DRESS ",119.99,3,red,PiquÃ©,"70% cotton, 26% polyamide, 4% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Round neckline,Plain,Belt included,Short,Short,Short,"37.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No
edgy,200,edgy,https://www.zalando.co.uk/envii-day-dress-black-ei421c07a-q11.html,Envii,"ENCORK DRESS  ",69.99,2,black,,"58% cotton, 19% viscose, 13% polyester, 10% polyamide",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Zip,,,Plain,,Short,"27.0 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",Yes,No,No,No,No
classic,201,edgy,https://www.zalando.co.uk/esprit-dresses-light-day-dress-light-khaki-es121c222-n11.html,Esprit,"DRESSES LIGHT ",43.99,2,army green,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,,Button down dresses,Low v-neck,Plain,,Knee length,"18.0 "" (Size 10)",Elbow length,"37.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No
trendy,202,girly,https://www.zalando.co.uk/vila-vilana-midi-dress-day-dress-navy-blazer-v1021c2ba-k11.html,Vila,"VILANA MIDI DRESS ",22.74,1,navy,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Bow/shawl collar,,,,V-neck,Floral,Bow,Calf length,"24.0 "" (Size 8)",Long,"47.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
sporty,203,sporty,https://www.zalando.co.uk/noisy-may-helene-day-dress-lavender-blue-nm321c0hx-i11.html,Noisy May,"NMHELENE DRESS ",30.99,1,white,Sweat,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,Zip fastening,Calf length,"25.0 "" (Size 10)",Long,"43.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10",,No,No,No,No,No
edgy,204,classic,https://www.zalando.co.uk/anna-field-quarter-sleeves-elevated-casual-midi-dress-day-dress-blackgreen-an621c1pc-q11.html,Anna Field,"Quarter sleeves elevated casual midi dress ",23.99,1,green,Jersey,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Boat neckline (wide),Floral,,Calf length,"17.5 "" (Size S)",Elbow length,"46.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S","17.5 "" (Size S)",No,No,No,No,No
trendy,205,trendy,https://www.zalando.co.uk/missguided-petite-cross-back-midaxi-dress-cocktail-dress-party-dress-burgundy-m0v21c0nx-g11.html,Missguided,"CROSS BACK MIDAXI DRESS  ",26.99,1,burgundy,Satin,100% polyester,,Machine wash at 30Â°C,,,Zip,,Cowl neckline,Plain,Bow,Knee length,Spaghetti straps,Spaghetti straps,"30.5 "" (Size 8)",Slim Fit,Slim fit,,"17.5 "" (Size 8)",No,No,No,No,Yes
edgy,206,edgy,https://www.zalando.co.uk/esprit-collection-day-dress-dark-blue-es421c1li-k11.html,Esprit,"MIT PRINT ",69.0,2,blue,,"98% polyester, 2% metal",,"Do not tumble dry, machine wash at 30Â°C, Do not bleach",,,Button,,Round neckline,Animal Prints in general,,Thigh length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
edgy,207,edgy,https://www.zalando.co.uk/esprit-collection-regular-fit-day-dress-bordeaux-red-es421c1kq-g11.html,Esprit,"REGULAR FIT ",79.99,2,burgundy,,100% polyester,100% polyester,"Do not bleach, do not tumble dry, Dry cleanable, machine wash at 40Â°C",,,,,V-neck,Prints in general,,Short,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
girly,208,girly,https://www.zalando.co.uk/only-onlolivia-wrap-dress-noos-day-dress-greenblack-on321c1rr-m11.html,Only,"ONLOLIVIA DRESS ",25.99,1,pastel green,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Polka dot,Bust darts,Short,Short,Short,"40.0 "" (Size 8)",,,,"16.0 "" (Size 8)",No,No,No,No,No
edgy,209,edgy,https://www.zalando.co.uk/evenandodd-curvy-skater-dress-day-dress-multi-coloured-evb21c02s-t11.html,Even&Odd,"SKATER DRESS ",24.99,1,electric blue,Jersey,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Animal Prints in general,,Short,"19.5 "" (Size 18)",Long,"34.0 "" (Size 18)",Regular Fit,Regular fit,,,No,No,No,No,No
edgy,210,edgy,https://www.zalando.co.uk/fabienne-chapot-charlie-dress-day-dress-brownblack-fah21c03b-o11.html,Fabienne Chapot,"CHARLIE DRESS ",149.99,4,black/brown,,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Animal Prints in general,Slip,Calf length,Elbow length,Elbow length,"48.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No
girly,211,girly,https://www.zalando.co.uk/forever-new-carolina-flutter-sleeve-midi-dress-cocktail-dress-party-dress-nude-fod21c0fw-j11.html,Forever New,"CAROLINA FLUTTER SLEEVE MIDI DRESS ",109.99,3,pastel pink,,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,Zip,Wrap dresses,Low v-neck,Plain,Belt included,Calf length,Short,Short,"51.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","12.5 "" (Size 10)",No,No,No,No,No
sporty,212,sporty,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-hydrangea-blue-to121c0fz-k13.html,Tommy Hilfiger,"REGULAR HILFIGER HOODIE DRESS ",118.99,3,electric blue,Sweat,"70% cotton, 30% polyester",,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,Embroidery,Knee length,"24.0 "" (Size S)",Long,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,Yes,No,No,No
trendy,213,trendy,https://www.zalando.co.uk/jarlo-occasion-wear-black-j3121c07u-q11.html,Jarlo,Occasion wear,174.99,4,black,,"97% polyester, 3% elastane","98% polyester, 2% elastane","Do not tumble dry, Do not wash",,,Zip,,strapless,Plain,"Padded bust, slip, wired bustier",Maxi/long,Strapless,Strapless,"53.0 "" (Size 8)",Slim Fit,Slim fit,,"14.0 "" (Size 8)",No,No,No,No,No
