,Unnamed: 0,Brand,Dress name ,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,cv_predicted
154,980,Marc'o polo,"DRESS, LONGSLEEVE, HOODED, WOVEN SKIRT ",154.99,4,black,Sweat,100% cotton,100% cotton,,Hood,,,Hooded dresses,,Plain,"Elasticated waist, slip",Calf length,"23.5 "" (Size S)",Long,"48.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No,classic
155,981,Cream,DAISYCR FLOUNCE DRESS ,89.99,3,pastel green,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Prints in general,Bust darts,Calf length,"18.5 "" (Size 10)",Elbow length,"47.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","19.5 "" (Size 10)",No,No,No,No,No,girly
156,982,Morgan,RJOSIE ,59.99,2,black,,"87% polyester, 13% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Wrap dresses,Low v-neck,Plain,,Short,Sleeveless,Sleeveless,"35.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,No,edgy
157,983,Calvin Klein,HOODIE DRESS ,84.49,3,pastel blue,Sweat,"64% cotton, 36% polyester",,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,,Short,"24.0 "" (Size S)",Long,"35.5 "" (Size S)",Loose Fit,Loose fit,,,No,No,No,No,No,sporty
158,984,Never Fully Dressed,FLORAL LEOPARD MIDI DRESS ,104.99,3,orange,Chiffon,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Round neckline,Floral,,Calf length,Long,Long,,Loose Fit,Loose fit,,,Yes,No,No,No,No,alternative
159,985,Vila,VIDEVIKA  ,23.99,1,grey,Sweat,"70% polyester, 30% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,Plain,,Knee length,"25.0 "" (Size S)",Long,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No,sporty
160,986,Minimum,FELANI ,84.99,3,pink,,100% cotton,,"Machine wash at 40Â°C, do not tumble dry",,,,,Low v-neck,Plain,Bust darts,Calf length,3/4 length,Elbow length,,Loose Fit,Loose fit,,,No,No,No,No,No,girly
161,987,Vero Moda,VMYARA  ,26.34,1,pastel pink,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,,Button,,Round neckline,Floral,Slip,Short,"25.0 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,,"14.5 "" (Size S)",Yes,No,No,No,No,girly
162,988,Swing,EVENING DRESS ,159.99,4,pastel pink,Chiffon,100% polyester,100% polyester,,,,Zip,,Spaghetti straps,Plain,"Padded bust, slip, sequins, rhinestones",Maxi/long,Spaghetti straps,Spaghetti straps,"63.0 "" (Size 10)",Slim Fit,Slim fit,,,No,No,yes,No,Yes,girly
163,989,IVY & OAK,Cocktail dress / Party dress,284.99,5,white,Lace,"75% cotton, 25% nylon","65% cotton, 32% polyamide, 3% elastane",,,,Button,,V-neck,Plain,Slip,Calf length,"20.0 "" (Size 8)",Long,"53.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,Yes,girly
164,990,Only,ONLNOVA LUX THEA DRESS ,30.99,1,black,,"97% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,Round neckline,Floral,,Short,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,,"14.0 "" (Size S)",No,No,No,No,No,classic
165,991,Bruuns Bazaar,EMILLEH BEAVER DRESS ,149.99,4,black,Satin,100% polyester,,,Standing collar,,Laces,,,Plain,,Knee length,"26.0 "" (Size 8)",Long,"37.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No,edgy
166,993,Banana Republic,ETHEREAL ROMANTIC CUTAWAY RUFFLE ,129.99,4,black,Chiffon,100% viscose,100% viscose,Dry clean only,Standing collar,,,Accentuating the waist,Low v-neck,Plain,"Belt included, adjustable straps, slip",Calf length,Extra short,Short,"52.5 "" (Size S)",Regular Fit,Regular fit,,"15.0 "" (Size S)",No,No,No,No,No,alternative
167,995,Only,ONLCARLY  ,30.99,1,grey,,"97% polyester, 3% elastane",,"Do not tumble dry, machine wash at 30Â°C, Do not iron, Do not bleach",,,,Wrap dresses,Low v-neck,Floral,Bust darts,Short,"22.5 "" (Size 8)",Long,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,casual chic
168,996,Only,ONLVIOLA LAYERE DRESS  ,26.34,1,green,,100% polyester,100% polyester,Machine wash at 30Â°C,,,Button,,Round neckline,Floral,Slip,Short,"17.5 "" (Size 10)",Elbow length,"36.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","18.0 "" (Size 10)",No,No,No,No,No,edgy
169,997,David Koma,Cocktail dress / Party dress,415.0,5,purple,Rib,"75% viscose, 23% nylon, 2% elastane",,Dry clean only,,Asymmetrical,,Bodycon dresses,strapless,Plain,,Calf length,One shoulder,One shoulder,"47.0 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 10",,No,No,No,No,No,trendy
170,998,Superdry,STUDIOS  ,30.0,1,black,,100% viscose,,"Do not bleach, do not tumble dry",,,,,Boat neckline (wide),Plain,,Knee length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,Yes,alternative
171,999,Pieces,PCANG SQUARE NECK DRESS ,17.99,1,black,Jersey,"95% cotton, 5% elastane",,"Machine wash at 40Â°C, do not tumble dry",,,,,Spaghetti straps,Plain,,Short,Spaghetti straps,Spaghetti straps,"37.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,Yes,trendy
172,1000,Superdry,Day dress,54.99,2,multi-coloured,,100% viscose,,"Do not bleach, do not tumble dry",Standing collar,,,,,Paisley,,Extra short,Long,Long,,Loose Fit,Loose fit,,,No,No,No,No,No,edgy
173,1001,Esprit,DRESS SOLI ,69.99,2,navy,Jersey,"67% viscose, 28% polyamide, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Low v-neck,Plain,,Calf length,Short,Short,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,classic
174,1002,DRYKORN,CASIMIRA ,169.99,4,pastel blue,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,,Calf length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
175,1003,Closet,CLOSET LONDON HIGH NECK DRESS ,114.99,3,purple,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,Zip,,,Polka dot,Inseam pockets,Calf length,"24.0 "" (Size 10)",Long,"49.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",No,yes,No,No,No,trendy
176,1004,Gina Tricot,EXCLUSIVE MERIDIANDRESS ,29.74,1,black,Chiffon,100% polyester,100% polyester,,,Asymmetrical,Zip,,strapless,Plain,"Elasticated waist, slip",Extra short,One shoulder,One shoulder,"28.0 "" (Size 8)",Regular Fit,Regular fit,,"10.5 "" (Size 8)",No,No,No,No,No,trendy
177,1005,Only,ONLCORDELIA WRAP DRESS ,30.99,1,black multi-coloured,Chiffon,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Paisley,,Short,"23.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","13.5 "" (Size S)",No,No,No,No,No,casual chic
178,1006,Hugo Boss,EMAURA ,219.99,5,black,Rib,"68% viscose, 32% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Round neckline,Plain,Belt included,Calf length,Extra short,Short,"45.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,No,unknown
179,1007,Vila,VIPLIS O NECK MIDI DRESS ,47.99,2,red,Chiffon,100% polyester,100% polyester,Machine wash at 30Â°C,,,,Accentuating the waist,Round neckline,Plain,"Belt included, bust darts, slip",Calf length,Short,Short,"45.5 "" (Size 18)",Regular Fit,Regular fit,,"15.5 "" (Size 18)",No,No,No,No,No,alternative
180,1008,IVY & OAK,DOROTHY ,249.99,5,pastel purple,,100% lyocell,100% viscose,,,,,,Low v-neck,Plain,Slip,Calf length,3/4 length,Elbow length,,Regular Fit,Regular fit,,,No,No,No,No,No,girly
181,1009,NA-KD,PAMELA REIF x NA,45.99,2,black,Satin,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Spaghetti straps,Plain,"Adjustable straps, slip, bow",Short,Spaghetti straps,Spaghetti straps,"34.5 "" (Size 8)",Regular Fit,Regular fit,,"15.0 "" (Size 8)",No,No,No,No,No,alternative
182,1011,WAL G.,TAZMIN SEQUIN MAXI DRESS ,54.99,2,black,Jersey,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Low v-neck,Plain,"Padded bust, sequins",Maxi/long,Spaghetti straps,Spaghetti straps,"59.5 "" (Size 10)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,yes,No,No,unknown
183,1012,KARL LAGERFELD,WRAP DRESS ,349.99,5,black,,100% silk,100% polyester,,Bow/shawl collar,,Zip,Wrap dresses,Low v-neck,Polka dot,Slip,Short,"23.0 "" (Size 8)",Long,"38.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No,casual chic
184,1013,Proenza Schouler White Label,BI COLOR DRESS ,435.0,5,white,,"96% polyester, 4% elastane",100% polyester,,,,,,Round neckline,,Inseam pockets,Calf length,Sleeveless,Sleeveless,"41.5 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 8""  tall and is wearing size 10","13.5 "" (Size 10)",No,yes,No,No,No,trendy
185,1015,Esprit,Day dress,36.99,1,white multi-coloured,,100% viscose,,Do not tumble dry,,,,,V-neck,Floral,,Calf length,Short,Short,,Slim Fit,Slim fit,,,No,No,No,No,No,alternative
186,1016,Massimo Dutti,MIT SEITLICHEN ZIERFALTEN ,79.95,2,grey,,"57% viscose, 43% polyamide","57% viscose, 43% polyamide",,,,,,Low v-neck,Plain,Slip,Calf length,Short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
187,1017,Ralph Lauren,BELTED PONTE DRESS ,159.99,4,navy,Jersey,"94% cotton, 6% elastane","95% polyester, 5% elastane","Machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Accentuating the waist,Round neckline,Plain,"Belt included, bust darts, slip",Knee length,Extra short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
188,1018,Hugo Boss,ESENNI ,199.99,4,black,Mesh,"90% polyester, 10% elastane",100% modal,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,"Slip, sequins",Short,Elbow length,Elbow length,"35.0 "" (Size S)",Regular Fit,Regular fit,,,No,No,yes,No,No,unknown
189,1019,Superdry,Cocktail dress / Party dress,59.99,2,off-white,,100% cotton,,,,,,,Spaghetti straps,,,Short,Spaghetti straps,Spaghetti straps,,,,,,No,No,No,No,No,girly
190,1020,Esprit,RELAXED FIT ,59.0,2,brown,,"53% viscose, 47% polyamide",,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,Elasticated waist,Knee length,Short,Short,,Slim Fit,Slim fit,,,No,No,No,No,No,alternative
191,1021,Abercrombie & Fitch,CORSET SEAMED ,59.99,2,black,,100% polyester,100% polyester,Machine wash at 30Â°C,,,Zip,,Square neckline,Plain,Slip,Short,"21.0 "" (Size S)",Long,"31.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,Yes,edgy
192,1022,Mango,Day dress,69.99,2,black/white,,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,,,Low v-neck,Floral,Bow,Thigh length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No,girly
193,1023,Superdry,Day dress,39.99,1,black,,100% viscose,,,,,Drawstring fastening,,Low v-neck,Polka dot,,Short,Short,Short,,Loose Fit,Loose fit,,,No,No,No,No,No,casual chic
194,1024,Only,ONLMARCELA WRAP DRESS ,29.74,1,black,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Striped,"Slip, bow",Short,"24.0 "" (Size S)",Long,"35.0 "" (Size S)",Regular Fit,Regular fit,,"14.0 "" (Size S)",No,No,No,No,No,edgy
195,1026,Yas,YASKAT LONG DRESS ,104.99,3,white,Lace,"48% cotton, 32% nylon, 20% viscose",100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,Button,,Round neckline,Plain,Bust darts,Calf length,Short,Short,"45.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,Yes,girly
196,1027,Theory,TWIST MIDI SOFT  ,350.0,5,black,Satin,"86% acetate, 14% polyester",,Dry clean only,Turn-down collar,,Zip,Button down dresses,Low v-neck,Plain,,Calf length,"20.0 "" (Size 10)",Long,"49.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)",No,No,No,No,No,classic
197,1028,Object,BAYA FANIA  ,39.99,1,army green,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Polka dot,,Maxi/long,"25.0 "" (Size 8)",Long,"38.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No,girly
198,1029,Massimo Dutti,Day dress,99.95,3,pink,,100% cupro,100% cupro,,Turn-down collar,,,Button down dresses,,Plain,Elasticated waist,Calf length,3/4 length,Elbow length,,Loose Fit,Loose fit,,,No,No,No,No,No,classic
199,1030,Olivia Rubin,EMMY ,370.0,5,bright multi-coloured,Satin,100% silk,100% polyester,Dry clean only,,,Laces,,Spaghetti straps,Checked,Slip,Calf length,Spaghetti straps,Spaghetti straps,"49.0 "" (Size 8)",Slim Fit,Slim fit,,,No,No,No,No,Yes,casual chic
200,1031,Closet,CLOSET LONDON PUFF SLEEVE DRESS ,114.99,3,pastel purple,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Floral,,Calf length,"24.0 "" (Size 10)",Long,"46.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",No,No,No,No,No,girly
201,1032,By Malina,SANNE DRESS ,259.99,5,off-white,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Round neckline,Plain,"Underskirt, bow",,Elbow length,Elbow length,"44.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","13.0 "" (Size 8)",No,No,No,No,No,girly
202,1033,Never Fully Dressed,SPRITZ SLEEVELESS WRAP ,104.99,3,pink,Satin,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Prints in general,,Calf length,Short,Short,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,trendy
203,1034,Ragwear,LAURA ,54.99,2,burgundy,Sweat,"50% polyester, 50% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,Belt,Polo dresses,,Plain,,Short,"24.0 "" (Size S)",Long,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,sporty
204,1035,Pepe Jeans,LULIS ,69.99,2,pink,,100% polyester,100% polyester,,,,Laces,,Low v-neck,Prints in general,Slip,Short,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No,girly
205,1036,Marella,KARLIE ,164.99,4,white,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Plain,Inseam pockets,Knee length,"19.0 "" (Size 10)",Elbow length,"35.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 10","16.0 "" (Size 10)",Yes,yes,No,No,No,girly
206,1037,Ralph Lauren,ABEL SHORT SLEEVE DAY DRESS ,174.99,4,black multi-coloured,Chiffon,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Wrap dresses,Low v-neck,Floral,"Belt included, bust darts, slip",Calf length,Short,Short,"46.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No,alternative
207,1038,Calvin Klein,INCLUSIVE LOGO HOODIE DRESS ,116.99,3,black,Sweat,"64% cotton, 36% polyester",,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Plain,,Knee length,"24.5 "" (Size 20/22)",Long,"36.0 "" (Size 20/22)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 20/22",,No,No,No,No,No,sporty
208,1039,Superdry,Day dress,44.99,2,army green,,100% lyocell,,,,,,,Round neckline,Plain,,Short,Short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No,edgy
209,1040,MICHAEL Michael Kors,FLORAL MIDI DRESS ,234.99,5,black,Chiffon,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Low v-neck,Floral,"Belt included, slip",Calf length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No,casual chic
210,1041,Mascara,Occasion wear,199.99,4,pastel pink,Tulle,100% polyester,100% polyester,"Do not tumble dry, Do not wash",,,Zip,,Spaghetti straps,Plain,"Padded bust, slip, rhinestones, embroidery",Maxi/long,Spaghetti straps,Spaghetti straps,"59.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,yes,No,Yes,girly
211,1042,Seidensticker,Day dress,129.99,4,navy,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Square neckline,Floral,Inseam pockets,Knee length,"18.0 "" (Size 10)",Elbow length,"40.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10","13.5 "" (Size 10)",No,yes,No,No,No,casual chic
212,1043,Lounge Nine,SABI  DRESS ,41.99,2,off-white,Sweat,"70% cotton, 30% polyester",,,Polo shirt,,,Polo dresses,Round neckline,Plain,,Knee length,"24.0 "" (Size M)",Long,"36.5 "" (Size M)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size M",,No,No,No,No,No,sporty
213,1044,By Malina,AMAIA DRESS ,189.99,4,off-white,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Low v-neck,Floral,Slip,Knee length,"21.5 "" (Size 8)",Long,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",No,No,No,No,No,girly
214,1045,By Malina,IRO DRESS ,259.99,5,pastel purple,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Zip,,,Polka dot,"Bust darts, Crochet Detailing, button row, embroidery, slip",Short,Short,Short,"33.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No,girly
215,1046,Esprit,Day dress,39.99,1,brown,,100% viscose,,"Do not bleach, Do not iron, do not tumble dry, machine wash at 30Â°C",,,Button,,Round neckline,Plain,,Knee length,Long,Long,,Loose Fit,Loose fit,,,No,No,No,No,No,alternative
216,1047,Tommy Hilfiger,OPEN POLO ,127.49,4,black,Knit,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,,Button down dresses,V-neck,Plain,,Knee length,"25.0 "" (Size 18)",Long,"43.0 "" (Size 18)",Slim Fit,Slim fit,,,No,No,No,No,No,unknown
217,1048,Monki,Day dress,31.0,1,pink,,100% polyester,,"Machine wash at 40Â°C, do not tumble dry",,,Laces,,Round neckline,Floral,Elasticated waist,Calf length,Elbow length,Elbow length,"44.5 "" (Size S)",Regular Fit,Regular fit,,,No,No,No,No,Yes,girly
218,1049,Calvin Klein,SEASONAL MONOGRAM HOODIE DRESS ,99.99,3,black,Sweat,100% cotton,,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Prints in general,,Knee length,"22.0 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,,,No,Yes,No,No,No,sporty
219,1050,GAP,HOODIE DRESS ,37.59,1,grey,Sweat,"60% cotton, 40% polyester",,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,,,Hooded dresses,,Plain,Elasticated waist,Short,"22.0 "" (Size S)",Long,"34.0 "" (Size S)",Loose Fit,Loose fit,,,No,No,No,No,No,sporty
220,1051,kate spade new york,EMBELLISHED COLLAR ,284.99,5,black,,"97% viscose, 3% elastane",,Dry clean only,Turn-down collar,,Zip,Button down dresses,,Plain,Rhinestones,Knee length,Elbow length,Elbow length,"33.5 "" (Size 12)",Regular Fit,Regular fit,,"14.5 "" (Size 12)",No,No,yes,No,No,edgy
221,1052,MAX&Co.,AGILE ,204.99,5,black,,100% polyester,,Hand wash only,,,Zip,Wrap dresses,Low v-neck,Animal Prints in general,Inseam pockets,Short,"23.5 "" (Size 8)",Long,"34.0 "" (Size 8)",Regular Fit,Regular fit,,"14.0 "" (Size 8)",No,yes,No,No,No,classic
222,1053,Noisy May,NMKAYLEE DRESS ,30.99,1,black,Sweat,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C, Do not bleach",Zip neck,,Zip,,,Plain,,Knee length,Long,Long,,Loose Fit,Loose fit,,,No,No,No,No,No,sporty
223,1054,NA-KD,TAILORED MINI DRESS ,49.99,2,white,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Zip,Button down dresses,Low v-neck,Plain,,Short,"26.0 "" (Size 8)",Long,"34.0 "" (Size 8)",Regular Fit,Regular fit,,"14.0 "" (Size 8)",No,No,No,No,No,trendy
224,1055,JDY,JDYPARIS  ,20.39,1,off-white,"Jersey, Sweat","60% cotton, 40% polyester",,"Machine wash at 40Â°C, do not tumble dry",,,,,Round neckline,Plain,Embroidery,,"21.5 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,trendy
225,1056,Forever New,ROSA SHIRRED DRESS ,89.99,3,burgundy,Satin,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Round neckline,Plain,"Belt included, slip",Extra short,"25.5 "" (Size 8)",Long,"32.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No,girly
226,1057,Only,ONLDREAMER LIFEHOOD DRESS ,23.99,1,pastel pink,Sweat,"83% cotton, 17% polyester",,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Plain,,Short,"23.0 "" (Size S)",Long,"35.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,sporty
227,1058,JDY,JDYNAPA  ,21.99,1,grey,Sweat,"98% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,,Extra short,Elbow length,Elbow length,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,girly
228,1059,Dr.Denim,EFFIE DUNGAREE DRESS ,54.99,2,denim,Denim,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,Button,,Square neckline,,Adjustable straps,Extra short,Sleeveless,Sleeveless,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","12.0 "" (Size S)",No,No,No,No,No,alternative
229,1060,Iceberg,ABITO ,520.0,5,black,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Round neckline,Plain,Belt included,Calf length,Extra short,Short,"44.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10",,No,Yes,No,No,No,sporty
230,1061,SUMMERY Copenhagen,DRESS ,164.99,4,purple,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,,Bust darts,Short,"23.5 "" (Size S)",Long,"34.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No,edgy
231,1062,Forever New,MIKAYLA DRESS ,84.99,3,white multi-coloured,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Wrap dresses,Low v-neck,Floral,"Belt included, slip",Short,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No,girly
232,1063,Esprit,DRESSES LIGHT ,43.99,2,black,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,,Button down dresses,Low v-neck,Plain,,Knee length,"18.0 "" (Size 10)",Elbow length,"37.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,classic
233,1064,Moves,TANSA ,64.99,2,black,Chiffon,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry",Mandarin collar,,Button,Accentuating the waist,Round neckline,Prints in general,"Belt included, slip",Calf length,"24.5 "" (Size 8)",Long,"45.0 "" (Size 8)",Regular Fit,Regular fit,,"14.0 "" (Size 8)",No,No,No,No,No,casual chic
234,1065,Noa Noa,Day dress,149.99,4,pink,,100% lyocell,,"Do not tumble dry, machine wash at 30Â°C",,,,,Low v-neck,Floral,,Knee length,"19.5 "" (Size 8)",Long,"39.5 "" (Size 8)",Loose Fit,Loose fit,,"15.0 "" (Size 8)",No,No,No,No,No,unknown
235,1066,BCBGMAXAZRIA,DRESS ,179.99,4,white,,"80% viscose, 20% nylon","92% polyester, 8% elastane",Hand wash only,,,Zip,,Round neckline,Plain,"Slip, border",Extra short,Extra short,Short,,Slim Fit,Slim fit,,,No,No,No,No,No,girly
