IndexID,Unnamed: 0,Style,Link,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,cv_predicted
625,1470,,https://www.zalando.co.uk/superdry-arizona-peek-a-boo-dress-day-dress-capulet-olive-su221c0gy-n11.html,Superdry,"ARIZONA PEEK A BOO DRESS ",38.49,1,army green,,100% lyocell,,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,,Low round neckline,Plain,,Short,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No,alternative
626,1471,,https://www.zalando.co.uk/object-objanneline-wrap-dress-day-dress-black-ob121c0ux-q11.html,Object,"OBJANNELINE WRAP DRESS  ",43.99,2,black/white,,"86% viscose, 14% polyamide",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Animal Prints in general,"Belt included, bust darts",Calf length,"25.5 "" (Size 8)",Long,"45.0 "" (Size 8)",Regular Fit,Regular fit,,"12.5 "" (Size 8)",No,No,No,No,No,trendy
627,1472,,https://www.zalando.co.uk/tom-tailor-denim-rib-collar-dress-day-dress-navy-to721c0ej-k11.html,TOM TAILOR,"RIB COLLAR DRESS ",59.99,2,navy,Mesh,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,Floral,,Calf length,"23.0 "" (Size S)",Long,"48.5 "" (Size S)",Slim Fit,Slim fit,,,Yes,No,No,No,No,casual chic
628,1473,,https://www.zalando.co.uk/birgitte-herskind-timo-dress-cocktail-dress-party-dress-black-bio21c02l-q11.html,Birgitte Herskind,"TIMO DRESS ",249.99,5,black,Satin,"70% viscose, 30% silk",100% polyester,,,,,,Spaghetti straps,Plain,Slip,Maxi/long,spaghetti straps,Spaghetti straps,"54.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,Yes,edgy
629,1474,,https://www.zalando.co.uk/needle-and-thread-iris-grace-ankle-gown-occasion-wear-moonshine-nt521c0g4-j11.html,Needle & Thread,"IRIS GRACE ANKLE GOWN ",474.99,5,white multi-coloured,Tulle,100% nylon,100% polyester,Dry cleanable,,,Zip,,Low v-neck,Floral,Slip,Maxi/long,Short,Short,"54.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,No,girly
630,1475,,https://www.zalando.co.uk/esprit-day-dress-black-es121c24p-q11.html,Esprit,Day dress,34.0,1,black,,100% viscose,,"Machine wash at 40Â°C, do not tumble dry, Do not bleach",,,,,Strapless,Plain,,Calf length,Strapless,Strapless,,Regular Fit,Regular fit,,,No,No,No,No,Yes,unknown
631,1476,,https://www.zalando.co.uk/in-the-style-lorna-luxe-black-belted-pinafore-dress-day-dress-black-i0421c01i-q11.html,IN THE STYLE,"LORNA LUXE BLACK BELTED PINAFORE DRESS ",69.99,2,black,Leather,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Accentuating the waist,Square neckline,Plain,"Belt included, inseam pockets",Short,Sleeveless,Sleeveless,"34.0 "" (Size 8)",Regular Fit,Regular fit,,,No,yes,No,No,No,edgy
632,1477,,https://www.zalando.co.uk/pepe-jeans-paola-day-dress-midnight-pe121c0mp-k11.html,Pepe Jeans,"PAOLA ",84.99,3,navy,Rib,"72% viscose, 28% nylon",,"Do not tumble dry, Hand wash only",,,,,Round neckline,Striped,,Calf length,"25.5 "" (Size S)",Long,"48.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No,edgy
633,1478,,https://www.zalando.co.uk/edc-by-esprit-day-dress-black-ed121c0wm-q11.html,Esprit,Day dress,54.99,2,black,Sweat,"70% cotton, 27% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry",Hood,,,Hooded dresses,,Plain,,Short,"25.5 "" (Size S)",Long,"36.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,Yes,No,No,No,sporty
634,1479,,https://www.zalando.co.uk/only-tall-onlolivia-wrap-dress-tall-day-dress-chinese-violet-ond21c05c-i11.html,Only,"ONLOLIVIA DRESS ",25.99,1,pastel purple,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,Knee length,Short,Short,"41.5 "" (Size 8)",Slim Fit,Slim fit,,"15.0 "" (Size 8)",No,No,No,No,No,girly
635,1480,,https://www.zalando.co.uk/samsoee-samsoee-anai-dress-day-dress-scarab-sa321c0fh-m11.html,Samsoe Samsoe,"ANAI DRESS ",139.99,4,dark green,,"62% polyester, 34% polyamide, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Low v-neck,Plain,Slip,Calf length,"21.5 "" (Size S)",Long,"47.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","12.5 "" (Size S)",No,No,No,No,Yes,classic
636,1481,,https://www.zalando.co.uk/anna-field-cocktail-dress-party-dress-bordeaux-an621c1pl-g11.html,Anna Field,Cocktail dress / Party dress,31.49,1,burgundy,"Jersey, Knit","95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,V-neck,Plain,,Short,"17.0 "" (Size 8)",Elbow length,"36.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No,classic
637,1482,,https://www.zalando.co.uk/tommy-hilfiger-slim-circle-short-day-dress-black-to121c0kg-q11.html,Tommy Hilfiger,"SLIM CIRCLE SHORT ",109.99,3,black,PiquÃ©,"97% cotton, 3% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",Polo shirt,,,Polo dresses,,Plain,,Knee length,Short,Short,,Slim Fit,Slim fit,,,No,No,No,No,No,sporty
638,1483,,https://www.zalando.co.uk/lauren-ralph-lauren-floral-shirtdress-day-dress-creampinkmulti-l4221c1dn-a11.html,Ralph Lauren,"FLORAL LINEN SHIRTDRESS ",219.99,5,sand,,100% linen,,"Machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Button,Button down dresses,,Floral,Inseam pockets,Knee length,Elbow length,Elbow length,"41.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)",No,yes,No,No,No,girly
639,1484,,https://www.zalando.co.uk/superdry-tonal-city-day-dress-lauren-navy-su221c0og-k11.html,Superdry,"TONAL CITY  ",30.0,1,navy,Sweat,100% cotton,,"Do not bleach, do not tumble dry",Hood,,,Hooded dresses,,Prints in general,Elasticated waist,Thigh length,Long,Long,,Slim Fit,Slim fit,,,No,Yes,No,No,No,sporty
640,1485,,https://www.zalando.co.uk/nike-sportswear-dress-day-dress-desert-ochrepearl-white-ni121c03n-o11.html,Nike Sportswear,"DRESS ",54.99,2,white,,100% nylon,,Machine wash at 30Â°C,Standing collar,,Zip,,,Prints in general,,Short,Short,Short,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",No,No,No,No,No,unknown
641,1486,,https://www.zalando.co.uk/karl-lagerfeld-logo-tape-day-dress-black-k4821c04y-q11.html,KARL LAGERFELD,"LOGO TAPE ",169.99,4,black,Jersey,100% cotton,,,,,,Accentuating the waist,Round neckline,Plain,"Belt included, inseam pockets, embroidery",Knee length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,,,No,yes,No,No,No,sporty
642,1487,,https://www.zalando.co.uk/lauren-ralph-lauren-sleeveless-charmeuse-dress-day-dress-blue-loch-l4221c1et-k11.html,Ralph Lauren,"SLEEVELESS CHARMEUSE DRESS ",189.99,4,blue,Satin,100% polyester,,"Hand wash only, do not tumble dry",,,Zip,Accentuating the waist,Low round neckline,Plain,Belt included,Calf length,Sleeveless,Sleeveless,"49.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,No,unknown
643,1488,,https://www.zalando.co.uk/max-mara-leisure-gaetana-cocktail-dress-party-dress-grigio-medio-m1x21c029-c11.html,Max Mara Leisure,"GAETANA ",159.99,4,silver,Satin,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Cowl neckline,Plain,Adjustable straps,Calf length,Spaghetti straps,Spaghetti straps,"44.5 "" (Size 8)",Loose Fit,Loose fit,,,No,No,No,No,No,casual chic
644,1489,,https://www.zalando.co.uk/lauren-ralph-lauren-torrie-sleeveless-evening-dress-occasion-wear-deep-pineblack-l4221c1a4-m11.html,Ralph Lauren,"TORRIE SLEEVELESS EVENING DRESS ",264.99,5,black,,100% polyester,100% polyester,Hand wash only,,,Zip,Wrap dresses,Low v-neck,Plain,Slip,Maxi/long,Sleeveless,Sleeveless,"61.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size 8",,No,No,No,No,No,edgy
645,1490,,https://www.zalando.co.uk/swing-dress-cocktail-dress-party-dress-ivory-sg721c0lq-a11.html,Swing,"DRESS ",149.99,4,white,"Crocheted, chiffon",100% polyester,"97% polyester, 3% elastane",,,,Zip,,Round neckline,Plain,Slip,Calf length,Short,Short,"46.0 "" (Size 10)",Regular Fit,Regular fit,,"14.0 "" (Size 10)",No,No,No,No,No,girly
646,1491,,https://www.zalando.co.uk/jdy-jdyvenus-dress-day-dress-light-grey-melange-jy121c0km-c12.html,JDY,"JDYVENUS DRESS ",23.99,1,grey,Sweat,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Prints in general,,Short,"23.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,trendy
647,1492,,https://www.zalando.co.uk/esprit-dresses-light-shirt-dress-navy-es121c225-k11.html,Esprit,"LIGHT ",59.99,2,navy,,100% viscose,,"Do not tumble dry, Do not wash",Turn-down collar,,Button,Button down dresses,Low v-neck,Floral,,Knee length,"23.5 "" (Size 10)",Long,"41.0 "" (Size 10)",Regular Fit,Regular fit,,"16.0 "" (Size 10)",No,No,No,No,No,classic
648,1493,,https://www.zalando.co.uk/mamalicious-mlessey-dress-day-dress-deep-teal-m6429f0us-p11.html,MAMALICIOUS,"MLESSEY DRESS ",43.99,2,dark green,,100% viscose,,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,Button,Accentuating the waist,Round neckline,Polka dot,"Belt included, bust darts",Knee length,"24.5 "" (Size 8)",Long,"41.0 "" (Size 8)",Regular Fit,Regular fit,,"15.5 "" (Size 8)",No,No,No,No,No,trendy
649,1494,,https://www.zalando.co.uk/never-fully-dressed-tall-sandy-love-mini-shirt-dress-day-dress-pink-n0l21c01i-j11.html,Never Fully Dressed,"SANDY LOVE MINI SHIRT DRESS ",94.99,3,bright multi-coloured,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,Laces,Wrap dresses,Low v-neck,Prints in general,Bust darts,Short,"25.5 "" (Size S)",Long,"35.5 "" (Size S)",Slim Fit,Slim fit,,"14.0 "" (Size S)",No,No,No,No,No,trendy
650,1495,,https://www.zalando.co.uk/weekend-maxmara-palude-day-dress-beige-mw721c09d-b11.html,WEEKEND MaxMara,"PALUDE ",339.99,5,brown,,"69% cotton, 31% polyamide",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Lapel collar,,Button,Accentuating the waist,Low v-neck,Plain,Belt included,Knee length,Sleeveless,Sleeveless,,Slim Fit,Slim fit,,,No,Yes,No,No,No,trendy
651,1496,,https://www.zalando.co.uk/mamalicious-mlmivana-dress-cocktail-dress-party-dress-snow-white-m6429f0ow-a11.html,MAMALICIOUS,"MLMIVANA DRESS ",47.99,2,white,"Lace, tulle","55% cotton, 20% polyester, 20% nylon, 5% elastane","60% cotton, 35% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,Accentuating the waist,Boat neckline (wide),Plain,"Belt included, bust darts, slip",Knee length,"15.5 "" (Size 8)",Elbow length,"40.0 "" (Size 8)",Regular Fit,Regular fit,,,No,No,No,No,No,girly
652,1497,,https://www.zalando.co.uk/only-olmsanniel-day-dress-eventide-on329f025-k11.html,Only,"OLMSANNIEL ",29.74,1,pastel blue,Sweat,"60% cotton, 40% polyester",,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Plain,,Extra short,"20.5 "" (Size S)",Long,"32.5 "" (Size S)",Oversized,Loose fit,,,No,No,No,No,No,sporty
653,1498,,https://www.zalando.co.uk/only-onlellie-philippa-short-dress-day-dress-moonlight-blue-on321c2nv-k11.html,Only,"ONLELLIE PHILIPPA SHORT DRESS ",29.74,1,navy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Volant/frill collar,,,,,Prints in general,Slip,Short,"23.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)",No,No,No,No,No,alternative
654,1499,,https://www.zalando.co.uk/pinko-siena-dress-day-dress-radiant-white-p6921c0bh-a11.html,Pinko,"SIENA DRESS ",199.99,4,white,,100% cotton,,,Turn-down collar,,Button,Button down dresses,,Plain,Covered fastener,Extra short,"23.0 "" (Size 8)",Long,"31.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",Yes,No,No,No,No,trendy
655,1500,,https://www.zalando.co.uk/sistaglam-curve-amianne-occasion-wear-navy-s4h21c009-k11.html,Sistaglam Curve,"AMIANNE ",109.99,3,navy,"Jersey, Lace","95% polyester, 5% elastane",100% polyester,"Machine wash at 40Â°C, do not tumble dry",,,Zip,,Low v-neck,Plain,,Maxi/long,Short,Short,"62.0 "" (Size 16)",Slim Fit,Slim fit,,,No,No,No,No,No,unknown
656,1501,,https://www.zalando.co.uk/minimum-hursine-day-dress-java-mi421c0bj-o11.html,Minimum,"HURSINE ",84.99,3,brown,,"40% elastane, 40% viscose, 20% nylon",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,,Round neckline,Checked,,Calf length,"21.0 "" (Size 8)",Long,"48.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 8","13.5 "" (Size 8)",Yes,No,No,No,No,edgy
657,1502,,https://www.zalando.co.uk/pieces-pcpetrine-dress-jersey-dress-ombre-blue-pe321c0tz-k11.html,Pieces,Day dress,21.99,1,navy,Jersey,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,Inseam pockets,Knee length,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,Yes,yes,No,No,No,classic
658,1503,,https://www.zalando.co.uk/mango-rufu-h-day-dress-cremeweiss-m9121c5ip-b11.html,Mango,RUFU,35.99,1,pastel yellow,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",,,,,Spaghetti straps,Plain,"Bow, inseam pockets, slip",Short,Spaghetti straps,Spaghetti straps,,Regular Fit,Regular fit,,,No,yes,No,No,Yes,alternative
659,1504,,https://www.zalando.co.uk/summery-copenhagen-guggi-short-dress-day-dress-lavendar-fog-cec21c042-i11.html,SUMMERY Copenhagen,"GUGGI SHORT DRESS ",174.99,4,pastel purple,,100% cotton,,,,,Zip,,Low v-neck,Polka dot,,Short,Elbow length,Elbow length,"37.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size S","13.5 "" (Size S)",No,No,No,No,No,girly
660,1505,,https://www.zalando.co.uk/mango-bea-day-dress-jaune-m9121c5gy-e11.html,Mango,"BEA ",49.99,2,black/green,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,Laces,Wrap dresses,Low v-neck,Floral,,Calf length,3/4 length,Elbow length,,Regular Fit,Regular fit,,,No,No,No,No,No,casual chic
661,1506,,https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nq-k11.html,Superdry,"TEXTURED ",34.99,1,white,,"58% linen, 42% viscose",,"Do not bleach, do not tumble dry",,,,,Round neckline,,,,,,,,,,,No,No,No,No,No,sporty
662,1507,,https://www.zalando.co.uk/mango-marte2-day-dress-rood-m9121c5kw-g11.html,Mango,"MARTE2 ",49.99,2,red,,"83% modal, 17% polyester",,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,Button,,Low v-neck,Plain,,Calf length,Extra short,Short,,Regular Fit,Regular fit,,,No,No,No,No,No,classic
663,1508,,https://www.zalando.co.uk/missguided-drawstring-animal-dress-cocktail-dress-party-dress-multi-m0q21c224-t11.html,Missguided,"DRAWSTRING ANIMAL DRESS ",27.99,1,burgundy,,"95% polyester, 5% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,Bodycon dresses,,Animal Prints in general,,Short,"25.0 "" (Size 8)",Long,"35.5 "" (Size 8)",Bodycon,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No,edgy
664,1509,,https://www.zalando.co.uk/armani-exchange-day-dress-optic-white-arc21c02m-a11.html,Armani Exchange,"VESTITO ",119.99,3,white,,100% linen,,Machine wash at 30Â°C,,,,,Low v-neck,Plain,,Knee length,Sleeveless,Sleeveless,"34.5 "" (Size 8)",Loose Fit,Loose fit,,"11.5 "" (Size 8)",Yes,No,No,No,No,girly
665,1510,,https://www.zalando.co.uk/vila-vicorba-vneck-dress-day-dress-navy-blazer-v1021c2yb-k11.html,Vila,"VICORBA VNECK DRESS ",43.99,2,navy,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Prints in general,,Short,"24.5 "" (Size 8)",Long,"36.0 "" (Size 8)",Loose Fit,Loose fit,,"15.5 "" (Size 8)",No,No,No,No,No,trendy
666,1511,,https://www.zalando.co.uk/soaked-in-luxury-slpoppie-dress-day-dress-cosmic-sky-so921c09t-k11.html,Soaked in Luxury,"SLPOPPIE DRESS ",89.99,3,grey,Mesh,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Striped,Slip,Knee length,"24.5 "" (Size S)",Long,"42.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,classic
667,1512,,https://www.zalando.co.uk/colourful-rebel-kate-gathering-mini-dress-women-pink-cocktail-dress-party-dress-soft-pink-c5j21c00z-j11.html,Colourful Rebel,"KATE GATHERING MINI DRESS WOMEN PINK ",59.99,2,dusty pink,,"45% metal, 45% viscose, 10% polyamide",100% polyester,"Do not tumble dry, Do not wash",,,Zip,Bodycon dresses,Low v-neck,Plain,"Button row, shoulder pads, slip",Extra short,"27.0 "" (Size S)",Long,"32.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,yes,Yes,girly
668,1513,,https://www.zalando.co.uk/ivy-and-oak-cocktail-dress--party-dress-snow-white-iv321c04e-a11.html,IVY & OAK,Cocktail dress / Party dress,209.99,5,white,,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane",,,,Button,Accentuating the waist,Round neckline,Plain,"Zip fastening, slip",Knee length,Elbow length,Elbow length,"46.5 "" (Size 8)",Fitted waist,Slim fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,Yes,girly
669,1514,,https://www.zalando.co.uk/maya-deluxe-v-neck-stripe-embellished-midi-dress-cocktail-dress-party-dress-black-m2z21g006-q11.html,Maya Deluxe,"V NECK STRIPE EMBELLISHED MIDI DRESS ",124.99,4,silver,Tulle,100% polyester,100% polyester,Hand wash only,,,Zip,,Low v-neck,,"Sequins, slip",Calf length,Sleeveless,Sleeveless,"46.5 "" (Size 8)",Slim Fit,Slim fit,,,No,No,yes,No,No,alternative
670,1515,,https://www.zalando.co.uk/only-carmakoma-day-dress-black-ona21c0je-q11.html,Only,"CURVY  ",39.99,1,black,,"97% polyester, 3% elastane",,"Do not bleach, Do not iron, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,Wrap dresses,Low v-neck,Plain,,Knee length,Long,Long,"43.5 "" (Size 18)",Regular Fit,Regular fit,,,No,No,No,No,No,unknown
671,1516,,https://www.zalando.co.uk/esprit-dress-day-dress-black-es121c212-q11.html,Esprit,"DRESS ",79.99,2,black multi-coloured,,"99% polyester, 1% metal",100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Floral,Slip,Calf length,"23.5 "" (Size 10)",Long,"47.0 "" (Size 10)",Regular Fit,Regular fit,,"15.5 "" (Size 10)",No,No,No,No,No,classic
672,1517,,https://www.zalando.co.uk/victoria-beckham-cami-floorlength-occasion-wear-black-v0921c02b-q11.html,Victoria Beckham,"CAMI FLOORLENGTH ",870.0,5,black,Satin,"71% acetate, 29% viscose",,Dry clean only,,,,,Spaghetti straps,Plain,,Maxi/long,Spaghetti straps,Spaghetti straps,"61.5 "" (Size 4)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 4",,No,No,No,No,Yes,edgy
673,1518,,https://www.zalando.co.uk/derhy-alicante-robe-day-dress-multi-coloured-rd521c0m2-t11.html,Derhy,"ALICANTE ROBE ",119.99,3,multi-coloured,,100% cotton,100% cotton,"Do not tumble dry, Hand wash only",,,,,Low v-neck,Prints in general,"Slip, tassels, rhinestones",Knee length,"24.5 "" (Size S)",Long,"38.0 "" (Size S)",Regular Fit,Regular fit,,"13.5 "" (Size S)",No,No,yes,No,No,alternative
674,1519,,https://www.zalando.co.uk/milly-venice-maxi-dress-occasion-wear-black-m1221c04l-q11.html,Milly,"VENICE MAXI DRESS ",409.99,5,black,Chiffon,100% polyester,"97% polyester, 3% elastane",Dry clean only,Standing collar,,Zip,,Round neckline,Polka dot,"Sequins, wired bustier, slip",Maxi/long,Sleeveless,Sleeveless,"42.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",yes,No,yes,No,Yes,casual chic
675,1520,,https://www.zalando.co.uk/michael-michael-kors-circle-hoodie-dress-day-dress-black-mk121c0ik-q11.html,MICHAEL Michael Kors,"CIRCLE HOODIE DRESS ",209.99,5,black,Jersey,"95% viscose, 5% elastane",,Machine wash at 30Â°C,Hood,,,Hooded dresses,,Prints in general,,Short,"23.5 "" (Size 18/20)",Long,"38.0 "" (Size 18/20)",Loose Fit,Loose fit,,,No,No,No,No,No,alternative
676,1521,,https://www.zalando.co.uk/jdy-sweat-dress-jrs-day-dress-chambray-blueparis-embroidery-jy121c0q7-k11.html,JDY,"JDYPARIS  ",23.99,1,pastel blue,"Jersey, Sweat","60% cotton, 40% polyester",,"Machine wash at 40Â°C, do not tumble dry",,,,,Round neckline,Plain,Embroidery,Thigh length,"20.5 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No,sporty
677,1522,,https://www.zalando.co.uk/seraphine-bessie-day-dress-red-s1s29f02d-g11.html,Seraphine,"BESSIE MIDI WRAP DRESS ",69.99,2,red,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Belt,Wrap dresses,Low v-neck,Floral,"Bust darts, bow",Calf length,Elbow length,Elbow length,"47.0 "" (Size 10)",Fitted waist,Slim fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",No,No,No,No,No,girly
678,1523,,https://www.zalando.co.uk/edited-alara-dress-day-dress-blue-ditzy-edd21c0jp-k11.html,EDITED,"ALARA DRESS ",69.99,2,navy,,100% viscose,,,,,Laces,Wrap dresses,Low v-neck,Floral,Bust darts,Calf length,"23.5 "" (Size 8)",Long,"51.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)",No,No,No,No,No,casual chic
679,1524,,https://www.zalando.co.uk/reebok-day-dress-pink-re541l002-i11.html,Reebok,Day dress,22.95,1,pastel pink,,100% cotton,,Machine wash on gentle cycle,,,,,Round neckline,Plain,,Short,Short,Short,,Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No,unknown
680,1525,,https://www.zalando.co.uk/moschino-hollywood-musical-day-dress-ivory-6mo21c02a-a11.html,MOSCHINO,"HOLLYWOOD MUSICAL ",465.0,5,stone,Sweat,"85% cotton, 15% polyester",,Hand wash only,Hood,,,Hooded dresses,,Prints in general,Elasticated waist,Short,"26.0 "" (Size 10)",Long,"34.0 "" (Size 10)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 10",,No,No,No,No,No,unknown
681,1526,,https://www.zalando.co.uk/lyle-and-scott-dress-day-dress-natural-green-ly221c00b-n11.html,Lyle & Scott,"DRESS ",34.99,1,pastel yellow,Jersey,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,,,Round neckline,Plain,,Short,Short,Short,"33.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No,casual chic
682,1527,,https://www.zalando.co.uk/ragwear-menita-day-dress-petrol-r5921c0b8-p11.html,Ragwear,"MENITA ",54.99,2,dark green,Sweat,"50% polyester, 50% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,"Inseam pockets, elasticated waist, decorative buttons",Short,"25.0 "" (Size S)",Long,"36.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,yes,No,No,No,sporty
683,1528,,https://www.zalando.co.uk/ted-baker-skiala-day-dress-lt-pink-te421c0l6-g11.html,Ted Baker,"SKIALA ",164.99,4,black multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Zip,Wrap dresses,Low v-neck,Prints in general,Elasticated waist,Short,Elbow length,Elbow length,"34.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","12.5 "" (Size 10)",No,No,No,No,No,casual chic
684,1529,,https://www.zalando.co.uk/object-objbaya-fania-short-dress-day-dress-buckthorn-brownsky-captain-ob121c0pr-o11.html,Object,"BAYA FANIA  ",39.99,1,brown,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Polka dot,,Knee length,"26.0 "" (Size 8)",Long,"40.0 "" (Size 8)",Regular Fit,Regular fit,,"15.5 "" (Size 8)",No,No,No,No,No,edgy
