,Article number,Back material,Back width,Bottom part material,Care instructions,Collar,Contains non-textile parts of animal origin,Cut,Details,Fabric,Fastening,Filling,Fit,Front material,Insert material,Jacket length,Length,Licensed characters,Lining,Middle part material,Neckline,Our model's height,Outer fabric material,Outer leg length,Pattern,Pockets,Sheer,Sleeve length,Sleeve length.1,Sleeves material,Sport,Top part material,Total length,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,category,color,day dress,description,heading1,link,price
1570,T0Z21C01C-L11,--,"15.5 "" (Size 10)",--,Machine wash at 30Â°C,Volant collar,--,--,"Border, bust darts",--,Laces,--,Regular Fit,--,--,--,Calf-length,--,100% cotton,--,V-neck,--,100% cotton,--,Floral,--,--,"25.0 "" (Size 10)",--,--,--,--,"52.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,SPARTALI ORGANIC TIERED MIDI DRESS ,Thought,https://www.zalando.co.uk/thought-spartali-organic-tiered-midi-dress-day-dress-black-t0z21c01c-l11.html,Â£109.99
1571,MI421C0BX-O11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Belt included,Jersey,--,--,Regular Fit,--,--,--,Calf-length,--,--,--,--,--,100% cotton,--,Plain,--,--,Short,--,--,--,--,"48.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,crocodile, Day dress,RAGATTA ,Minimum,https://www.zalando.co.uk/minimum-ragatta-day-dress-crocodile-mi421c0bx-o11.html,Â£69.99
1572,DE121C0ZH-K11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Zip neck,--,--,--,Rib,--,--,Slim Fit,--,--,--,Short,--,--,--,--,"Our model is 5' 10""  tall and is wearing size M","95% viscose, 5% elastane",--,Print,--,--,"25.0 "" (Size M)",--,--,--,--,"33.5 "" (Size M)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,marino, Day dress,MERY ,Desigual,https://www.zalando.co.uk/desigual-mery-day-dress-marino-de121c0zh-k11.html,Â£84.99
1573,ARU21C02A-Q11,--,"14.5 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,--,--,--,--,Loose Fit,--,--,--,Calf-length,--,--,--,Low-cut v-neck,--,"57% viscose, 43% linen",--,Plain,--,--,"19.5 "" (Size 10)",--,--,--,--,"47.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black,,Day dress,ARKET,https://www.zalando.co.uk/arket-day-dress-black-aru21c02a-q11.html,Â£79.99
1574,A0F21C09G-Q11,--,"13.0 "" (Size S)",--,Machine wash at 30Â°C,--,--,--,"Bust darts, slip, wired bustier",--,Zip,--,Regular Fit,--,--,--,Calf-length,--,"98% polyester, 2% elastane",--,--,--,100% polyester,--,Plain,--,--,Spaghetti straps,--,--,--,--,"56.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black solid, Day dress,HALTER DRESS  ,Abercrombie & Fitch,https://www.zalando.co.uk/abercrombie-and-fitch-halter-dress-day-dress-black-solid-a0f21c09g-q11.html,Â£109.99
1575,A0F21C09G-Q11,--,"13.0 "" (Size S)",--,Machine wash at 30Â°C,--,--,--,"Bust darts, slip, wired bustier",--,Zip,--,Regular Fit,--,--,--,Calf-length,--,"98% polyester, 2% elastane",--,--,--,100% polyester,--,Plain,--,--,Spaghetti straps,--,--,--,--,"56.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,blue, Day dress,HALTER DRESS  ,Abercrombie & Fitch,https://www.zalando.co.uk/abercrombie-and-fitch-halter-dress-day-dress-black-solid-a0f21c09g-q11.html,Â£109.99
1576,A0F21C09G-Q11,--,"13.0 "" (Size S)",--,Machine wash at 30Â°C,--,--,--,"Bust darts, slip, wired bustier",--,Zip,--,Regular Fit,--,--,--,Calf-length,--,"98% polyester, 2% elastane",--,--,--,100% polyester,--,Plain,--,--,Spaghetti straps,--,--,--,--,"56.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,green, Day dress,HALTER DRESS  ,Abercrombie & Fitch,https://www.zalando.co.uk/abercrombie-and-fitch-halter-dress-day-dress-black-solid-a0f21c09g-q11.html,Â£109.99
1577,VE121C382-Q11,--,"15.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,"Our model is 5' 9""  tall and is wearing size S",100% polyester,--,Plain,--,--,"24.0 "" (Size S)",--,--,--,--,"36.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,VMFRIGGA WRAP DRESS  ,Vero Moda,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-black-ve121c382-q11.html,Â£34.99
1578,VE121C382-Q11,--,"15.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,"Our model is 5' 9""  tall and is wearing size S",100% polyester,--,Plain,--,--,"24.0 "" (Size S)",--,--,--,--,"36.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,desert sage, Day dress,VMFRIGGA WRAP DRESS  ,Vero Moda,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-black-ve121c382-q11.html,Â£34.99
1579,VE121C382-Q11,--,"15.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,"Our model is 5' 9""  tall and is wearing size S",100% polyester,--,Plain,--,--,"24.0 "" (Size S)",--,--,--,--,"36.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,old rose, Day dress,VMFRIGGA WRAP DRESS  ,Vero Moda,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-black-ve121c382-q11.html,Â£34.99
1580,VE121C382-Q11,--,"15.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,"Our model is 5' 9""  tall and is wearing size S",100% polyester,--,Plain,--,--,"24.0 "" (Size S)",--,--,--,--,"36.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,vintage indigo, Day dress,VMFRIGGA WRAP DRESS  ,Vero Moda,https://www.zalando.co.uk/vero-moda-vmfrigga-wrap-dress-day-dress-black-ve121c382-q11.html,Â£34.99
1581,ON321C1RR-E11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,--,100% polyester,--,Floral,--,Semi-sheer,Short,--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,cream gold, Day dress,ONLOLIVIA DRESS ,ONLY,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-cream-gold-on321c1rr-e11.html,Â£25.99
1582,ON321C1RR-E11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,--,100% polyester,--,Floral,--,Semi-sheer,Short,--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/red, Day dress,ONLOLIVIA DRESS ,ONLY,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-cream-gold-on321c1rr-e11.html,Â£25.99
1583,ON321C1RR-E11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,--,100% polyester,--,Floral,--,Semi-sheer,Short,--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,blue mirage, Day dress,ONLOLIVIA DRESS ,ONLY,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-cream-gold-on321c1rr-e11.html,Â£25.99
1584,ON321C1RR-E11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,--,100% polyester,--,Floral,--,Semi-sheer,Short,--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dusk blue, Day dress,ONLOLIVIA DRESS ,ONLY,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-cream-gold-on321c1rr-e11.html,Â£25.99
1585,ON321C1RR-E11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,Laces,--,Regular Fit,--,--,--,Knee-length,--,--,--,Cache-coeur,--,100% polyester,--,Floral,--,Semi-sheer,Short,--,--,--,--,"40.0 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,green/black, Day dress,ONLOLIVIA DRESS ,ONLY,https://www.zalando.co.uk/only-onlolivia-wrap-dress-day-dress-cream-gold-on321c1rr-e11.html,Â£25.99
1586,CR221C0NF-J11,--,"16.0 "" (Size 10)",--,--,--,--,--,Inseam pockets,--,Button,--,Regular Fit,--,--,--,Short,--,--,--,V-neck,"Our model is 5' 9""  tall and is wearing size 10",100% viscose,--,Floral,--,--,Short,--,--,--,--,"36.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,burnt coral, ZALLY FIT ,CRFERINA SHORT DRESS ,Cream,https://www.zalando.co.uk/cream-crferina-short-dress-zally-fit-day-dress-burnt-coral-cr221c0nf-j11.html,Â£64.99
1587,MOQ21C0BL-T11,--,"14.0 "" (Size XS/S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,--,--,Loose Fit,--,--,--,Calf-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size XS/S",100% viscose,--,Floral,--,--,Elbow length,--,--,--,--,"55.5 "" (Size XS/S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,flower ,,Day dress,Monki,https://www.zalando.co.uk/monki-caroline-dress-day-dress-flower-moq21c0bl-t11.html,Â£26.00
1588,MOQ21C0BL-T11,--,"14.0 "" (Size XS/S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,--,--,Loose Fit,--,--,--,Calf-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size XS/S",100% viscose,--,Floral,--,--,Elbow length,--,--,--,--,"55.5 "" (Size XS/S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,rave greenblue,,Day dress,Monki,https://www.zalando.co.uk/monki-caroline-dress-day-dress-flower-moq21c0bl-t11.html,Â£26.00
1589,MOQ21C0BL-T11,--,"14.0 "" (Size XS/S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,--,--,Loose Fit,--,--,--,Calf-length,--,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size XS/S",100% viscose,--,Floral,--,--,Elbow length,--,--,--,--,"55.5 "" (Size XS/S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,twirl black,,Day dress,Monki,https://www.zalando.co.uk/monki-caroline-dress-day-dress-flower-moq21c0bl-t11.html,Â£26.00
1590,ED121C0YH-K11,--,--,--,--,--,--,--,Elasticated waist,--,--,--,Slim Fit,--,--,--,Short,--,100% viscose,--,Low-cut v-neck,--,100% viscose,--,Plain,--,--,Long,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,blue, Day dress,MIT ,edc by Esprit,https://www.zalando.co.uk/edc-by-esprit-day-dress-blue-ed121c0yh-k11.html,Â£45.00
1591,ED121C0YH-K11,--,--,--,--,--,--,--,Elasticated waist,--,--,--,Slim Fit,--,--,--,Short,--,100% viscose,--,Low-cut v-neck,--,100% viscose,--,Plain,--,--,Long,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,MIT ,edc by Esprit,https://www.zalando.co.uk/edc-by-esprit-day-dress-blue-ed121c0yh-k11.html,Â£45.00
1592,H0421C05E-Q11,--,--,--,Machine wash at 30Â°C,--,--,--,--,Rib,--,--,Bodycon,--,--,--,Calf-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size SxS","96% cotton, 4% elastane",--,Plain,--,--,Sleeveless,--,--,--,--,"45.5 "" (Size SxS)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black solid, Day dress,MIDI DRESS ,Hollister Co.,https://www.zalando.co.uk/hollister-co-midi-dress-shift-dress-black-solid-h0421c05e-q11.html,Â£34.99
1593,2GU21C09I-T11,--,--,--,Hand wash only,Standing collar,--,--,Slip,--,Laces,--,Loose Fit,--,--,--,Knee-length,--,100% polyester,--,Low-cut v-neck,--,100% polyester,--,Floral,--,--,"25.0 "" (Size 10)",--,--,--,--,"35.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,beige, Day dress,DRESS ,Guess by Marciano,https://www.zalando.co.uk/guess-by-marciano-dress-day-dress-beige-2gu21c09i-t11.html,Â£179.99
1594,VEB21C0BW-Q11,--,"13.5 "" (Size S)",--,--,--,--,--,"Slip, bow",Chiffon,--,--,Slim Fit,--,--,--,Calf-length,--,100% polyester,--,Cache-coeur,--,100% polyester,--,Floral,--,--,"19.5 "" (Size S)",--,--,--,--,"40.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,VMCHI SHORT DRESS ,Vero Moda Tall,https://www.zalando.co.uk/vero-moda-tall-vmchi-short-dress-day-dress-black-veb21c0bw-q11.html,Â£24.74
1595,ESM21C024-K11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,Yes,--,Belt included,Satin,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Henley,--,100% viscose,--,Floral,--,--,"24.0 "" (Size 8)",--,--,--,--,"46.5 "" (Size 8)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,light blue, Day dress,DRESS LONG DREAMS ,Esqualo,https://www.zalando.co.uk/esqualo-day-dress-light-blue-esm21c024-k11.html,Â£104.99
1596,WG021C0SO-M11,--,--,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Jersey,Zip,--,Regular Fit,--,--,--,Short,--,--,--,Backless,"Our model is 5' 9""  tall and is wearing size 10","95% polyester, 5% elastane",--,Plain,--,--,Sleeveless,--,--,--,--,"38.0 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,mint, Jersey dress,MICHA ROUND NECK SKATER DRESS ,WAL G.,https://www.zalando.co.uk/wal-g-micha-round-neck-skater-dress-day-dress-mint-wg021c0so-m11.html,Â£37.99
1597,BI721C05J-E11,--,"15.5 "" (Size S)",--,Hand wash only,--,--,--,Bust darts,--,Laces,--,Regular Fit,--,--,--,Short,--,--,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size S",100% viscose,--,Floral,--,Semi-sheer,Short,--,--,--,--,"33.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,lime, Day dress,DAY TRIPPIN ,Billabong,https://www.zalando.co.uk/billabong-day-trippin-day-dress-lime-bi721c05j-e11.html,Â£54.99
1598,BI721C05J-E11,--,"15.5 "" (Size S)",--,Hand wash only,--,--,--,Bust darts,--,Laces,--,Regular Fit,--,--,--,Short,--,--,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size S",100% viscose,--,Floral,--,Semi-sheer,Short,--,--,--,--,"33.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black , Day dress,DAY TRIPPIN ,Billabong,https://www.zalando.co.uk/billabong-day-trippin-day-dress-lime-bi721c05j-e11.html,Â£54.99
1599,VE121C38O-M11,--,"14.5 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,--,--,Regular Fit,--,--,--,Short,--,--,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size S",100% polyester,--,Print,--,--,"19.5 "" (Size S)",--,--,--,--,"36.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,green, Day dress,VMOLGA DRESS  ,Vero Moda,https://www.zalando.co.uk/vero-moda-vmolga-dress-day-dress-green-ve121c38o-m11.html,Â£26.34
1600,VE121C38O-M11,--,"14.5 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,--,--,Regular Fit,--,--,--,Short,--,--,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size S",100% polyester,--,Print,--,--,"19.5 "" (Size S)",--,--,--,--,"36.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark blue, Day dress,VMOLGA DRESS  ,Vero Moda,https://www.zalando.co.uk/vero-moda-vmolga-dress-day-dress-green-ve121c38o-m11.html,Â£26.34
1601,M3I21C0EZ-M11,--,--,--,"Do not tumble dry, Do not wash",--,--,--,--,--,Zip,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,--,100% linen,--,Marl,--,--,Sleeveless,--,--,--,--,--,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,yellow, Day dress,MIT NECKHOLDER ,Massimo Dutti,https://www.zalando.co.uk/massimo-dutti-mit-neckholder-day-dress-yellow-m3i21c0ez-m11.html,Â£149.00
1602,V1021C0MM-Q12,--,--,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Bust darts,Jersey,Zip,--,Wide cut,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","79% polyester, 18% viscose, 3% elastane",--,Plain,--,--,"17.5 "" (Size S)",--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,VITINNY ,Vila,https://www.zalando.co.uk/vila-vitinny-jersey-dress-v1021c0mm-q12.html,Â£24.99
1603,V1021C0MM-Q12,--,--,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Bust darts,Jersey,Zip,--,Wide cut,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","79% polyester, 18% viscose, 3% elastane",--,Plain,--,--,"17.5 "" (Size S)",--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,birch, Day dress,VITINNY ,Vila,https://www.zalando.co.uk/vila-vitinny-jersey-dress-v1021c0mm-q12.html,Â£24.99
1604,V1021C0MM-Q12,--,--,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Bust darts,Jersey,Zip,--,Wide cut,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","79% polyester, 18% viscose, 3% elastane",--,Plain,--,--,"17.5 "" (Size S)",--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/pine grove, Day dress,VITINNY ,Vila,https://www.zalando.co.uk/vila-vitinny-jersey-dress-v1021c0mm-q12.html,Â£24.99
1605,V1021C0MM-Q12,--,--,--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,Bust darts,Jersey,Zip,--,Wide cut,--,--,--,Short,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","79% polyester, 18% viscose, 3% elastane",--,Plain,--,--,"17.5 "" (Size S)",--,--,--,--,"32.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black/snow white, Day dress,VITINNY ,Vila,https://www.zalando.co.uk/vila-vitinny-jersey-dress-v1021c0mm-q12.html,Â£24.99
1606,JY121C0DG-I11,--,--,--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","62% cotton, 38% polyester",--,Plain,--,--,Short,--,--,--,--,"38.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,lavendula, Day dress,JDYIVY DRESS ,JDY,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,Â£17.99
1607,JY121C0DG-I11,--,--,--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","62% cotton, 38% polyester",--,Plain,--,--,Short,--,--,--,--,"38.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,adobe rose, Day dress,JDYIVY DRESS ,JDY,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,Â£17.99
1608,JY121C0DG-I11,--,--,--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","62% cotton, 38% polyester",--,Plain,--,--,Short,--,--,--,--,"38.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,black, Day dress,JDYIVY DRESS ,JDY,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,Â£17.99
1609,JY121C0DG-I11,--,--,--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","62% cotton, 38% polyester",--,Plain,--,--,Short,--,--,--,--,"38.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,chateau gray, Day dress,JDYIVY DRESS ,JDY,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,Â£17.99
1610,JY121C0DG-I11,--,--,--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,--,Sweat,--,--,Regular Fit,--,--,--,Knee-length,--,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size S","62% cotton, 38% polyester",--,Plain,--,--,Short,--,--,--,--,"38.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,cloud dancer, Day dress,JDYIVY DRESS ,JDY,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,Â£17.99
1611,RE321C04M-Q11,--,"15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,Slim Fit,--,--,--,Long,--,--,--,--,"Our model is 5' 10""  tall and is wearing size S",100% viscose,--,Floral,--,--,Spaghetti straps,--,--,--,--,"55.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,option,,Maxi dress,Replay,https://www.zalando.co.uk/replay-day-dress-option-re321c04m-q11.html,Â£149.99
1612,Y0121C1SU-M11,--,"14.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C",Mandarin collar,--,--,Slip,Chiffon,Button,--,Loose Fit,--,--,--,Short,--,100% polyester,--,--,"Our model is 5' 10""  tall and is wearing size S",100% polyester,--,--,--,--,"25.0 "" (Size S)",--,--,--,--,"37.0 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,green, Day dress,YASBASTI DRESS ,YAS,https://www.zalando.co.uk/yas-yasbasti-dress-day-dress-green-y0121c1su-m11.html,Â£62.99
1613,M5921C0ZE-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Bust darts,--,Zip,--,Regular Fit,--,--,--,Short,--,--,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size 10","87% polyester, 13% elastane",--,Plain,--,--,Short,--,--,--,--,"34.5 "" (Size 10)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,noir, Day dress,REDONA ,Morgan,https://www.zalando.co.uk/morgan-redona-day-dress-noir-m5921c0ze-q11.html,Â£54.99
1614,ON321C2PM-M11,--,"13.0 "" (Size S)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,--,Button,--,Regular Fit,--,--,--,Extra short,--,--,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size S",100% polyester,--,Print,--,--,Elbow length,--,--,--,--,"34.5 "" (Size S)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,dark ivy,NECK DRESS ,ONLNOELLE LIFE V,ONLY,https://www.zalando.co.uk/only-onlnoelle-life-v-neck-dress-day-dress-dark-ivy-on321c2pm-m11.html,Â£30.99
1615,M3I21C0JW-K11,--,--,--,--,--,--,--,Slip,--,--,--,Regular Fit,--,--,--,Calf-length,--,100% polyester,--,V-neck,--,100% polyester,--,Marl,--,--,Sleeveless,--,--,--,--,"46.0 "" (Size M)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,summer-dresses,metallic blue,,Day dress,Massimo Dutti,https://www.zalando.co.uk/massimo-dutti-day-dress-metallic-blue-m3i21c0jw-k11.html,Â£169.00
